영업장주변구분명,건물소유구분명,사업장명,업태구분명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,시설총규모,공장사무직직원수,공장생산직직원수,공장판매직직원수,여성종사자수,등급구분명,보증액,본사직원수,홈페이지,최종수정시점,인허가일자,소재지면적,소재지우편번호,지번주소,다중이용업소여부,남성종사자수,관리번호,월세액,개방자치단체코드,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,위생업태명,소재지전화번호,전통업소지정번호,전통업소주된음식,급수시설구분명
,,몽슈슈 HDC아이파크몰 용산점,제과점영업,2026-04-09,196762.077394917,447480.039577359,2026-04-11 03:03:03,U,02,폐업,0,,,,,,,,,2026-04-10 04:15:08,2026-03-09,,140-780,서울특별시 용산구 한강로3가 40-999 용산역,N,,3020000-121-2026-00011,,3020000,"서울특별시 용산구 한강대로23길 55, 용산아이파크몰 3층 (한강로3가)",04377,03,폐업,제과점영업,,,,
,,주식회사 과일맛집,제과점영업,2026-04-10,185494.471138782,450349.104866722,2026-04-11 03:03:03,U,02,폐업,33.75,,,,,,,,,2026-04-10 14:37:40,2026-02-24,33.75,157-827,서울특별시 강서구 내발산동 667 문성빌라,N,,3150000-121-2026-00005,,3150000,"서울특별시 강서구 공항대로36길 73, 1층 104호 (내발산동, 문성빌라)",07632,03,폐업,제과점영업,,,,상수도전용
,,팡파미유,제과점영업,2026-04-09,208589.363343145,445455.90405262,2026-04-11 03:03:03,U,02,폐업,0,,,,,,,,,2026-04-10 04:15:08,2026-03-17,,138-721,서울특별시 송파구 잠실동 40-1 롯데월드,N,,3230000-121-2026-00028,,3230000,"서울특별시 송파구 올림픽로 240, 롯데백화점 잠실점 지하1층 (잠실동)",05554,03,폐업,제과점영업,,,,
,,비알코리아(주) 던킨도너츠 시청역점,제과점영업,2026-04-10,197861.454595185,451379.089909811,2026-04-11 03:03:03,U,02,폐업,157.92,,,,,,,,,2026-04-10 11:21:00,2011-03-18,157.92,100-102,서울특별시 중구 태평로2가 360-1 (1층),N,,3010000-121-2011-00005,,3010000,"서울특별시 중구 세종대로 93 (태평로2가,(1층))",04515,03,폐업,제과점영업,02-2187-3131,,,
,,파리바게트까페,제과점영업,2026-04-02,197948.317862349,447933.587473387,2026-04-11 03:03:03,U,02,폐업,85.8,,,,,,,,,2026-04-10 09:47:27,2021-12-10,85.80,140-023,서울특별시 용산구 용산동3가 1,N,,3020000-121-2021-00020,,3020000,"서울특별시 용산구 이태원로 22, 국방부종합민원실 2층 (용산동3가)",04383,03,폐업,제과점영업,02-792-8287,,,상수도전용
,,아뜰리에 플로라,제과점영업,2026-04-10,184998.704481057,450740.541211248,2026-04-11 03:03:03,U,02,폐업,39.29,,,,,,,,,2026-04-10 13:15:21,2021-04-12,39.29,157-210,서울특별시 강서구 마곡동 800-1 문영 퀸즈파크11차 515호,N,,3150000-121-2021-00011,,3150000,"서울특별시 강서구 공항대로 212, 문영 퀸즈파크11차 5층 515호 (마곡동)",07806,03,폐업,제과점영업,,,,상수도전용
,,(주)루엘드파리,제과점영업,2026-04-10,201463.690299789,442429.147525901,2026-04-11 03:03:03,U,02,폐업,46.87,,,,,,,,,2026-04-10 16:04:23,2025-01-20,46.87,137-866,서울특별시 서초구 서초동 1445-13 서초쌍용플래티넘 106호,N,,3210000-121-2025-00007,,3210000,"서울특별시 서초구 서초중앙로 18, 106호 (서초동, 서초쌍용플래티넘)",06720,03,폐업,제과점영업,02-322-0939,,,
,,루엘드파리 2호점,제과점영업,2026-04-10,201437.477919897,442585.481211577,2026-04-11 03:03:03,U,02,폐업,54.22,,,,,,,,,2026-04-10 16:10:59,2025-08-07,54.22,137-877,서울특별시 서초구 서초동 1603-66 부속9동 1층 104호,N,,3210000-121-2025-00051,,3210000,"서울특별시 서초구 효령로57길 4, 부속9동 1층 104호 (서초동)",06643,03,폐업,제과점영업,02-322-0939,,,
,,루엘드파리,제과점영업,2026-04-10,202358.505687227,447232.955697694,2026-04-11 03:03:03,U,02,폐업,8.93,,,,,,,,,2026-04-10 14:19:00,2023-06-21,8.93,135-724,서울특별시 강남구 압구정동 429 현대백화점본점,N,,3220000-121-2023-00082,,3220000,"서울특별시 강남구 압구정로 165, 현대백화점본점 지하1층 (압구정동)",06001,03,폐업,제과점영업,02-322-0939,,,
,,거북이 베이커리,제과점영업,2026-04-10,161228.12774524,443814.590990645,2026-04-11 03:03:03,U,02,폐업,69.5,,,,,,,,,2026-04-10 13:31:23,2024-04-15,69.50,400-320,인천광역시 중구 중산동 1892-10 1층 101호,N,,3490000-121-2024-00007,,3490000,"인천광역시 중구 오작로 24, 1층 101호 (중산동)",22391,03,폐업,제과점영업,070-8691-4241,,,상수도전용
