건물지상층수,건물소유구분명,건물지하층수,사업장명,업태구분명,폐업일자,조건부허가시작일자,조건부허가신고사유,조건부허가종료일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,여성종사자수,최종수정시점,인허가일자,소재지면적,소재지우편번호,지번주소,다중이용업소여부,남성종사자수,관리번호,개방자치단체코드,도로명주소,도로명우편번호,회수건조기수,영업상태구분코드,영업상태명,위생업태명,소재지전화번호,사용시작지상층,사용시작지하층,사용끝지상층,사용끝지하층,세탁기수
2,임대,0,실과바늘,일반세탁업,2026-04-24,,,,198164.81474774,451278.901392417,2026-04-25 03:03:03,U,02,폐업,,2026-04-24 10:36:37,2003-09-22,115.00,100-070,서울특별시 중구 소공동 81 소공빌딩 202호,N,,3010000-205-2003-00053,3010000,"서울특별시 중구 남대문로7길 33, 202호 (소공동,소공빌딩)",04532,1,03,폐업,일반세탁업,02-773-2130,0,0,0,0,0
7,임대,1,온수힐세탁소,일반세탁업,,,,,184200.661623067,443873.93681809,2026-04-25 03:03:03,U,01,영업,,2026-04-24 17:21:13,2010-01-18,33.80,152-906,서울특별시 구로구 온수동 141 온수 I BELIEVE 101호,N,,3160000-205-2010-00001,3160000,"서울특별시 구로구 부일로9길 133, 101호 (온수동,온수 I BELIEVE)",08259,1,01,영업/정상,일반세탁업,02-2681-2205,1,,1,,1
1,,0,백옥세탁소,일반세탁업,2026-04-24,,,,201764.381486234,460336.466046088,2026-04-25 03:03:03,U,02,폐업,0,2026-04-24 11:10:34,2017-02-14,30.00,142-879,서울특별시 강북구 수유동 252-31,N,0,3080000-205-2017-00006,3080000,"서울특별시 강북구 노해로23길 48, 1층 좌측호 (수유동)",01048,1,03,폐업,일반세탁업,02-997-8312,,,,,1
4,임대,,명동,일반세탁업,2026-04-24,,,,201916.386863619,461183.312543085,2026-04-25 03:03:03,U,02,폐업,,2026-04-24 11:15:13,1991-08-28,21.52,132-886,서울특별시 도봉구 쌍문동 460-102,N,,3090000-205-1991-01314,3090000,서울특별시 도봉구 우이천로38길 88 (쌍문동),01376,,03,폐업,일반세탁업,02-0991-7537,1,,1,,
0,,0,파워 명품 세탁소,일반세탁업,2026-04-24,,,,,,2026-04-25 03:03:03,U,02,폐업,0,2026-04-24 15:26:22,2025-12-11,50.22,138-888,서울특별시 송파구 문정동 639-5 힐스테이트에코송파,N,0,3230000-205-2025-00006,3230000,"서울특별시 송파구 정의로7길 13, 힐스테이트에코송파 1층 130호 (문정동)",05835,1,03,폐업,일반세탁업,,,,,,1
,,,엘림모피크리닝,일반세탁업,,,,,183784.522926487,423695.2322789,2026-04-25 03:03:03,U,01,영업,,2026-04-24 09:53:52,2003-09-25,38.38,425-853,경기도 안산시 단원구 초지동 698-4 1층,N,,5560000-205-2003-00061,3930000,"경기도 안산시 단원구 신촌6길 20, 1층 양지마을 상가 108호 (초지동, 698-4)",15440,,01,영업/정상,일반세탁업,031-485-9998,1,,1,,
1,,0,소정세탁소,일반세탁업,,,,,165128.771649128,415306.063474084,2026-04-25 03:03:03,U,01,영업,,2026-04-24 09:54:47,2010-05-17,.00,425-320,경기도 안산시 단원구 대부동동 215-18,N,,3930000-205-2010-00005,3930000,"경기도 안산시 단원구 대부황금로 787 (대부동동, 215-18)",15643,1,01,영업/정상,일반세탁업,032-884-9597,,,,,2
0,,0,씨엔제이세탁,일반세탁업,,,,,187470.589444443,424542.047500406,2026-04-25 03:03:03,U,01,영업,,2026-04-24 09:55:55,1995-02-16,18.80,426-821,경기도 안산시 상록구 부곡동 695-11 1층,N,,5550000-205-1995-00010,3930000,"경기도 안산시 상록구 부곡로 3, 1층 (부곡동)",15317,0,01,영업/정상,일반세탁업,031-409-3650,0,0,0,0,0
,,,믿음세탁소,일반세탁업,,,,,187630.091396343,423215.3622082,2026-04-25 03:03:03,U,01,영업,,2026-04-24 09:44:22,2002-03-20,42.19,426-856,경기도 안산시 상록구 이동 540-5,N,,5550000-205-2002-00005,3930000,경기도 안산시 상록구 석삼말로4길 3 (이동),15509,,01,영업/정상,일반세탁업,031-409-8755,,,,,
0,,0,세기세탁소,일반세탁업,,,,,187015.941578938,421477.311568544,2026-04-25 03:03:03,U,01,영업,,2026-04-24 09:47:36,2002-12-17,27.00,426-823,경기도 안산시 상록구 사동 1332-15 1층 일부,N,,5550000-205-2002-00015,3930000,"경기도 안산시 상록구 당골1길 11, 1층 일부 (사동)",15582,0,01,영업/정상,일반세탁업,031-416-9254,0,0,0,0,0
0,,0,현대크리닝,일반세탁업,,,,,187669.402439845,422561.373225773,2026-04-25 03:03:03,U,01,영업,,2026-04-24 09:52:12,2004-08-25,27.99,426-857,경기도 안산시 상록구 이동 577-9 1층,N,,5550000-205-2004-00023,3930000,"경기도 안산시 상록구 매화로3길 13, 1층 (이동)",15518,0,01,영업/정상,일반세탁업,031-408-8944,0,0,0,0,0
3,,0,하이안세탁소,일반세탁업,,,,,185873.42767174,422083.9067652,2026-04-25 03:03:03,U,01,영업,,2026-04-24 09:53:02,2004-10-11,32.24,426-896,경기도 안산시 상록구 사동 1167-6 1층,N,,5550000-205-2004-00027,3930000,"경기도 안산시 상록구 학사3길 10, 1층 (사동)",15586,0,01,영업/정상,일반세탁업,031-501-0815,1,0,0,0,2
