건축물동수,건축물연면적,사업장명,폐업일자,법인명,좌표X,좌표Y,문화체육업종명,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,보험가입여부코드,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지도자수,지번주소,회원모집총인원,관리번호,개방자치단체코드,공사립구분명,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호
,,청기와골프장,2013-12-04,,192579.727675563,450446.890829184,골프연습장업,2026-04-25 22:31:03,I,03,폐업,,2013-12-04 17:27:36,,1989-12-29,121-842,,서울특별시 마포구 서교동 460-25,,CDFH3301051989000001,3130000,사립,,,03,폐업,,,
,,마스터즈,2008-10-02,,192776.687075181,449657.674645286,골프연습장업,2026-04-25 22:31:03,I,03,폐업,0,2008-10-02 15:55:06,,1996-11-06,121-895,,서울특별시 마포구 서교동 400-3,,CDFH3301051996000004,3130000,사립,서울특별시 마포구 독막로7길 27  (서교동),,03,폐업,,,
,,한양골프스쿨,2012-12-07,,193504.422765184,451128.233048145,골프연습장업,2026-04-25 22:31:03,I,03,폐업,,2012-12-07 17:57:18,,1997-09-09,121-240,,서울특별시 마포구 연남동 226-14 지층,,CDFH3301051997000001,3130000,사립,"서울특별시 마포구 연희로 39  (연남동,지층)",,03,폐업,,,
,,그린 스크린골프,2014-06-10,,,,골프연습장업,2026-04-25 22:31:03,I,03,폐업,,2014-06-10 11:01:32,,2000-05-16,121-805,,서울특별시 마포구 공덕동 445-2,,CDFH3301052000000001,3130000,사립,서울특별시 마포구 백범로 172 (공덕동),,03,폐업,,,
,,늘푸른골프연습장,2018-02-07,,195669.217619713,448393.658663222,골프연습장업,2026-04-25 22:31:03,I,03,폐업,,2018-02-07 15:29:01,,2000-11-21,121-814,,서울특별시 마포구 도화동 353 현대홈타운 상가 지102호,,CDFH3301052000000002,3130000,사립,"서울특별시 마포구 도화4길 73, 지102호 (도화동)",04180,03,폐업,,,02-713-0757
,,한성골프크리닉스쿨,2025-09-29,,193682.985685646,449428.455705347,골프연습장업,2026-04-25 22:31:03,I,03,폐업,,2025-09-30 10:08:51,,2000-12-01,,,서울특별시 마포구 창전동 333,,CDFH3301052000000003,3130000,사립,"서울특별시 마포구 독막로22길 9, 지하1층 (창전동)",04078,03,폐업,,,02-3141-7798
,,고려골프연습장,2008-01-22,,196057.949965838,449897.213071289,골프연습장업,2026-04-25 22:31:03,I,03,폐업,0,2008-01-22 15:03:16,,2001-01-10,121-861,,서울특별시 마포구 아현동 437-3 고려아카데미텔지층2-1호,,CDFH3301052001000002,3130000,사립,"서울특별시 마포구 마포대로 196  (아현동,고려아카데미텔지층2-1호)",,03,폐업,,,
,,하이스트,2005-02-18,,194878.789499404,449445.264338074,골프연습장업,2026-04-25 22:31:03,I,03,폐업,0,2005-02-18 16:19:42,,2002-10-08,121-809,,서울특별시 마포구 대흥동 210-1,,CDFH3301052002000003,3130000,사립,서울특별시 마포구 백범로 104  (대흥동),,03,폐업,,,
,,서원실내골프연습장,2008-09-30,,196061.875299768,449398.25877767,골프연습장업,2026-04-25 22:31:03,I,03,폐업,0,2008-09-30 19:41:20,,2002-07-05,121-851,,서울특별시 마포구 신공덕동 5-27,,CDFH3301052002000004,3130000,사립,서울특별시 마포구 만리재옛길 32  (신공덕동),,03,폐업,,,
,,싱글골프연습장,2021-10-05,,191783.482359827,450660.899713462,골프연습장업,2026-04-25 22:31:03,I,03,폐업,,2021-10-05 18:13:33,,2002-09-11,,,서울특별시 마포구 망원동 482-9 망원우체국,,CDFH3301052002000006,3130000,사립,"서울특별시 마포구 월드컵로 111, 망원우체국 지하1층 (망원동)",03963,03,폐업,,,02-323-1345
