건축물동수,건축물연면적,사업장명,탈의실면적,폐업일자,법인명,좌표X,좌표Y,문화체육업종명,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,보험가입여부코드,최종수정시점,인허가취소일자,인허가일자,소재지면적,소재지우편번호,지도자수,휴게실면적,지번주소,회원모집총인원,관리번호,사무실면적,개방자치단체코드,공사립구분명,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호
0,0,대영헬스,,2012-02-28,,202966.7837047,460551.406386109,체력단련장업,2026-04-25 22:30:13,I,03,폐업,,2023-10-31 16:28:34,,1991-11-26,,132-924,,,서울특별시 도봉구 창동 655-20 4층,,CDFH3301061991000002,,3090000,사립,"서울특별시 도봉구 도봉로 468 (창동,4층)",,03,폐업,,,
,,오병헬스크럽,,2004-12-10,,203322.667868943,461614.137377211,체력단련장업,2026-04-25 22:30:13,I,03,폐업,0,2006-10-30 15:07:07,,1991-12-07,,132-893,,,서울특별시 도봉구 쌍문동 638,,CDFH3301061991000003,,3090000,사립,서울특별시 도봉구 해등로 161  (쌍문동),,03,폐업,,,
0,0,도원헬스클럽,,2013-05-15,,203383.359766028,459756.215388608,체력단련장업,2026-04-25 22:30:13,I,03,폐업,,2015-07-22 17:57:15,,1992-10-23,,132-918,,,서울특별시 도봉구 창동 581-71,,CDFH3301061992000001,,3090000,사립,서울특별시 도봉구 덕릉로 251 (창동),,03,폐업,,,
0,0,스타보디빌딩,,2009-11-20,,203254.18169642,462030.276017816,체력단련장업,2026-04-25 22:30:13,I,03,폐업,,2023-10-06 14:45:07,,1993-10-07,,132-858,,,서울특별시 도봉구 쌍문동 8-10,,CDFH3301061993000002,,3090000,사립,서울특별시 도봉구 도봉로139길 74 (쌍문동),,03,폐업,,,
,,한양헬스크럽,,2008-06-27,,202834.277755281,462194.074212594,체력단련장업,2026-04-25 22:30:13,I,03,폐업,0,2008-06-27 15:44:02,,1993-10-13,,132-932,,,서울특별시 도봉구 방학동 669-3 4,,CDFH3301061993000003,,3090000,사립,"서울특별시 도봉구 방학로 173  (방학동,4)",,03,폐업,,,
0,0,제일헬스크럽,,2005-08-31,,204462.811445887,461156.29642481,체력단련장업,2026-04-25 22:30:13,I,03,폐업,,2023-10-06 14:58:44,,1994-07-21,,132-899,,,서울특별시 도봉구 창동 16,,CDFH3301061994000001,,3090000,사립,서울특별시 도봉구 노해로 389 (창동),,03,폐업,,,
0,0,화랑남성육체미,,2021-03-23,,204004.945534634,461048.885008795,체력단련장업,2026-04-25 22:30:13,I,03,폐업,,2021-03-25 09:08:28,,1994-07-22,,132-908,0,,서울특별시 도봉구 창동 333-2,,CDFH3301061994000002,,3090000,사립,서울특별시 도봉구 노해로65길 11  (창동),,03,폐업,,,
,,스타헬스,,2001-05-23,,203086.122798129,462551.251671745,체력단련장업,2026-04-25 22:30:13,I,03,폐업,0,2006-10-30 15:08:23,,1994-10-04,,132-848,,,서울특별시 도봉구 방학동 661-39,,CDFH3301061994000003,,3090000,사립,서울특별시 도봉구 도당로13길 8  (방학동),,03,폐업,,,
0,0,아카데미헬스크럽,,2013-08-16,,203505.822005493,461349.92942954,체력단련장업,2026-04-25 22:30:13,I,03,폐업,,2023-10-06 14:50:41,,1995-04-13,,132-926,,,"서울특별시 도봉구 창동 715-26 상가3층1,2 호동",,CDFH3301061995000001,,3090000,사립,"서울특별시 도봉구 해등로 123, 호동 (창동,상가3층1,2)",,03,폐업,,,
,,장수헬스,,2001-09-24,,203017.62559825,462189.082846917,체력단련장업,2026-04-25 22:30:13,I,03,폐업,0,2006-10-30 15:11:32,,1995-04-24,,132-849,,,서울특별시 도봉구 방학동 671-18,,CDFH3301061995000002,,3090000,사립,서울특별시 도봉구 도당로 46  (방학동),,03,폐업,,,
