사업장명,사업자등록번호,종별명,업태구분명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,배출시설연간가동일수,배출시설조업시간,환경업무구분명,최종수정시점,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,주생산품명,방지시설연간가동일수,방지시설조업시간,도로명주소,도로명우편번호,재개업일자,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호,업종구분명
서울대학교병원,2088201633,2종,보건업,,199824.095974723,452984.360451452,2026-04-25 03:03:03,U,11,영업,365,24,대기배출업소관리,2026-04-24 11:15:25,2015-12-07,,서울특별시 종로구 연건동 28-21,300000021201500034,3000000,,365,,"서울특별시 종로구 대학로 101 (연건동, 서울대학교병원)",,,01,영업/정상,,,20722218,보건업
이랜드리테일NC구로점,6468501200,5종,백화점,,189570.360930049,444336.051330144,2026-04-25 03:03:03,U,11,영업,0,0,대기배출업소관리,2026-04-24 10:25:37,2005-11-16,,서울특별시 구로구 구로동 573,316000021200500029,3160000,,0,,서울특별시 구로구 구로중앙로 152 (구로동),,,01,영업/정상,,,,백화점
(주)케이이씨디바이스,2148792435,5종,부동산 임대업,,203762.112124282,441652.086259927,2026-04-25 03:03:03,U,11,영업,,,대기배출업소관리,2026-04-24 14:33:10,2022-05-27,,서울특별시 서초구 양재동 275-5 태석빌딩,321000021202200003,3210000,,,,"서울특별시 서초구 마방로10길 5, 태석빌딩 (양재동)",06775,,01,영업/정상,,,,부동산 임대업
모터스케이(주),1448114119,5종,도장및기타피막처리업,,211392.362956849,432863.060258076,2026-04-25 03:03:03,U,11,영업,300,8,대기배출업소관리,2026-04-24 16:03:33,2005-04-15,,경기도 성남시 분당구 이매동 92-2,378000021200500002,3780000,,300,,경기도 성남시 분당구 방아로 4 (이매동),13569,,01,영업/정상,,,031-705-8300,도장및기타피막처리업
현대자동차정비공업사(주),1278135725,5종,자동차 종합 수리업,,201692.062462624,472529.291626898,2026-04-25 03:03:03,U,11,영업,300,8,대기배출업소관리,2026-04-24 10:49:09,2000-03-02,,경기도 의정부시 가능동 415-2,382000021200000001,3820000,,300,,경기도 의정부시 입석로 52 (가능동),,,01,영업/정상,,,031-878-8400,자동차 종합 수리업
(주)가온기획,5918802079,5종,자동차 종합 수리업,,197519.033281228,414679.639799346,2026-04-25 03:03:03,U,11,영업,300,8,대기배출업소관리,2026-04-24 15:09:34,2018-08-22,,"경기도 수원시 권선구 오목천동 661 , 661-2번지",376000021201800003,3740000,정비차량,300,,,,,01,영업/정상,,,,자동차 종합 수리업
현대영통서비스(주),1248637753,5종,자동차 수리 및 세차업,,205587.387937865,417187.25554419,2026-04-25 03:03:03,U,11,영업,300,6,대기배출업소관리,2026-04-24 16:20:29,2005-10-31,,경기도 수원시 영통구 영통동 77-8,561000021200500004,3740000,,300,,경기도 수원시 영통구 영통로345번길 15 (영통동),,,01,영업/정상,,,,자동차 수리 및 세차업
신영통현대서비스 주식회사,5098603075,5종,자동차 종합 수리업,,203982.368685332,416384.227738246,2026-04-25 03:03:03,U,11,영업,300,8,대기배출업소관리,2026-04-24 16:20:12,2013-08-22,,경기도 수원시 영통구 신동 532-3,561000021201300002,3740000,,300,,경기도 수원시 영통구 권선로 899 (신동),,,01,영업/정상,,,031-203-3775,자동차 종합 수리업
대영에프앤에스(주),1258137111,5종,조미료 및 조미료 및 식품 첨가물 제조업,,207492.517941439,390110.101639329,2026-04-25 03:03:03,U,11,영업,300,8,대기배출업소관리,2026-04-24 08:46:47,2003-01-27,,경기도 평택시 세교동 538-3,391000021200300010,3910000,,300,,경기도 평택시 세교산단로 68-22 (세교동),17843,,01,영업/정상,,,031-656-3461,조미료 및 조미료 및 식품 첨가물 제조업
(주)엠제이비,7718803524,5종,도금업,,178519.825381403,423759.842927803,2026-04-25 03:03:03,U,11,영업,,,대기배출업소관리,2026-04-24 14:19:37,2017-10-12,,경기도 안산시 단원구 성곡동 637-15,393000021201700238,3930000,,,,,,,01,영업/정상,,,031-495-3100,도금업
정도이앤피(주),,4종,합성수지 및 기타 플라스틱물질 제조업,,181401.744476129,422948.87273741,2026-04-25 03:03:03,U,11,영업,,,대기배출업소관리,2026-04-24 14:05:26,2016-04-04,,경기도 안산시 단원구 원시동 780-4,393000021201600013,3930000,,,,경기도 안산시 단원구 범지기로141번길 9 (원시동),15434,,01,영업/정상,,,031-494-5601,합성수지 및 기타 플라스틱물질 제조업
순풍상사,,5종,자동차 종합 수리업,2026-04-24,,,2026-04-25 03:03:03,U,2,폐업,0,0,대기배출업소관리,2026-04-24 13:22:14,2003-12-19,,경기도 남양주시 진접읍 진벌리 439,399000021200300066,3990000,,0,,,,,03,폐업,,,,자동차 종합 수리업
오산롯데캐슬스카이파크 입주자대표회의,2148281137,4종,금융업,,,,2026-04-25 03:03:03,U,11,영업,365,24,대기배출업소관리,2026-04-24 09:33:48,2023-11-24,,경기도 오산시 원동 921 오산롯데캐슬스카이파크,400000021202300004,4000000,,365,,"경기도 오산시 원당로 35 (원동, 오산롯데캐슬스카이파크)",18149,,01,영업/정상,,,031-378-6411,금융업
