신청일자,항목값1,사업장명,업소구분명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,지정일자,상세영업상태코드,상세영업상태명,최종수정시점,인허가일자,소재지,소재지우편번호,지번주소,관리번호,개방자치단체코드,도로명주소,도로명우편번호,재개업일자,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호
2026-03-06,관급봉투,지에스(GS)25 망원라비앙,지정,,190901.774895161,450838.213703916,2026-04-25 22:30:24,I,2026-03-16,11,영업,2026-03-16 12:54:35,2026-03-16,서울특별시 마포구 망원동 464-12 라비앙로즈,,서울특별시 마포구 망원동 464-12 라비앙로즈,313000014202600006,3130000,"서울특별시 마포구 방울내로9안길 104, 101, 102호 (망원동, 라비앙로즈)",03955,,01,영업/정상,,,
2016-06-30,관급봉투,성산마트,지정,2022-07-27,191435.876990887,451990.707795053,2026-04-25 22:30:17,I,2016-07-12,2,폐업,2026-02-09 17:04:23,2016-07-12,,,,313000014201600040,3130000,"서울특별시 마포구 월드컵북로 230, 성산현대상가지층층 (중동, 현대상가)",03941,,03,폐업,,,
2008-09-12,관급봉투,서울슈퍼,종료,2016-12-09,195546.510655891,450233.769712672,2026-04-25 22:30:17,I,2008-09-12,2,폐업,2026-02-09 17:46:14,2016-12-09,서울특별시 마포구 아현2동 659-5 2층 1호,,서울특별시 마포구 아현동 659-5 2층 1호,313000014201600078,3130000,,,,03,폐업,,,02-313-2089
2010-11-16,관급봉투,(주)다은유통,종료,2016-05-25,190707.026133738,452612.042328463,2026-04-25 22:30:15,I,2010-11-16,2,폐업,2026-02-09 09:42:27,2010-12-02,서울특별시 마포구 상암동 31번지 6호,121-270,서울특별시 마포구 상암동 31-6,313000014201000002,3130000,,,,03,폐업,,,
2014-10-13,관급봉투,GS25 상수행복점,지정,2026-01-07,192986.493943126,449610.197628444,2026-04-25 22:30:16,I,2014-10-13,2,폐업,2026-01-07 13:50:58,2014-10-13,서울특별시 마포구 상수동 312번지 4호 지하지층,121-829,서울특별시 마포구 상수동 312-4 지하지층,313000014201400011,3130000,서울특별시 마포구 와우산로11길 28 (상수동),,,03,폐업,,,
2016-01-21,관급봉투,홈플러스㈜익스프레스 상암점,지정,2024-04-18,189315.310470024,453647.190988422,2026-04-25 22:30:16,I,2016-01-22,2,폐업,2026-02-09 10:23:11,2014-10-23,서울특별시 마포구 상암동 1740번지,121-270,서울특별시 마포구 상암동 1740,313000014201400018,3130000,서울특별시 마포구 월드컵북로 502 (상암동),,,03,폐업,,,02-303-8551
2015-01-10,관급봉투,씨유 신마포강변점,지정,2026-01-07,195006.767292504,448533.382459215,2026-04-25 22:30:16,I,2015-01-10,2,폐업,2026-01-07 13:06:15,2015-01-10,서울특별시 마포구 마포동 34번지 1호,121-703,서울특별시 마포구 마포동 34-1,313000014201500015,3130000,"서울특별시 마포구 마포대로 19, 105호 (마포동, 강변한신코아)",,,03,폐업,,,02-703-8645
2015-04-30,관급봉투,공덕할인마트,종료,2026-02-03,196003.236176187,449290.657188201,2026-04-25 22:30:16,I,2015-05-07,2,폐업,2026-02-03 09:09:25,2015-05-07,,,,313000014201500043,3130000,서울특별시 마포구 만리재옛길 22 (신공덕동),,,03,폐업,,,02-702-0388
2015-11-27,관급봉투,씨유상암4단지,지정,2024-12-19,190097.791838986,452827.150591544,2026-04-25 22:30:16,I,2015-12-11,2,폐업,2026-02-09 16:18:09,2015-12-11,,,,313000014201500081,3130000,"서울특별시 마포구 월드컵북로 381, 상가동 111호 (상암동, 상암 월드컵파크 4단지)",03907,,03,폐업,,,02-308-5287
2019-04-01,관급봉투,세븐일레븐 합정역점,지정,2026-01-07,192402.468624287,449701.62502855,2026-04-25 22:30:18,I,2019-04-08,2,폐업,2026-01-07 15:01:24,2019-04-07,서울특별시 마포구 서교동 394번지 25호 동양한강트레벨 101호,,서울특별시 마포구 서교동 394-25 동양한강트레벨 101호,313000014201900024,3130000,"서울특별시 마포구 양화로 56, 동양한강트레벨 101호 (서교동)",04045,,03,폐업,,,
2017-06-27,관급봉투,씨유 신마포강변점,지정,2026-01-07,194974.587674037,448229.063825491,2026-04-25 22:30:17,I,2017-11-21,2,폐업,2026-01-07 13:09:19,2017-11-21,,,서울특별시 마포구 마포동 350 강변한신코아빌딩,313000014201700074,3130000,"서울특별시 마포구 마포대로4다길 18, 1층 105호 (마포동)",04177,,03,폐업,,,02-703-8645
