사업장명,폐업일자,좌표X,좌표Y,민원종류명,데이터갱신시점,데이터갱신구분,지정일자,상세영업상태코드,상세영업상태명,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호
미니스톱 신림미림점,2022-06-29,193956.613331996,440364.215850511,제7조의3제2항에따른경우,2026-04-25 22:30:57,I,2019-02-28,2,폐업처리,2022-06-29 16:51:11,,2019-02-28,,서울특별시 관악구 신림동 306번지 6호,2019320022505600024,3200000,서울특별시 관악구 호암로18가길 1 (신림동),08821,03,폐업,,,
지에스(GS)25 관악세봉점,,195691.358641318,441553.182236914,제7조의3제2항에따른경우,2026-04-25 22:31:01,I,2024-11-25,0,정상영업,2024-11-26 09:22:23,,2024-11-25,,서울특별시 관악구 봉천동 1591-2 서울대입구삼성아파트,2024320022505600048,3200000,"서울특별시 관악구 관악로 125, 101동 101호 (봉천동, 서울대입구삼성아파트)",08833,01,영업/정상,,,
지에스 25 (GS25) 난곡로,,192427.198450417,441944.759298528,제7조의3제2항에따른경우,2026-04-25 22:30:57,I,2019-02-28,3,직권취소,2022-04-25 14:03:46,2022-04-25,2019-02-28,,서울특별시 관악구 신림동 1567번지 1호,2019320022505600019,3200000,"서울특별시 관악구 난곡로 288, 1층,2층 (신림동)",08772,04,취소/말소/만료/정지/중지,,,
우성마트,2011-03-24,196498.032859003,442496.700748659,2009년11월법개정전자료,2026-04-25 22:30:47,I,2009-02-25,2,폐업처리,2011-03-24 15:50:48,,2009-02-25,151-775,서울특별시 관악구 행운동 1706번지 1호 우성아파트상가 105호,2009320013105600017,3200000,"서울특별시 관악구 관악로30길 40, 105호 (봉천동,우성아파트상가)",,03,폐업,,,
장미투포맨샾,2009-05-12,192951.288903358,440819.456405818,2009년11월법개정전자료,2026-04-25 22:30:46,I,2008-07-30,2,폐업처리,2009-05-12 14:24:45,,2008-07-30,151-010,서울특별시 관악구 신림동 640번지 4호,2008320010605600086,3200000,서울특별시 관악구 난곡로24나길 1 (신림동),,03,폐업,,,
,,197137.062877202,441035.553502607,2009년11월법개정전자료,2026-04-25 22:30:18,I,1998-01-01,5,지정취소,2014-08-26 17:07:29,2014-08-26,1998-01-01,,서울특별시 관악구 봉천동 178번지 69  호,2000320008005600658,3200000,서울특별시 관악구 인헌15길 18 (봉천동),,04,취소/말소/만료/정지/중지,,,
(주)바이더웨이신림고시촌점,2006-07-05,194239.449767996,440909.383541136,,2026-04-25 22:30:36,I,,2,폐업처리,2008-02-21 00:00:00,,2004-03-04,,서울특별시 관악구 신림동 1520호,2004320008005600032,3200000,서울특별시 관악구 호암로26길 36 (신림동),,03,폐업,,,02-2164-7412
LG25관악제일,2003-02-24,195691.421326318,441938.943805198,,2026-04-25 22:30:23,I,,2,폐업처리,2008-02-21 00:00:00,,1998-01-01,,서울특별시 관악구 봉천동 863번지 13호,2000320008005601853,3200000,서울특별시 관악구 관악로 161 (봉천동),,03,폐업,,,02-874-5255
씨유관악신사점,2016-11-07,192505.297422325,442304.2308909,제7조의3제2항에따른경우,2026-04-25 22:30:53,I,2015-04-15,2,폐업처리,2016-11-07 09:10:42,,2015-04-15,151-015,서울특별시 관악구 신림동 525번지 26호 1층,2015320021105600044,3200000,"서울특별시 관악구 관천로11길 160, 1층 (신림동)",,03,폐업,,,
보배슈퍼,2001-08-31,195612.280008143,442537.797301841,,2026-04-25 22:30:18,I,,2,폐업처리,2008-02-21 00:00:00,,1998-01-01,,서울특별시 관악구 봉천동 49번지 60호,2000320008005600447,3200000,서울특별시 관악구 중앙길 67 (봉천동),,03,폐업,,,
(재) 케이티그룹희망나눔재단 구로,2018-10-12,191348.301480814,442103.422014776,제7조의3제3항에따른경우,2026-04-25 22:30:49,I,2009-11-02,2,폐업처리,2018-10-12 16:38:16,,2009-11-02,151-705,서울특별시 관악구 조원동 1660번지 6층,2009320013105600121,3200000,"서울특별시 관악구 조원중앙로1길 26, 6층 (신림동, KT구로지사)",,03,폐업,,,
민성미헤어클럽,2013-07-16,193854.076176515,440332.15713511,제7조의3제2항에따른경우,2026-04-25 22:30:41,I,2005-08-30,2,폐업처리,2013-07-16 14:44:57,,2005-08-30,,서울특별시 관악구 신림동 304번지 85  호,2005320008005600105,3200000,서울특별시 관악구 호암로 531-1 (신림동),,03,폐업,,,02-882-4808
미니스톱 관악경옥점,2011-08-11,195521.566309148,442015.719738593,2009년11월법개정전자료,2026-04-25 22:30:37,I,2004-06-04,2,폐업처리,2011-08-11 10:05:04,,2004-06-04,,서울특별시 관악구 봉천동 877번지 1   호,2004320008005600076,3200000,서울특별시 관악구 관악로15길 39 (봉천동),,03,폐업,,,
(주)성대유통,2007-10-17,194105.83773903,441118.63201066,2009년11월법개정전자료,2026-04-25 22:30:26,I,2001-05-02,2,폐업처리,2007-10-17 15:24:45,,2001-05-02,,서울특별시 관악구 신림동 110번지 10호,2001320008005602101,3200000,서울특별시 관악구 신림로 144 (신림동),,03,폐업,,,02-886-0400
지에스(GS)25 난곡성당점,2026-03-30,192997.563589497,440874.243770197,제7조의3제2항에따른경우,2026-04-25 22:31:01,I,2024-09-02,2,폐업처리,2026-03-30 09:23:37,,2024-09-02,,서울특별시 관악구 신림동 638-2,2024320022505600044,3200000,서울특별시 관악구 난곡로26길 34 (신림동),08856,03,폐업,,,
지에스25(GS25) 관악당곡점,,194133.423487329,442601.719425132,제7조의3제2항에따른경우,2026-04-25 22:30:59,I,2022-04-27,0,정상영업,2022-04-28 14:15:15,,2022-04-27,,서울특별시 관악구 봉천동 961-13,2022320022505600022,3200000,"서울특별시 관악구 남부순환로191길 8, 1층 (봉천동)",08756,01,영업/정상,,,
서울관악지역자활센터 GS25(지에스25) 관악쑥고개점,,195612.276667082,441896.816423377,제7조의3제2항에따른경우,2026-04-25 22:31:00,I,2022-06-22,0,정상영업,2022-06-23 16:49:17,,2022-06-22,,서울특별시 관악구 봉천동 865-1,2022320022505600035,3200000,"서울특별시 관악구 쑥고개로 133, 1층 (봉천동)",08787,01,영업/정상,,,
지에스(GS)25 봉천래인점,,195854.477831778,442748.844675788,제7조의3제2항에따른경우,2026-04-25 22:30:57,I,2019-10-04,0,정상영업,2019-10-04 15:41:27,,2019-10-04,,서울특별시 관악구 봉천동 41번지 202호,2019320022505600072,3200000,서울특별시 관악구 은천로35나길 2 (봉천동),08728,01,영업/정상,,,
E-플러스마트,2006-06-12,192314.98020026,441405.476175492,,2026-04-25 22:30:42,I,,2,폐업처리,2008-02-21 00:00:00,,2005-11-07,,서울특별시 관악구 신림동 1717호 두영아파트상가,2005320008005600135,3200000,,,03,폐업,,,
신세계 할인마트,2006-05-26,197591.531656394,441057.855865365,,2026-04-25 22:30:43,I,,2,폐업처리,2008-02-21 00:00:00,,2006-03-29,,서울특별시 관악구 남현동 1136호 한일유앤아이 아파트상가 103,2006320008005600035,3200000,"서울특별시 관악구 남부순환로256라길 25 (남현동,한일유앤아이 아파트상가 103)",,03,폐업,,,
G세븐슈퍼,2015-06-22,192931.622461436,442281.035785219,제7조의3제2항에따른경우,2026-04-25 22:30:53,I,2014-09-26,2,폐업처리,2015-06-22 16:56:39,,2014-09-26,151-015,서울특별시 관악구 신림동 1576번지 15호 1층,2014320019105600083,3200000,"서울특별시 관악구 남부순환로 1532, 1층 (신림동)",,03,폐업,,,
G세븐슈퍼,,192931.622461436,442281.035785219,제7조의3제2항에따른경우,2026-04-25 22:30:50,I,2011-08-29,3,직권취소,2014-09-05 14:32:50,2014-09-04,2011-08-29,151-899,서울특별시 관악구 미성동 1576번지 15호 1층,2011320019105600135,3200000,"서울특별시 관악구 남부순환로 1532 (신림동,1층)",,04,취소/말소/만료/정지/중지,,,
성환수퍼,,,,2009년11월법개정전자료,2026-04-25 22:30:22,I,1998-01-01,5,지정취소,2015-12-07 13:34:52,2015-12-04,1998-01-01,151-842,서울특별시 관악구 봉천동 1543번지 24호,2000320008005601646,3200000,서울특별시 관악구 참숯길 23 (봉천동),,04,취소/말소/만료/정지/중지,,,
가판점,2001-08-29,191342.399599631,442410.463659236,,2026-04-25 22:30:21,I,,2,폐업처리,2008-02-21 00:00:00,,1998-01-01,,서울특별시 관악구 신림동 1643번지 6  호,2000320008005601488,3200000,서울특별시 관악구 시흥대로 572 (신림동),,03,폐업,,,
뉴관악마트,2005-11-24,195908.378183186,441487.422547798,,2026-04-25 22:30:34,I,,2,폐업처리,2008-02-21 00:00:00,,2003-07-18,,서울특별시 관악구 봉천동 1616번지 1호 1층,2003320008005600115,3200000,"서울특별시 관악구 관악로8길 32 (봉천동,1층)",,03,폐업,,,02-882-6703
내고향마트,2017-10-12,196140.260379618,442971.065859133,제7조의3제2항에따른경우,2026-04-25 22:30:52,I,2012-07-27,2,폐업처리,2017-10-12 15:50:52,,2012-07-27,151-805,서울특별시 관악구 성현동 7번지 312호 동아타운 21,2012320019105600078,3200000,"서울특별시 관악구 관악로37길 15 (봉천동, 동아타운 21 (101, 102, 108호))",,03,폐업,,,
부흥슈퍼,2008-03-11,,,2009년11월법개정전자료,2026-04-25 22:30:43,I,2006-04-10,2,폐업처리,2008-03-11 16:44:00,,2006-04-10,,서울특별시 관악구 봉천동 850번지 2   호,2006320008005600042,3200000,서울특별시 관악구 서림1길 84 (봉천동),,03,폐업,,,
서울마트,2024-11-26,195728.658026589,441448.501701746,제7조의3제2항에따른경우,2026-04-25 22:30:49,I,2010-04-07,2,폐업처리,2024-11-26 11:15:44,,2010-04-07,151-839,서울특별시 관악구 청룡동 1592번지 15호,2010320013105600040,3200000,서울특별시 관악구 관악로 113 (봉천동),,03,폐업,,,
지에스(GS)25 난향타운점,,192491.84884891,440038.244390558,제7조의3제2항에따른경우,2026-04-25 22:31:01,I,2025-07-15,0,정상영업,2025-07-15 09:47:25,,2025-07-15,,서울특별시 관악구 신림동 674-1,2025320022505600022,3200000,"서울특별시 관악구 난향7길 2, 1층 (신림동)",08859,01,영업/정상,,,
주식회사 지에스25봉천메트로,,195635.738009117,442172.892032644,제7조의3제3항에따른경우,2026-04-25 22:31:01,I,2024-03-14,0,정상영업,2024-06-04 15:30:22,,2024-03-14,,서울특별시 관악구 봉천동 870-13 신원메트로빌,2024320022505600013,3200000,"서울특별시 관악구 남부순환로 1811, 신원메트로빌 101호 (봉천동)",08758,01,영업/정상,,,
