영업장주변구분명,건물소유구분명,사업장명,업태구분명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,시설총규모,공장사무직직원수,공장생산직직원수,공장판매직직원수,여성종사자수,등급구분명,보증액,본사직원수,홈페이지,최종수정시점,인허가일자,소재지면적,소재지우편번호,지번주소,다중이용업소여부,남성종사자수,관리번호,월세액,개방자치단체코드,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,위생업태명,소재지전화번호,전통업소지정번호,전통업소주된음식,급수시설구분명
,,(주)풀무원푸드앤컬처 한전아트센터,위탁급식영업,,202406.470363348,442611.972829952,2026-04-25 22:13:19,I,01,영업,1085,,,,,,,,,2026-04-24 16:06:08,2026-04-24,"1,085.00",137-862,서울특별시 서초구 서초동 1355 한전아트센터 1층,N,,3210000-120-2026-00004,,3210000,"서울특별시 서초구 효령로72길 60, 한전아트센터 1층 (서초동)",06732,01,영업/정상,위탁급식영업,,,,
,,파랑에프앤비 주식회사,위탁급식영업,,215384.782169675,468365.585261917,2026-04-25 21:13:09,I,01,영업,45.36,,,,,,,,,2026-04-24 16:33:28,2026-04-24,45.36,472-865,경기도 남양주시 진접읍 장현리 576-10 성심실버케어 주1동 지하1층 일부,N,,3990000-120-2026-00011,,3990000,"경기도 남양주시 진접읍 봉현로 51-39, 성심실버케어 주1동 지하1층 일부",12007,01,영업/정상,위탁급식영업,,,,상수도전용
,,사조푸디스트(주) 롯데쇼핑 아울렛 서울역점,위탁급식영업,,197229.761422932,450418.159244379,2026-04-25 03:03:03,U,01,영업,294.2,,,,,,,,,2026-04-24 16:13:57,2013-01-11,294.20,100-162,서울특별시 중구 봉래동2가 122-11 지하1층,N,,3010000-120-2013-00004,,3010000,"서울특별시 중구 한강대로 405 (봉래동2가, 지하1층)",04509,01,영업/정상,위탁급식영업,02-6965-2534,,,
,,주식회사 고메드갤러리아 대한항공인력개발센터,위탁급식영업,2026-04-24,187352.843019055,450261.240348781,2026-04-25 03:03:03,U,02,폐업,1052.7,,,,,,,,,2026-04-24 16:20:44,2023-12-29,"1,052.70",157-841,서울특별시 강서구 등촌동 653-25 등촌동KAL빌딩,N,,3150000-120-2023-00019,,3150000,"서울특별시 강서구 공항대로 453, 등촌동KAL빌딩 지하1층 (등촌동)",07570,03,폐업,위탁급식영업,02-3397-6000,,,상수도전용
,,주식회사 티시스 영등포,위탁급식영업,,192275.748653266,446540.337167547,2026-04-25 03:03:03,U,01,영업,292.8,,,,,,,,,2026-04-24 13:50:21,2015-12-22,292.80,150-983,서울특별시 영등포구 영등포동2가 94-151 흥국생명빌딩 지하1층,N,,3180000-120-2015-00011,,3180000,"서울특별시 영등포구 버드나루로2길 7 (영등포동2가, 흥국생명빌딩 지하1층)",07254,01,영업/정상,위탁급식영업,070-8285-5105,,,
,,롯데웰푸드(주)롯데시티호텔L7강남점,위탁급식영업,,204488.365267013,444832.873128843,2026-04-25 03:03:03,U,01,영업,130,,,,,,,,,2026-04-24 16:21:48,2022-04-18,130.00,135-876,서울특별시 강남구 삼성동 142-41 L7 HOTELS 강남타워,N,,3220000-120-2022-00010,,3220000,"서울특별시 강남구 테헤란로 415, L7 HOTELS 강남타워 지하2층 (삼성동)",06160,01,영업/정상,위탁급식영업,02-8903-8363,,,
,,롯데웰푸드(주) 안다즈서울강남,위탁급식영업,,202482.216634599,447020.420866992,2026-04-25 03:03:03,U,01,영업,362.62,,,,,,,,,2026-04-24 17:46:58,2026-01-02,362.62,135-893,서울특별시 강남구 신사동 603 ANdAZ,N,,3220000-120-2026-00002,,3220000,"서울특별시 강남구 논현로 854, ANdAZ 지하3층 (신사동)",06022,01,영업/정상,위탁급식영업,,,,
,,롯데웰푸드(주) 롯데알미늄본사점,위탁급식영업,,190344.613056384,440178.834647149,2026-04-25 03:03:03,U,01,영업,548.4,,,,,,,,,2026-04-24 15:34:24,2021-05-17,548.40,153-829,서울특별시 금천구 독산동 1005 독산역 롯데캐슬 금천롯데타워,N,,3170000-120-2021-00004,,3170000,"서울특별시 금천구 벚꽃로 104, 독산역 롯데캐슬 금천롯데타워 18층 (독산동)",08606,01,영업/정상,위탁급식영업,02-3469-3000,,,
,,한전아트센터,위탁급식영업,2026-04-24,202406.470363348,442611.972829952,2026-04-25 03:03:03,U,02,폐업,1085,,,,,,,,,2026-04-24 11:05:13,2024-04-29,"1,085.00",137-862,서울특별시 서초구 서초동 1355 1층,N,,3210000-120-2024-00006,,3210000,"서울특별시 서초구 효령로72길 60, 1층 (서초동)",06732,03,폐업,위탁급식영업,02-2105-8133,,,
기타,,주식회사 티시스 용인연수원,위탁급식영업,,213369.284551616,417223.935233339,2026-04-25 03:03:03,U,01,영업,22.75,,,,4,,,,,2026-04-24 13:39:34,2005-01-25,22.75,446-512,경기도 용인시 기흥구 상하동 92 흥국생명연수원,N,0,5630000-120-2005-00002,,4050000,"경기도 용인시 기흥구 중부대로819번길 57-9 (상하동,흥국생명연수원)",16996,01,영업/정상,위탁급식영업,070-8915-0553,,,상수도전용
,,온누리요양원점,위탁급식영업,2026-04-24,198108.658695566,470895.58750754,2026-04-25 03:03:03,U,02,폐업,52.44,,,,,,,,,2026-04-24 14:19:37,2025-04-28,52.44,482-812,경기도 양주시 장흥면 부곡리 77-5 1층일부,N,,5590000-120-2025-00006,,5590000,"경기도 양주시 장흥면 가마골로 246-54, 1층일부",11521,03,폐업,위탁급식영업,031-8028-2244,,,상수도전용
,,사조푸디스트 주식회사 이동훈연세정형외과의원점,위탁급식영업,,212053.656681385,440372.745245621,2026-04-25 03:03:03,U,01,영업,78.55,,,,,,,,,2026-04-24 14:45:34,2021-06-16,78.55,461-210,경기도 성남시 수정구 창곡동 559-2 슈퍼스타타워 407(일부)호,N,,3790000-120-2021-00006,,3780000,"경기도 성남시 수정구 위례서일로 10, 슈퍼스타타워 4층 407(일부)호 (창곡동)",13647,01,영업/정상,위탁급식영업,02-2174-2600,,,상수도전용
