영업장주변구분명,건물소유구분명,사업장명,업태구분명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,시설총규모,공장사무직직원수,공장생산직직원수,공장판매직직원수,여성종사자수,등급구분명,보증액,본사직원수,홈페이지,최종수정시점,인허가일자,소재지면적,소재지우편번호,지번주소,다중이용업소여부,남성종사자수,관리번호,월세액,개방자치단체코드,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,위생업태명,소재지전화번호,전통업소지정번호,전통업소주된음식,급수시설구분명
,임대,한촌FS,기타 식품제조가공업,2026-04-24,210963.139616186,476923.674262116,2026-04-25 03:03:03,U,02,폐업,0,,,,,,,,,2026-04-24 11:46:23,2020-04-07,80.34,487-826,경기도 포천시 소흘읍 이동교리 389-20,N,,5600000-106-2020-00008,,5600000,"경기도 포천시 소흘읍 호국로 223-24, 마동 1층",11184,03,폐업,기타 식품제조가공업,031-544-7318,,,상수도전용
,,YJ 유진농산 용산점,식품제조가공업,,196598.626105237,448346.089881683,2026-04-25 03:03:03,U,01,영업,5,0,0,0,,,,0,,2026-04-24 10:30:29,2014-08-04,106.22,140-831,서울특별시 용산구 용문동 1-74 지하1층,N,,3020000-106-2014-00016,,3020000,"서울특별시 용산구 원효로53가길 7, 지하1층 (용문동)",04364,01,영업/정상,식품제조가공업,02-702-1538,,,
,자가,맥심 플랜트(Maxim PLANT),기타 식품제조가공업,,200017.069114068,448304.992524074,2026-04-25 03:03:03,U,01,영업,0,0,0,0,,,,0,,2026-04-24 10:33:55,2018-04-18,57.20,140-892,서울특별시 용산구 한남동 683-140 1층,N,,3020000-106-2018-00002,,3020000,"서울특별시 용산구 이태원로 250, 1층 (한남동)",04400,01,영업/정상,기타 식품제조가공업,02-3271-0042,,,상수도전용
,,(주)주빈,기타 식품제조가공업,,,,2026-04-25 03:03:03,U,01,영업,8.4,0,0,0,,,,0,,2026-04-24 10:44:11,2018-08-31,19.00,140-846,서울특별시 용산구 원효로1가 37-5 1층,N,,3020000-106-2018-00008,,3020000,"서울특별시 용산구 원효로93길 18-6, 1층 (원효로1가)",04314,01,영업/정상,기타 식품제조가공업,02-713-4314,,,상수도전용
,,커피업 로스터스,기타 식품제조가공업,,197177.646750244,450239.515008707,2026-04-25 03:03:03,U,01,영업,0,0,0,0,,,,0,,2026-04-24 10:38:11,2023-07-17,15.00,140-828,서울특별시 용산구 서계동 220-4,N,,3020000-106-2023-00002,,3020000,"서울특별시 용산구 청파로 389, 1층 (서계동)",04300,01,영업/정상,기타 식품제조가공업,,,,상수도전용
,자가,푸디스트R&D가공센터,기타 식품제조가공업,,197195.627802108,449965.42368773,2026-04-25 03:03:03,U,01,영업,0,0,0,0,,,,0,,2026-04-24 10:43:28,2024-02-22,163.47,140-827,서울특별시 용산구 서계동 53,N,,3020000-106-2024-00001,,3020000,"서울특별시 용산구 청파로 363, 푸디스트빌딩 1층 (서계동)",04303,01,영업/정상,기타 식품제조가공업,02-2174-2628,,,상수도전용
,임대,주식회사 스파이서리,기타 식품제조가공업,,197968.8571106,449308.393167625,2026-04-25 03:03:03,U,01,영업,12.08,0,0,0,,,,0,,2026-04-24 10:39:07,2024-10-16,57.68,140-901,서울특별시 용산구 후암동 195-6,N,,3020000-106-2024-00003,,3020000,"서울특별시 용산구 두텁바위로 51, 3층 (후암동)",04335,01,영업/정상,기타 식품제조가공업,,,,상수도전용
,,엘카페커피로스터스,기타 식품제조가공업,,197900.988301195,449965.61516584,2026-04-25 03:03:03,U,01,영업,0,0,0,0,,,,0,,2026-04-24 10:48:10,2024-11-20,65.00,140-899,서울특별시 용산구 후암동 1-43 인성한의원,N,,3020000-106-2024-00004,,3020000,"서울특별시 용산구 후암로 68, B1호 (후암동, 인성한의원)",04327,01,영업/정상,기타 식품제조가공업,,,,상수도전용
,,유틸리티 커피 로스터스,기타 식품제조가공업,,196457.181055263,448036.605609909,2026-04-25 03:03:03,U,01,영업,0,0,0,0,,,,0,,2026-04-24 10:49:24,2025-03-06,21.29,140-847,서울특별시 용산구 원효로2가 92-9 원효카센타,N,,3020000-106-2025-00001,,3020000,"서울특별시 용산구 원효로48길 7, 원효카센타 (우측) 1층 (원효로2가)",04366,01,영업/정상,기타 식품제조가공업,,,,상수도전용
,,올웨이즈어거스트 로스터리,기타 식품제조가공업,,197532.027974506,448071.095207001,2026-04-25 03:03:03,U,01,영업,0,0,0,0,,,,0,,2026-04-24 10:39:33,2026-01-22,25.00,140-011,서울특별시 용산구 한강로1가 286,N,,3020000-106-2026-00001,,3020000,"서울특별시 용산구 한강대로 179, 1층 (한강로1가)",04375,01,영업/정상,기타 식품제조가공업,,,,상수도전용
,임대,주식회사 버킷,기타 식품제조가공업,,183660.688138053,451103.637666237,2026-04-25 03:03:03,U,01,영업,0,,,,,,,,,2026-04-24 15:55:16,2025-10-21,56.70,157-811,서울특별시 강서구 공항동 12-23,N,,3150000-106-2025-00005,,3150000,"서울특별시 강서구 공항대로15길 46, 1층 (공항동)",07618,01,영업/정상,기타 식품제조가공업,,,,
,,커피미학(주),기타 식품제조가공업,,204436.132670416,446827.331201142,2026-04-25 03:03:03,U,01,영업,0,0,0,0,,,,0,,2026-04-24 12:55:05,2016-12-22,16.50,135-952,서울특별시 강남구 청담동 58-12 201호,N,,3220000-106-2016-00040,,3220000,"서울특별시 강남구 도산대로96길 13, 201호호 (청담동)",06071,01,영업/정상,기타 식품제조가공업,02-3444-0770,,,
,,어업회사법인제주수협유통(주)인천가공센터,기타 식품제조가공업,,167109.359721989,438166.043272655,2026-04-25 03:03:03,U,01,영업,54.8,0,0,0,,,,0,,2026-04-24 17:11:05,2022-02-28,271.80,400-103,인천광역시 중구 신흥동3가 37-25 인천수산물수출물류센,N,,3490000-106-2022-00004,,3490000,"인천광역시 중구 축항대로296번길 35, 인천수산물수출물류센터 1층 (일부) (신흥동3가)",22340,01,영업/정상,기타 식품제조가공업,032-880-0611,,,
,,(주)타마루제면소,기타 식품제조가공업,2026-04-24,215739.492220732,436572.504167594,2026-04-25 03:03:03,U,02,폐업,0,0,0,0,,,,0,,2026-04-24 10:16:50,2022-12-02,338.61,462-807,경기도 성남시 중원구 상대원동 434-6 지하 101호,N,,3780000-106-2022-00045,,3780000,"경기도 성남시 중원구 둔촌대로 560, 벽산테크노피아아파트형공장 지하 101호 (상대원동)",13230,03,폐업,기타 식품제조가공업,031-745-5100,,,상수도전용
,,(주)파이토코퍼레이션,기타 식품제조가공업,,181376.331910043,444312.585092819,2026-04-25 03:03:03,U,01,영업,6.19,0,0,0,,,,0,,2026-04-24 09:50:18,2017-08-25,148.68,,"경기도 부천시 원미구 원미동 39-1 부천테크노밸리 U1 center B115,1122호 일부호",N,,3860000-106-2017-00047,,3860000,"경기도 부천시 원미구 조마루로385번길 92, 부천테크노밸리 U1 center B115,1122호 일부호 (원미동)",14558,01,영업/정상,기타 식품제조가공업,070-4866-0710,,,상수도전용
,,주식회사 로제코,기타 식품제조가공업,,179578.647143917,424895.626550111,2026-04-25 03:03:03,U,01,영업,0,,,,,,,,,2026-04-24 17:40:06,2025-10-23,610.00,425-839,경기도 안산시 단원구 신길동 1048-9 제이미크론 반월공장 A동 1층 일부,N,,3930000-106-2025-00014,,3930000,"경기도 안산시 단원구 해봉로273번길 12, 제이미크론 반월공장 A동 1층 일부 (신길동)",15420,01,영업/정상,기타 식품제조가공업,031-491-3001,,,
,,(주)피엔에프에스,식품제조가공업,,179717.129616499,421902.499998365,2026-04-25 03:03:03,U,01,영업,1065.7,14,0,0,0,,,0,,2026-04-24 17:48:53,1985-05-22,"3,444.95",425-100,경기도 안산시 단원구 목내동 435-1 (7블럭52롯트),N,0,3930000-106-1985-00003,,3930000,"경기도 안산시 단원구 해안로 136 (목내동,(7블럭52롯트))",15610,01,영업/정상,식품제조가공업,031-495-5555,,,
