건축연면적,건물용도명,사업장명,사업자등록번호,회의실별동시수용인원,폐업일자,자본금,좌표X,좌표Y,문화사업자구분명,문화체육업종명,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,영문상호주소,영문상호명,제작취급품목내용,시설면적,시설규모,지상층수,객실수,보험시작일자,보험종료일자,보험기관명,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,기획여행보험시작일자,기획여행보험종료일자,지역구분명,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,좌석수,무대면적,주변환경명,기념품종류,휴업시작일자,휴업종료일자,소재지전화번호,총층수,지하층수,선박척수,선박제원,선박총톤수
,,연운항훼리(주),,,2023-03-15,300000000,166762.831681487,440204.004764071,,종합여행업,2026-05-01 22:40:35,I,03,폐업,,,,,,,,2018-10-12,2019-10-11,,2023-03-16 08:46:53,,2010-10-13,400-800,인천광역시 중구 항동7가 1-2 제2국제여객터미널 1층,CDFI2260042010000003,3490000,,,,,,03,폐업,,,,,,,032-770-3700,,,,,
,,인천해양관광페리(주),,,2012-12-03,300000000,164347.264206283,441691.359256646,,종합여행업,2026-05-01 22:40:35,I,03,폐업,,,,,,,,,,,2012-12-06 08:54:05,,2011-04-15,400-201,인천광역시 중구 북성동1가 98-441,CDFI2260042011000001,3490000,,,,,,03,폐업,,,,,,,,,,,,
,,(주)미션투어,,,2016-09-30,200000000,166109.176427092,441621.012876198,,종합여행업,2026-05-01 22:40:35,I,03,폐업,,,,,,,,,,,2016-10-13 09:49:52,,2011-04-21,,인천광역시 중구 북성동2가 12-161,CDFI2260042011000002,3490000,,,,인천광역시 중구 제물량로 274 (북성동2가),22312,03,폐업,,,,,,,032-762-8000,,,,,
,,(주)다원티티에스,,,2015-04-01,200000000,166731.110323904,440906.729136447,,종합여행업,2026-05-01 22:40:36,I,03,폐업,,,,,,,,,,,2015-04-02 13:57:19,,2012-07-27,400-060,인천광역시 중구 사동 2-6 1층,CDFI2260042012000003,3490000,,,,"인천광역시 중구 우현로9번길 60, 1층 (사동)",,03,폐업,,,,,,,032-889-7722,,,,,
,숙박시설,오션사이드 호텔,,,2017-11-05,200000000,148688.435282215,436234.74275712,,종합여행업,2026-05-01 22:40:36,I,03,폐업,,,,,,5,,,,,2017-11-30 15:48:40,,2015-03-03,400-410,인천광역시 중구 덕교동 131-1,CDFI2260042015000001,3490000,,,자연녹지지역,인천광역시 중구 마시란로 40 (덕교동),22385,03,폐업,,,기타,,,,032-746-0072,6,1,,,
,,아이몽국제관광여행사,,,2016-10-01,200000000,166719.882366105,440810.956215248,,종합여행업,2026-05-01 22:40:36,I,03,폐업,,,,,,,,,,,2016-11-24 14:08:51,,2015-10-21,,인천광역시 중구 사동 13-4,CDFI2260042015000002,3490000,,,,"인천광역시 중구 인중로 178 (사동, 정우빌딩)",22313,03,폐업,,,,,,,070-4408-6564,,,,,
,,(주)위드스테이션,,,2018-06-20,100000000,168075.738066181,440303.869097829,,종합여행업,2026-05-01 22:40:37,I,03,폐업,,,,,,,,,,,2018-06-20 16:16:02,,2016-08-30,,인천광역시 중구 도원동 54-10,CDFI2260042016000005,3490000,,,,"인천광역시 중구 도원로8번길 67, 201호 (도원동)",22327,03,폐업,,,,,,,,,,,,
,,(주)위모,,,2019-10-11,21000000,166541.618650301,441253.90292891,,종합여행업,2026-05-01 22:40:37,I,03,폐업,,,,,,,,2018-10-10,2019-10-09,,2019-10-11 13:02:36,,2016-09-30,,인천광역시 중구 관동1가 3-3,CDFI2260042016000006,3490000,,,,"인천광역시 중구 신포로27번길 56, 2층 (관동1가)",22315,03,폐업,,,,,,,,,,,,
,,(주)보성여행사,,,2017-12-21,,167281.684595394,441241.732285959,,종합여행업,2026-05-01 22:40:37,I,03,폐업,,,,,,,,,,,2017-12-27 13:12:55,,2016-10-17,,인천광역시 중구 용동 228,CDFI2260042016000008,3490000,,,,"인천광역시 중구 우현로72번길 24, 1층 (용동)",22318,03,폐업,,,,,,,,,,,,
,,미향여행사,,,2019-07-11,,167525.986209189,440533.433354197,,종합여행업,2026-05-01 22:40:37,I,03,폐업,,,,,,,,,,,2019-07-11 15:27:26,,2017-05-18,,인천광역시 중구 신흥동2가 48-4,CDFI2260042017000003,3490000,,,,인천광역시 중구 서해대로449번길 11 (신흥동2가),22324,03,폐업,,,,,,,,,,,,
