건물용도명,사업장명,폐업일자,좌표X,좌표Y,문화사업자구분명,문화체육업종명,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,제작취급품목내용,시설면적,지상층수,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,지역구분명,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,주변환경명,휴업시작일자,휴업종료일자,소재지전화번호,총층수,지하층수
,(주) 리틀송(Little Song),2020-04-09,207908.583616035,449665.080993317,유통관련업,온라인음악서비스제공업,2026-05-01 22:30:36,I,03,폐업,www.jundosa.com,,,2020-04-11 20:02:09,,2011-10-19,,서울특별시 광진구 구의동 **-*,CDFF3241042011000002,3040000,,서울특별시 광진구 자양로 *** (구의동),04975,03,폐업,,,,02-444-7411,,
단독주택,개미소리,2008-10-28,183172.231545973,450771.887160069,유통관련업,온라인음악서비스제공업,2026-05-01 22:31:02,I,03,폐업,www.antz.kr,,4,2013-12-05 15:55:01,,2007-06-27,,서울특별시 강서구 공항동 **-**,CDFF3241042007000001,3150000,일반주거지역,서울특별시 강서구 송정로 ** (공항동),,03,폐업,기타,,,26655788,4,
,쿠아나 주식회사,2019-04-16,185299.392688927,450924.84508621,유통관련업,온라인음악서비스제공업,2026-05-01 22:31:02,I,03,폐업,www.cooana.com,,,2019-04-16 15:04:16,,2019-02-26,,서울특별시 강서구 마곡동 ***-* 마곡테크노타워,CDFF3241042019000001,3150000,,"서울특별시 강서구 마곡중앙*로 **, 마곡테크노타워 ***호 (마곡동)",07803,03,폐업,,,,,,
,애트주식회사,2012-01-04,192821.717906848,447564.911086117,유통관련업,온라인음악서비스제공업,2026-05-01 22:30:13,I,03,폐업,www.tvtimeless.com,,,2012-01-04 18:04:48,,2007-05-11,150-871,서울특별시 영등포구 여의도동 ** 청룡빌딩 *층,CDFF3241042007000002,3180000,,"서울특별시 영등포구 국회대로 ***  (여의도동,청룡빌딩 *층)",,03,폐업,,,,02-3775-3010,,
,(주)태일런스미디어,2012-08-21,192785.997964211,447523.1165117,유통관련업,온라인음악서비스제공업,2026-05-01 22:30:13,I,03,폐업,,38,,2012-08-22 09:52:42,,2009-04-30,,서울특별시 영등포구 여의도동 **-** 엘지에클라트 ***호,CDFF3241042009000001,3180000,,"서울특별시 영등포구 국회대로 ***,  ***호 (여의도동,엘지에클라트)",,03,폐업,,,,,,
,주식회사 이상엔터미디머,,209637.078215509,449832.485937903,유통관련업,온라인음악서비스제공업,2026-05-01 22:30:36,I,13,영업중,www.gcles.co.kr,80.95,,2011-02-24 15:00:16,,2011-02-24,,서울특별시 광진구 광장동 *** 현대골든텔 ***호,CDFF3241042011000001,3040000,,"서울특별시 광진구 아차산로**길 **,  ***호 (광장동,현대골든텔)",,01,영업/정상,,,,02-446-7080,,
아파트,고클래식,,209138.04726487,448993.925426656,유통관련업,온라인음악서비스제공업,2026-05-01 22:30:36,I,13,영업중,www.goclassic.co.kr,126.94,,2015-02-17 17:59:58,,2010-09-27,,서울특별시 광진구 광장동 ***-*,CDFF3241042015000001,3040000,주거지역,"서울특별시 광진구 아차산로 ***, *동 ***호 (광장동)",04971,01,영업/정상,,,,02-453-4041,,
,(주)리틀송뮤직,,207872.906965301,449818.880547015,유통관련업,온라인음악서비스제공업,2026-05-01 22:30:36,I,13,영업중,www.littlesongmusic.com,,,2020-05-25 10:26:00,,2019-03-21,,서울특별시 광진구 구의동 **-**,CDFF3241042019000001,3040000,,"서울특별시 광진구 천호대로 ***, *층 (구의동)",04992,01,영업/정상,,,,,,
,(주)리틀송뮤직,,207872.906965301,449818.880547015,유통관련업,온라인음악서비스제공업,2026-05-01 22:30:36,I,13,영업중,bgmfactory.com,,,2020-05-25 10:26:17,,2019-07-19,,서울특별시 광진구 구의동 **-**,CDFF3241042019000002,3040000,,"서울특별시 광진구 천호대로 ***, *층 (구의동)",04992,01,영업/정상,,,,,,
,미내팩토리,,200841.726990037,454721.505180141,유통관련업,온라인음악서비스제공업,2026-05-01 22:30:35,I,13,영업중,www.minae.co.kr,,,2014-12-11 16:12:45,,2014-12-11,,서울특별시 성북구 돈암동 ***-* 한신아파트 ***동 ****호,CDFF3241042014000001,3070000,,서울특별시 성북구 성북로*길 ** (돈암동),02831,01,영업/정상,,,,,,
,예진음악,,187584.738673387,448296.956209263,유통관련업,온라인음악서비스제공업,2026-05-01 22:31:02,I,13,영업중,www.popspia.co.kr,,,2013-12-12 17:07:01,,2013-12-12,,서울특별시 강서구 화곡동 ***-** A***호,CDFF3241042013000001,3150000,,"서울특별시 강서구 등촌로**길 **-**, A***호 (화곡동)",07733,01,영업/정상,,,,,,
,현대카드 주식회사,,192689.645965823,447427.723209548,유통관련업,온라인음악서비스제공업,2026-05-01 22:30:13,I,13,영업중,music.hyundaicard.com,,,2012-04-27 14:02:55,,2012-04-27,,서울특별시 영등포구 여의도동 **-** 현대캐피탈빌딩,CDFF3241042012000001,3180000,,"서울특별시 영등포구 의사당대로 * (여의도동, 현대캐피탈빌딩)",07237,01,영업/정상,,,,02-2167-6272,,
,(주)와이지플러스,,193326.931018911,446973.914570276,유통관련업,온라인음악서비스제공업,2026-05-01 22:30:13,I,13,영업중,,,,2022-05-17 17:37:31,,2017-11-09,,서울특별시 영등포구 여의도동 ** 서울 국제금융 센터,CDFF3241042022000001,3180000,,"서울특별시 영등포구 국제금융로 **, 서울 국제금융 센터 **층 (여의도동)",07326,01,영업/정상,,,,,,
,(주)누캐츠미디어,,194969.500442789,441945.481588201,유통관련업,온라인음악서비스제공업,2026-05-01 22:30:36,I,13,영업중,http://www.brandradio.co.kr/,,,2015-06-23 09:15:08,,2011-02-07,,서울특별시 관악구 봉천동 ****-**,CDFF3241042015000001,3200000,,"서울특별시 관악구 쑥고개로 **, *층 (봉천동, 보덕빌딩)",08785,01,영업/정상,,,,,,
,(주)레드슬리퍼스,,194133.306934991,440732.569663101,유통관련업,온라인음악서비스제공업,2026-05-01 22:30:36,I,13,영업중,,,,2024-03-07 10:36:47,,2022-08-08,,서울특별시 관악구 신림동 ****-*,CDFF3241042022000001,3200000,,"서울특별시 관악구 호암로**길 **, ***호 (신림동)",08812,01,영업/정상,,,,,,
