건축물동수,건축물연면적,사업장명,폐업일자,법인명,좌표X,좌표Y,문화체육업종명,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,보험가입여부코드,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지도자수,지번주소,회원모집총인원,관리번호,개방자치단체코드,공사립구분명,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호
0,0,남,1998-10-09,,204905.934016824,456539.548893239,당구장업,2026-05-01 22:40:49,I,03,폐업,,2003-04-18 14:23:36,,1987-07-27,136-828,0,서울특별시 성북구 장위동 64-124,,CDFH3301081987000002,3070000,사립,서울특별시 성북구 돌곶이로 91  (장위동),,03,폐업,,,
0,0,인연당구장,2000-06-16,,,,당구장업,2026-05-01 22:40:49,I,03,폐업,,2003-04-18 14:23:36,,1987-10-13,136-804,0,서울특별시 성북구 길음동 624-2,,CDFH3301081987000003,3070000,사립,,,03,폐업,,,
0,0,수현당구장,2000-07-14,,201130.721787437,455532.803099563,당구장업,2026-05-01 22:40:49,I,03,폐업,,2003-04-18 14:23:36,,1987-11-11,136-843,0,서울특별시 성북구 정릉동 109-2,,CDFH3301081987000004,3070000,사립,서울특별시 성북구 아리랑로 115  (정릉동),,03,폐업,,,
0,0,화랑당구장,1998-12-09,,205288.239440116,456677.726693477,당구장업,2026-05-01 22:40:49,I,03,폐업,,2003-04-18 14:23:36,,1988-07-20,136-817,0,서울특별시 성북구 석관동 173-1,,CDFH3301081988000001,3070000,사립,서울특별시 성북구 화랑로 286  (석관동),,03,폐업,,,
0,0,엘리제를 위하여 당구장,2000-04-20,,202551.784562238,453432.985430094,당구장업,2026-05-01 22:40:49,I,03,폐업,,2003-04-18 14:23:36,,1989-05-30,136-075,0,서울특별시 성북구 안암동5가 104-119,,CDFH3301081989000001,3070000,사립,,,03,폐업,,,
,,2000년 당구장,2007-07-23,,199935.152653698,457231.874595085,당구장업,2026-05-01 22:40:49,I,03,폐업,,2010-10-21 15:56:30,,1989-07-20,136-878,,서울특별시 성북구 정릉동 819-11 3층,,CDFH3301081989000002,3070000,사립,"서울특별시 성북구 보국문로 191  (정릉동,3층)",,03,폐업,,,
0,0,엘리트,1999-04-15,,204962.407875334,457229.208127853,당구장업,2026-05-01 22:40:49,I,03,폐업,,2003-04-18 14:23:36,,1989-07-27,136-826,0,서울특별시 성북구 장위동 121-1,,CDFH3301081989000003,3070000,사립,,,03,폐업,,,
0,0,반도당구장,2000-04-07,,199892.549870299,456124.599958029,당구장업,2026-05-01 22:40:49,I,03,폐업,,2003-04-18 14:23:36,,1989-07-28,136-856,0,서울특별시 성북구 정릉동 894-5,,CDFH3301081989000004,3070000,사립,서울특별시 성북구 정릉로10길 55  (정릉동),,03,폐업,,,
0,0,명문당구장,1999-06-05,,,,당구장업,2026-05-01 22:40:49,I,03,폐업,,2003-04-18 14:23:36,,1989-08-17,136-849,0,서울특별시 성북구 정릉동 277-150,,CDFH3301081989000005,3070000,사립,,,03,폐업,,,
0,0,코스모스당구장,2002-06-17,,202864.325504679,455764.576819093,당구장업,2026-05-01 22:40:49,I,03,폐업,,2003-04-18 14:23:36,,1989-08-18,136-874,0,서울특별시 성북구 하월곡동 90-286,,CDFH3301081989000006,3070000,사립,서울특별시 성북구 화랑로1길 25  (하월곡동),,03,폐업,,,
0,0,금성당구장,2000-09-08,,,,당구장업,2026-05-01 22:40:49,I,03,폐업,,2003-04-18 14:23:36,,1989-08-25,136-045,0,서울특별시 성북구 삼선동5가 29-9,,CDFH3301081989000007,3070000,사립,,,03,폐업,,,
0,0,정수당구장,2001-05-07,,204312.098226128,457163.314066608,당구장업,2026-05-01 22:40:49,I,03,폐업,,2003-04-18 14:23:36,,1989-09-05,136-833,0,서울특별시 성북구 장위동 237-78,,CDFH3301081989000008,3070000,사립,,,03,폐업,,,
0,0,상아당구장,2001-10-13,,,,당구장업,2026-05-01 22:40:49,I,03,폐업,,2003-04-18 14:23:36,,1989-09-06,136-140,0,서울특별시 성북구 장위동 293-8,,CDFH3301081989000009,3070000,사립,,,03,폐업,,,
,,대성당구장,2004-10-12,,,,당구장업,2026-05-01 22:40:49,I,03,폐업,0,2004-10-12 10:59:13,,1989-09-12,136-873,,서울특별시 성북구 하월곡동 88-345,,CDFH3301081989000010,3070000,사립,,,03,폐업,,,
0,0,동남당구장,2001-05-07,,201851.001175029,455544.333057963,당구장업,2026-05-01 22:40:49,I,03,폐업,,2003-04-18 14:23:36,,1989-10-12,136-800,0,서울특별시 성북구 길음동 877-183,,CDFH3301081989000011,3070000,사립,,,03,폐업,,,
0,0,위너 당구장,2001-05-07,,200823.017488077,453976.097543244,당구장업,2026-05-01 22:40:49,I,03,폐업,,2003-04-18 14:23:36,,1989-11-11,136-042,0,서울특별시 성북구 삼선동2가 123,,CDFH3301081989000012,3070000,사립,서울특별시 성북구 삼선교로 40  (삼선동2가),,03,폐업,,,
0,0,우신당구장,2001-05-07,,203364.473242709,455595.009313216,당구장업,2026-05-01 22:40:49,I,03,폐업,,2003-04-18 14:23:36,,1989-12-01,136-865,0,서울특별시 성북구 하월곡동 64-13,,CDFH3301081989000013,3070000,사립,서울특별시 성북구 화랑로 59  (하월곡동),,03,폐업,,,
0,0,곰두리당구장,1999-01-29,,204352.691736728,456130.37279183,당구장업,2026-05-01 22:40:49,I,03,폐업,,2003-04-18 14:23:36,,1989-12-15,136-120,0,서울특별시 성북구 상월곡동 23-157,,CDFH3301081989000015,3070000,사립,서울특별시 성북구 화랑로 177-1  (상월곡동),,03,폐업,,,
0,0,종암,1998-07-24,,,,당구장업,2026-05-01 22:40:49,I,03,폐업,,2003-04-18 14:23:36,,1989-12-16,136-864,0,서울특별시 성북구 종암동 3-900,,CDFH3301081989000016,3070000,사립,,,03,폐업,,,
0,0,청룡당구장,2000-04-20,,204812.657781087,456654.871159366,당구장업,2026-05-01 22:40:49,I,03,폐업,,2003-04-18 14:23:36,,1989-12-18,136-828,0,서울특별시 성북구 장위동 64-8,,CDFH3301081989000017,3070000,사립,서울특별시 성북구 돌곶이로 105  (장위동),,03,폐업,,,
