사업장명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,DTL_TASK_SE_NM,최종수정시점,인허가취소일자,인허가일자,소재지면적,소재지우편번호,지번주소,관리번호,개방자치단체코드,권리주체일련번호,도로명주소,도로명우편번호,재개업일자,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호
텐즈힐 애견미용,,202113.869605464,451897.581865192,2026-05-01 22:41:34,I,0000,정상,,2022-04-28 18:10:55,,2018-06-15,0,,서울특별시 성동구 상왕십리동 *** 텐즈힐,303000004920180003,3030000,000,"서울특별시 성동구 마장로 ***, ***동 *층 ***호 (상왕십리동, 텐즈힐)",04700,,01,영업/정상,,,
달링동물병원,,203911.513091074,448508.756036449,2026-05-01 22:41:34,I,0000,정상,,2022-04-28 18:10:55,,2018-07-06,0,,서울특별시 성동구 성수동*가 *** 트리마제상가 ***호,303000004920180004,3030000,000,"서울특별시 성동구 왕십리로 **, *층 ***호 (성수동*가, 트리마제)",04773,,01,영업/정상,,,02-466-8215
한양동물메디컬센터,,203200.771278441,450821.216569269,2026-05-01 22:41:34,I,0000,정상,,2022-04-28 18:10:55,,2018-08-22,0,,서울특별시 성동구 행당동 ***-* 중국한의원,303000004920180011,3030000,000,"서울특별시 성동구 왕십리로 ***, 중국한의원 (행당동)",04751,,01,영업/정상,,,
웨그앤코,,204716.564597489,448380.550963945,2026-05-01 22:41:34,I,0000,정상,,2022-04-28 18:10:55,,2018-08-22,0,,서울특별시 성동구 성수동*가 ***-***,303000004920180013,3030000,000,서울특별시 성동구 성덕정길 ** (성수동*가),04775,,01,영업/정상,,,02-468-5999
포레 동물병원,,204278.364927176,449042.483992878,2026-05-01 22:41:34,I,0000,정상,,2022-04-28 18:10:55,,2018-08-23,0,,서울특별시 성동구 성수동*가 **-** 정인숙보습학원,303000004920180014,3030000,000,"서울특별시 성동구 성수일로 **, 정인숙보습학원 *층 (성수동*가)",04779,,01,영업/정상,,,02-468-7975
강아지song,,205788.686163691,449668.451899142,2026-05-01 22:41:34,I,0000,정상,,2022-04-28 18:10:55,,2018-08-23,0,,서울특별시 성동구 송정동 **-** 송정약국,303000004920180020,3030000,000,"서울특별시 성동구 광나루로**길 **-*, 송정약국 (송정동)",04801,,01,영업/정상,,,02-466-8543
앙꼬네 미용실,,203169.659887723,450857.439094999,2026-05-01 22:41:34,I,0000,정상,,2022-04-28 18:10:55,,2018-08-23,0,,서울특별시 성동구 행당동 ***-*,303000004920180021,3030000,000,"서울특별시 성동구 왕십리로 ***, *층 (행당동)",04751,,01,영업/정상,,,
코코네 강아지 미용실,,204484.334390983,451406.00606178,2026-05-01 22:41:34,I,0000,정상,,2022-04-28 18:10:55,,2018-08-23,0,,서울특별시 성동구 용답동 **-*,303000004920180022,3030000,000,"서울특별시 성동구 용답중앙길 **, *층 (용답동)",04804,,01,영업/정상,,,
마이뷰티독,,202113.869605464,451897.581865192,2026-05-01 22:41:34,I,0000,정상,,2022-04-28 18:10:55,,2018-08-23,0,,서울특별시 성동구 상왕십리동 *** 텐즈힐,303000004920180023,3030000,000,"서울특별시 성동구 마장로 *** (상왕십리동, 텐즈힐)",04700,,01,영업/정상,,,
제인동물병원,,204763.80767636,448534.113764965,2026-05-01 22:41:34,I,0000,정상,,2022-04-28 18:10:56,,2018-09-14,0,,서울특별시 성동구 성수동*가 ***-**,303000004920180029,3030000,000,서울특별시 성동구 뚝섬로 *** (성수동*가),04781,,01,영업/정상,,,
금호동물병원,,202098.97937718,449891.972244601,2026-05-01 22:41:34,I,0000,정상,,2022-04-28 18:10:56,,2018-09-14,0,,서울특별시 성동구 금호동*가 **** 래미안하이리버 상가동,303000004920180034,3030000,000,"서울특별시 성동구 금호로 ***, 래미안하이리버 상가동 ***호 (금호동*가)",04728,,01,영업/정상,,,02-2281-0049
버블퍼피,,202558.335435687,450951.715052434,2026-05-01 22:41:35,I,0000,정상,,2022-04-28 18:10:56,,2018-09-14,0,,서울특별시 성동구 하왕십리동 ***-*,303000004920180037,3030000,000,서울특별시 성동구 무학봉길 ** (하왕십리동),04710,,01,영업/정상,,,
꿈꾸는강아지,,204224.456317702,449587.848144231,2026-05-01 22:41:35,I,0000,정상,,2022-04-28 18:10:56,,2018-09-21,0,,서울특별시 성동구 성수동*가 **-***,303000004920180040,3030000,000,"서울특별시 성동구 상원*길 *, *층 (성수동*가)",04790,,01,영업/정상,,,
아지동물병원,,201790.117515658,449530.70769686,2026-05-01 22:41:35,I,0000,정상,,2022-04-28 18:10:56,,2018-09-27,0,,서울특별시 성동구 금호동*가 ****,303000004920180041,3030000,000,서울특별시 성동구 독서당로 *** (금호동*가),04725,,01,영업/정상,,,
