사업장명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,DTL_TASK_SE_NM,최종수정시점,인허가취소일자,인허가일자,소재지면적,소재지우편번호,지번주소,관리번호,개방자치단체코드,권리주체일련번호,도로명주소,도로명우편번호,재개업일자,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호
고미발톱,,203943.407159,451223.937513148,2026-05-01 22:41:30,I,0000,정상,,2025-03-13 15:17:49,,2022-03-07,0,,서울특별시 성동구 마장동 ***-*,303000003720220001,3030000,000,서울특별시 성동구 살곶이*길 **-*(마장동),04761,2025-03-02,01,영업/정상,,,
브리더 가든(breeder garden),,198694.283872087,396980.622154155,2026-05-01 03:03:03,U,0000,정상,,2026-04-30 08:57:21,,2026-03-18,0,,경기도 화성시 만세구 양감면 용소리 ***-*,553000003720260001,5530000,000,경기도 화성시 만세구 양감면 용소금각로**번길 ***-*,18630,,01,영업/정상,,,
서울숲 개구쟁이,2022-04-28,202277.937068105,449393.800969153,2026-05-01 22:41:30,I,0004,말소,,2021-04-08 13:36:12,,2021-04-08,0,,서울특별시 성동구 금호동*가 **** 힐스테이트 서울숲리버,303000003720210007,3030000,000,"서울특별시 성동구 금호로 ** (금호동*가, 힐스테이트 서울숲리버)",04743,,04,취소/말소/만료/정지/중지,,,02-2281-9005
해피캣,2018-05-16,206150.172716362,450194.23170282,2026-05-01 22:41:26,I,0002,폐업,,2018-05-16 15:09:20,,2011-12-22,0,,서울특별시 성동구 송정동 ** *층,303000003720110004,3030000,000,"서울특별시 성동구 동일로 ***, *층 (송정동)",04800,,03,폐업,,,
24시행당종합동물병원,2022-04-28,202907.218919388,450712.086716399,2026-05-01 22:41:26,I,0004,말소,,2013-12-13 15:32:02,,2008-07-04,,,서울특별시 성동구 행당동 ***-**,303000003720080001,3030000,000,서울특별시 성동구 고산자로 *** (행당동),,,04,취소/말소/만료/정지/중지,,,
미주애견샵,2022-04-28,203236.630262071,450677.618092238,2026-05-01 22:41:26,I,0004,말소,,2019-12-16 17:37:41,,2008-08-13,0,,서울특별시 성동구 행당동 ***-**,303000003720080002,3030000,000,서울특별시 성동구 고산자로*길 **-* (행당동),04745,,04,취소/말소/만료/정지/중지,,,
러블리퍼피,2022-04-28,204712.095250408,448359.93429363,2026-05-01 22:41:26,I,0004,말소,,2010-10-25 17:12:38,,2008-09-30,,,서울특별시 성동구 성수동*가 ***-** *층,303000003720080003,3030000,000,"서울특별시 성동구 성덕정길 **-* (성수동*가,*층)",,,04,취소/말소/만료/정지/중지,,,
로얄벳동물병원,2022-04-28,204614.272744322,448607.441251647,2026-05-01 22:41:26,I,0004,말소,,2016-11-09 17:19:56,,2008-08-21,0,,서울특별시 성동구 성수동*가 ***-**,303000003720090001,3030000,000,서울특별시 성동구 뚝섬로 *** (성수동*가),04781,,04,취소/말소/만료/정지/중지,,,02-467-0975
개판완전정복펫도매닷컴,2022-04-28,203808.041530672,449777.272791025,2026-05-01 22:41:26,I,0004,말소,,2012-07-04 11:23:24,,2009-06-29,,,서울특별시 성동구 성수동*가 ***-*** *층,303000003720090002,3030000,000,"서울특별시 성동구 왕십리로 *** (성수동*가,*층)",,,04,취소/말소/만료/정지/중지,,,
럭스테일,2022-04-28,204439.961642101,451713.851796321,2026-05-01 22:41:26,I,0004,말소,,2016-05-11 15:13:56,,2009-09-07,0,,서울특별시 성동구 용답동 ***-* 지하*층 *호,303000003720090003,3030000,000,"서울특별시 성동구 천호대로 ***, 지하*층 *호 (용답동)",04803,,04,취소/말소/만료/정지/중지,,,
