사업장명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,최종수정시점,인허가일자,지번주소,관리번호,개방자치단체코드,도로명주소,도로명우편번호,재개업일자,영업내용,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호
주식회사 하이가디디자인사이트,,217334.378725245,487630.120363411,2026-05-01 03:03:03,U,20,정상,2026-04-30 15:44:29,2026-04-23,경기도 포천시 신읍동 **-*,2021560017908500003,5600000,경기도 포천시 신읍*길 *-* (신읍동),11147,,옥외광고업,01,영업/정상,,,
아이언 애드,2025-03-27,212035.001621141,447985.957150755,2026-05-01 22:33:01,I,40,폐업,2026-01-26 14:24:12,2020-08-14,서울특별시 강동구 성내동 ***-* 금익빌딩,2020324024008500005,3240000,"서울특별시 강동구 천호대로 ****, 금익빌딩 (성내동)",05373,,간판제작 및 시공,03,폐업,,,
(주)수성전기,,212676.246218584,448910.8871806,2026-05-01 22:32:58,I,20,정상,2020-12-14 15:25:28,2007-07-16,서울특별시 강동구 길동 ***-* ***호,2007324014308500001,3240000,"서울특별시 강동구 천중로**길 **-**, ***호 (길동)",,,옥외광고물제작설치 및 대행업,01,영업/정상,,,02-477-5816
간판하는 사람들,,211904.541432754,450188.794420721,2026-05-01 22:32:59,I,20,정상,2017-11-21 10:34:36,2007-09-14,서울특별시 강동구 암사동 ***-** ***호,2007324014308500005,3240000,"서울특별시 강동구 고덕로**길 ** (암사동,***호)",,,옥외광고물제작설치,01,영업/정상,,,02-481-2223
화남광고,,211605.26830303,449026.533433112,2026-05-01 22:32:59,I,20,정상,2020-12-08 13:57:05,2008-01-10,서울특별시 강동구 천호동 ***-*,2008324014908500001,3240000,서울특별시 강동구 구천면로 *** (천호동),,,옥외광고물제작설치,01,영업/정상,,,02-474-4049
강동네온광고,,210831.321884615,449310.343411106,2026-05-01 22:32:59,I,20,정상,2020-12-08 10:25:21,2008-04-08,서울특별시 강동구 천호동 ***-**,2008324014908500004,3240000,서울특별시 강동구 천중로 ** (천호동),,,옥외광고물제작설치,01,영업/정상,,,02-478-2937
황소와 나비,,211746.99452923,448470.397361994,2026-05-01 22:32:59,I,20,정상,2020-12-14 15:40:17,2008-07-18,서울특별시 강동구 천호동 ***-*,2008324014908500007,3240000,서울특별시 강동구 성안로**길 ** (천호동),,,옥외광고업제작,01,영업/정상,,,
새한간판,,213342.228157296,450922.53379357,2026-05-01 22:32:59,I,20,정상,2021-06-10 13:16:23,2021-06-07,서울특별시 강동구 고덕동 ***-*,2008324014908500008,3240000,"서울특별시 강동구 고덕로**길 ***, ***호 (고덕동)",05221,,옥외광고물제작 및 설치,01,영업/정상,,,02-427-2622
일오삼광고기획,,211632.582226612,449172.047305574,2026-05-01 22:32:59,I,20,정상,2021-07-15 13:58:30,2009-02-12,서울특별시 강동구 천호동 ***-**,2009324012108500002,3240000,서울특별시 강동구 천중로 ** (천호동),,,옥외광고물 제작,01,영업/정상,,,02-483-8823
우리광고,,212886.98211449,448902.433488636,2026-05-01 22:32:59,I,20,정상,2020-12-08 11:19:42,2009-03-04,서울특별시 강동구 길동 ***-**,2009324012108500003,3240000,서울특별시 강동구 양재대로***길 ** (길동),,,옥외광고물 제작 및 설치,01,영업/정상,,,02-473-1549
