사업장명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,DTL_TASK_SE_NM,최종수정시점,인허가취소일자,인허가일자,소재지면적,소재지우편번호,지번주소,관리번호,개방자치단체코드,권리주체일련번호,도로명주소,도로명우편번호,재개업일자,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호
왕십리조은동물병원,,202393.457305335,451365.326207693,2026-05-01 22:41:31,I,0000,정상,,2022-04-28 18:10:54,,2014-04-17,0,,서울특별시 성동구 하왕십리동 ***-*,303000004520140004,3030000,000,서울특별시 성동구 왕십리로 *** (하왕십리동),04710,,01,영업/정상,,,22970075
미니펫 강아지분양 고양이분양 성수점,,204712.095250408,448359.93429363,2026-05-01 22:41:31,I,0000,정상,,2024-02-27 17:51:49,,2014-07-11,0,,서울특별시 성동구 성수동*가 ***-**,303000004520140005,3030000,L00,서울특별시 성동구 성덕정길 **-* (성수동*가),04775,,01,영업/정상,,,02-466-9584
고양이분양 전문 달루나캣츠,,202633.660694441,451312.611133462,2026-05-01 22:41:31,I,0000,정상,,2024-05-22 17:21:38,,2014-08-28,0,,서울특별시 성동구 도선동 ***,303000004520140007,3030000,000,서울특별시 성동구 왕십리로 *** (도선동),04707,,01,영업/정상,,,02-2299-0014
도그컴퍼니,,204871.412392248,449615.289786706,2026-05-01 22:41:31,I,0000,정상,,2022-04-28 18:10:55,,2016-06-01,0,,서울특별시 성동구 성수동*가 ***-***,303000004520160002,3030000,000,"서울특별시 성동구 아차산로*길 **-*, *층 (성수동*가, 은하여관)",04795,,01,영업/정상,,,
도그마루(왕십리점),,202113.869605464,451897.581865192,2026-05-01 22:41:31,I,0000,정상,,2022-04-28 18:10:55,,2016-12-15,0,,서울특별시 성동구 상왕십리동 *** 텐즈힐몰(***동) ****호,303000004520160004,3030000,000,"서울특별시 성동구 마장로 ***, ***동 *층 ****호 (상왕십리동, 텐즈힐)",04700,,01,영업/정상,,,
펫츠온더포인트,,203701.464287957,449446.442430967,2026-05-01 22:41:32,I,0000,정상,,2022-04-28 18:10:57,,2019-08-08,0,,서울특별시 성동구 성수동*가 ***-**,303000004520190018,3030000,000,"서울특별시 성동구 서울숲*길 **-*, *층 (성수동*가)",04768,,01,영업/정상,,,
왕십리 고양이 위너펫 24시,2026-01-31,203634.71000077,451183.549851455,2026-05-01 22:41:32,I,0002,폐업,,2026-03-06 08:57:00,,2020-01-21,0,,서울특별시 성동구 마장동 ***-*,303000004520200001,3030000,000,"서울특별시 성동구 마조로 **, *층 (마장동)",04758,,03,폐업,,,
나비캣,,201710.577334426,450337.114897469,2026-05-01 22:41:32,I,0000,정상,,2022-04-28 18:10:57,,2020-04-28,0,,서울특별시 성동구 금호동*가 *** *층,303000004520200010,3030000,000,"서울특별시 성동구 금호로 ***, *층 (금호동*가)",04721,,01,영업/정상,,,
퍼피블리,2026-03-31,202401.066045195,451809.190992068,2026-05-01 22:41:32,I,0002,폐업,,2026-04-08 13:48:00,,2021-03-12,0,,서울특별시 성동구 하왕십리동 **** 텐즈힐 ***동 B***호,303000004520210004,3030000,000,"서울특별시 성동구 무학로 **, ***동 B***호 (하왕십리동, 텐즈힐)",04702,,03,폐업,,,
펫살롱,,202113.869605464,451897.581865192,2026-05-01 22:41:32,I,0000,정상,,2022-08-24 18:01:09,,2022-08-24,0,,서울특별시 성동구 상왕십리동 *** 텐즈힐상가 ****호,303000004520220001,3030000,000,"서울특별시 성동구 마장로 ***, ***동 *층 ****호 (상왕십리동, 텐즈힐)",04700,,01,영업/정상,,,
아띠몽,,202372.912023599,451536.680876573,2026-05-01 22:41:32,I,0000,정상,,2024-01-11 08:47:58,,2024-01-11,0,,서울특별시 성동구 하왕십리동 **** 센트라스 L동 b***호,303000004520240001,3030000,000,"서울특별시 성동구 왕십리로 ***, L동 b***호 (하왕십리동, 센트라스)",04701,,01,영업/정상,,,
길고양이마을 성수협력2호점,,204744.808759887,449227.219539688,2026-05-01 22:41:32,I,0000,정상,,2025-09-09 16:55:28,,2025-09-09,0,,서울특별시 성동구 성수동*가 ***-** 현진빌딩,303000004520250001,3030000,000,"서울특별시 성동구 아차산로 **, 현진빌딩 *층 (성수동*가)",04794,,01,영업/정상,,,
코코애견,,204598.337468075,451415.141484333,2026-05-01 22:41:31,I,0000,정상,,2022-04-28 18:10:54,,2011-02-17,,,서울특별시 성동구 용답동 **-* (*층),303000004520110001,3030000,000,"서울특별시 성동구 용답중앙**길 ** (용답동,(*층))",,,01,영업/정상,,,22468712
(주) 밀레펫 왕십리점,,203321.562330114,451001.868687869,2026-05-01 22:41:31,I,0000,정상,,2022-04-28 18:10:54,,2013-05-20,0,,서울특별시 성동구 행당동 ***-***,303000004520130001,3030000,L00,"서울특별시 성동구 왕십리광장로 **, *층 (행당동)",04750,,01,영업/정상,,,22001234
반값애견,,201683.821900104,449544.041856199,2026-05-01 22:41:31,I,0000,정상,,2022-04-28 18:10:54,,2014-03-19,0,,서울특별시 성동구 금호동*가 **** *층,303000004520140003,3030000,000,"서울특별시 성동구 장터길 **, *층 (금호동*가)",04725,,01,영업/정상,,,
서울고양이분양 모아캣 왕십리점,,203634.71000077,451183.549851455,2026-05-01 22:41:32,I,0000,정상,,2026-02-12 13:54:31,,2026-02-12,0,,서울특별시 성동구 마장동 ***-*,303000004520260001,3030000,000,"서울특별시 성동구 마조로 **, *층 (마장동)",04758,,01,영업/정상,,,
롯데쇼핑토이저러스은평점,,192694.92374224,459461.236119623,2026-05-01 03:03:03,U,0000,정상,,2026-04-30 13:37:07,,2017-05-08,0,,서울특별시 은평구 진관동 ** 롯데몰 은평점,311000004520170004,3110000,L00,"서울특별시 은평구 통일로 ****, 롯데몰 은평점 (진관동)",03306,,01,영업/정상,,,02-2097-2600
고양이분양만 11년 네발하우스 마포점,,193260.734757583,450895.673868727,2026-05-01 03:03:03,U,0000,정상,,2026-04-30 15:41:11,,2023-03-07,0,,서울특별시 마포구 동교동 ***-*,313000004520230001,3130000,000,"서울특별시 마포구 양화로**길 **, *층 (동교동)",03985,,01,영업/정상,,,
