보조직원수,사업장명,욕실면적,업태구분명,폐업일자,좌표X,좌표Y,자격증소유자수,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,직원수,기타직원수,시설관리자수,총면적,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지번주소,의료유사업종별명,관리번호,개방자치단체코드,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,병상수,휴업시작일자,휴업종료일자,소재지전화번호
,그린안마시술소,,안마시술소,2012-05-15,,,,2026-05-01 22:32:07,I,03,폐업,6,,,490,2012-05-15 17:09:04,,1982-08-28,137-069,서울특별시 서초구 방배동 751-3,안마시술소,PHMB419823210034042400001,3210000,,,03,폐업,33,,,
,허순안마시술소,,안마시술소,2012-10-04,,,,2026-05-01 22:32:07,I,03,폐업,1,,,32,2012-10-04 17:55:48,,1983-09-08,137-069,서울특별시 서초구 방배동 813-7,안마시술소,PHMB419833210034042400001,3210000,,,03,폐업,2,,,
,비안마시술소,,안마시술소,2011-07-29,,,,2026-05-01 22:32:07,I,03,폐업,6,,,615.29,2011-07-29 18:18:25,,1986-09-16,137-072,서울특별시 서초구 서초동 1340-1,안마시술소,PHMB419863210034042400001,3210000,,,03,폐업,26,2011-05-23,2011-08-22,34726060
,빼어날수안마시술소,,안마시술소,2011-03-30,,,,2026-05-01 22:32:07,I,03,폐업,4,,,222.28,2011-03-30 19:27:11,,1990-04-23,137-074,서울특별시 서초구 서초동 1303-14,안마시술소,PHMB419903210034042400001,3210000,,,03,폐업,20,,,
,JM안마시술소,,안마시술소,2010-08-02,,,,2026-05-01 22:32:07,I,03,폐업,9,,,716.32,2010-08-02 18:02:33,,1995-11-01,137-069,서울특별시 서초구 방배동 750-9,안마시술소,PHMB419953210034042400001,3210000,,,03,폐업,27,,,
,이도안마시술소,,안마시술소,2009-06-22,,,,2026-05-01 22:32:07,I,03,폐업,5,,,389.82,2009-06-22 16:05:31,,1996-07-18,137-069,서울특별시 서초구 방배동 813-2,안마시술소,PHMB419963210034042400001,3210000,,,03,폐업,23,,,
,센스안마시술소,,안마시술소,2011-06-08,,,,2026-05-01 22:32:07,I,03,폐업,2,,,299.21,2011-06-08 18:00:18,,1997-10-13,137-030,서울특별시 서초구 잠원동 15-9,안마시술소,PHMB419973210034042400001,3210000,,,03,폐업,14,,,
,예원안마시술소,,안마시술소,2009-03-26,,,,2026-05-01 22:32:07,I,03,폐업,7,,,500.79,2009-03-26 16:07:54,,1999-02-09,137-062,서울특별시 서초구 방배동 2999,안마시술소,PHMB419993210034042400001,3210000,,,03,폐업,20,2008-12-05,2009-03-01,
,샤넬안마시술소,,안마시술소,2008-12-17,,,,2026-05-01 22:32:07,I,03,폐업,12,,,596.95,2008-12-17 13:13:47,,1999-03-02,137-041,서울특별시 서초구 반포동 746-7,안마시술소,PHMB419993210034042400002,3210000,,,03,폐업,19,,,
,티파니안마시술소,,안마시술소,2024-07-05,202453.713468162,443491.20087926,,2026-05-01 22:32:07,I,03,폐업,4,,,611.65,2024-07-09 11:28:45,,2000-04-27,137-072,서울특별시 서초구 서초동 1330-15,안마시술소,PHMB420003210034042400001,3210000,서울특별시 서초구 서초대로78길 46 (서초동),06626,03,폐업,18,,,
,나비안마시술소,,안마시술소,2015-05-06,199018.060804446,443468.781039076,,2026-05-01 22:32:07,I,03,폐업,3,,,465,2015-05-06 17:44:01,,2001-06-16,137-069,서울특별시 서초구 방배동 795-18,안마시술소,PHMB420013210034042400001,3210000,서울특별시 서초구 방배로 227 (방배동),,03,폐업,14,,,
,연안마시술소,,안마시술소,2010-04-05,,,,2026-05-01 22:32:08,I,03,폐업,5,,,557.66,2010-04-05 18:42:23,,2002-03-29,137-073,서울특별시 서초구 서초동 1589-1,안마시술소,PHMB420023210034042400001,3210000,,,03,폐업,24,,,
,수안마시술소,,안마시술소,2010-06-23,,,,2026-05-01 22:32:08,I,03,폐업,3,,,490.3,2010-06-23 18:14:10,,2002-09-18,137-073,서울특별시 서초구 서초동 1573-13,안마시술소,PHMB420023210034042400002,3210000,,,03,폐업,12,2009-09-03,2009-11-03,
,파라다이스안마시술소,,안마시술소,2013-10-17,,,,2026-05-01 22:32:08,I,03,폐업,4,,,789.85,2013-10-17 17:36:40,,2003-01-20,137-073,서울특별시 서초구 서초동 1589-9,안마시술소,PHMB420033210034042400001,3210000,,,03,폐업,25,2013-01-22,2014-01-22,
,베니스안마시술소,,안마시술소,2012-01-31,,,,2026-05-01 22:32:08,I,03,폐업,3,,,582.14,2012-01-31 19:56:10,,2003-01-21,137-073,서울특별시 서초구 서초동 1589-11,안마시술소,PHMB420033210034042400002,3210000,,,03,폐업,22,,,
,원안마시술소,,안마시술소,2018-04-30,,,,2026-05-01 22:32:08,I,03,폐업,3,,,709.69,2018-04-30 15:59:04,,2018-04-30,137-069,서울특별시 서초구 방배동 751-9,안마시술소,PHMB420033210034042400003,3210000,서울특별시 서초구 동광로19길 145 (방배동),06552,03,폐업,29,,,
,코모도안마시술소,,안마시술소,2014-11-24,201034.634464508,442758.770379981,,2026-05-01 22:32:08,I,03,폐업,7,,,822.19,2014-11-24 16:57:34,,2005-12-02,137-876,서울특별시 서초구 서초3동 1593번지 1호,안마시술소,PHMB420053210034042400001,3210000,서울특별시 서초구 반포대로18길 40 (서초동),,03,폐업,21,,,
,스타트안마시술소,,안마시술소,2023-06-01,201089.485853695,442562.675618668,,2026-05-01 22:32:08,I,03,폐업,2,,,515.86,2023-11-07 14:35:16,,2005-12-12,137-073,서울특별시 서초구 서초동 1589-8,안마시술소,PHMB420053210034042400002,3210000,서울특별시 서초구 반포대로12길 33 (서초동),06653,03,폐업,12,,,
,유진안마시술소,,안마시술소,2009-11-03,,,,2026-05-01 22:32:08,I,03,폐업,7,,,797.06,2009-12-11 11:41:19,,2009-11-03,137-073,서울특별시 서초구 서초동 1591-2,안마시술소,PHMB420063210034042400002,3210000,,,03,폐업,32,,,
,피카소안마시술소,,안마시술소,2014-12-03,201128.082573764,442747.739477572,,2026-05-01 22:32:08,I,03,폐업,9,,,730.6,2014-12-03 18:22:44,,2007-11-28,137-876,서울특별시 서초구 서초3동 1595번지 11호,안마시술소,PHMB420073210034042400001,3210000,서울특별시 서초구 효령로55길 45-12 (서초동),,03,폐업,18,,,
,클린안마원,,안마원,2014-05-26,201072.326154577,443242.086514539,,2026-05-01 22:32:08,I,03,폐업,2,,,76,2014-05-26 14:14:15,,2007-06-14,137-874,서울특별시 서초구 서초3동 1569번지 13호,안마원,PHMB420073210034042400002,3210000,서울특별시 서초구 반포대로26길 70 (서초동),,03,폐업,,,,
,디바안마시술소,,안마시술소,2016-07-14,201260.953060509,442587.00832355,,2026-05-01 22:32:08,I,03,폐업,2,,,762.4,2016-07-14 10:15:51,,2008-04-17,137-953,서울특별시 서초구 서초동 1601번지 10호 3~5층,안마시술소,PHMB420083210034042400001,3210000,"서울특별시 서초구 서초중앙로5길 12, 3~5층 (서초동)",06654,03,폐업,25,,,
,약손안마원,,안마원,2012-12-10,198718.507621548,442843.072232667,,2026-05-01 22:32:08,I,03,폐업,1,,,26.99,2012-12-10 15:33:41,,2009-07-31,137-834,서울특별시 서초구 방배4동 828번지 33호 1층,안마원,PHMB420093210034042400002,3210000,"서울특별시 서초구 방배중앙로15길 38 (방배동,1층)",,03,폐업,,,,02-536-7513
,이룬안마원,0,안마원,2012-12-21,199848.409437198,444956.349717008,,2026-05-01 22:32:08,I,03,폐업,2,,,110,2012-12-21 17:19:09,,2009-08-07,137-042,서울특별시 서초구 반포2동 1번지 8호 반포경남쇼핑센터 510호,안마원,PHMB420093210034042400003,3210000,,,03,폐업,7,,,02-532-1555
,양덕윤안마원,,안마원,2010-10-20,200932.645358262,443317.099301192,,2026-05-01 22:32:08,I,03,폐업,1,,,70.44,2010-10-20 18:19:58,,2010-03-25,137-873,서울특별시 서초구 서초3동 1555번지 17호 5층,안마원,PHMB420103210034042400001,3210000,"서울특별시 서초구 서초대로48길 16 (서초동,5층)",,03,폐업,,,,02-588-4454
,새아침지압안마원,,안마원,2016-09-21,198590.26975848,443758.592229843,,2026-05-01 22:32:08,I,03,폐업,1,,,61.05,2024-05-24 10:33:01,,2010-07-12,,서울특별시 서초구 방배동 762-21,안마원,PHMB420103210034042400002,3210000,"서울특별시 서초구 동광로11길 109, 2층 (방배동)",06554,03,폐업,,,,02-3491-0222
,안재붕바른자세안마원,,안마원,2013-08-05,201903.684337218,445089.231098439,,2026-05-01 22:32:08,I,03,폐업,1,,,60,2013-08-05 15:23:14,,2010-08-30,137-809,서울특별시 서초구 반포1동 723번지 14호  3층,안마원,PHMB420103210034042400003,3210000,서울특별시 서초구 강남대로 515 (반포동),,03,폐업,,,,
,엔자임뷰티안마원,,안마원,2012-10-26,201306.275742835,442909.692373918,,2026-05-01 22:32:08,I,03,폐업,1,,,147.3,2012-10-26 10:43:26,,2011-12-13,137-878,서울특별시 서초구 서초1동 1625번지 1호 해양빌딩 501호,안마원,PHMB420113210034042400001,3210000,"서울특별시 서초구 사임당로 50 (서초동, 해양빌딩 501호)",,03,폐업,3,,,
,로마안마시술소,,안마시술소,2013-04-30,201101.301962757,442611.066504981,,2026-05-01 22:32:08,I,03,폐업,4,,,582.14,2013-04-30 17:37:51,,2012-06-21,137-876,서울특별시 서초구 서초3동 1589번지 11호 3.4층,안마시술소,PHMB420123210034042400001,3210000,"서울특별시 서초구 반포대로14길 40 (서초동, 3,4층)",,03,폐업,15,2013-04-08,2013-10-08,
,아바통증완화클리닉안마원,,안마원,2025-03-12,201149.635279701,443249.376340374,,2026-05-01 22:32:08,I,03,폐업,1,,,42.9,2025-05-29 09:24:57,,2012-11-02,137-875,서울특별시 서초구 서초3동 1575번지 9호   502호,안마원,PHMB420123210034042400002,3210000,"서울특별시 서초구 서초중앙로 107, 502호 (서초동)",06644,03,폐업,2,,,
,약손안마원,,안마원,2014-08-14,199244.449666733,442814.656180223,,2026-05-01 22:32:08,I,03,폐업,1,,,90,2014-08-14 14:33:34,,2013-04-26,137-839,서울특별시 서초구 방배4동 872번지 7호 2층,안마원,PHMB420133210034042400001,3210000,"서울특별시 서초구 서초대로 91, 2층 (방배동)",,03,폐업,5,,,
,다손안마원,,안마원,2020-05-29,198432.354182494,442643.16392201,,2026-05-01 22:32:08,I,03,폐업,1,,,36,2020-05-29 18:36:39,,2014-04-16,137-974,서울특별시 서초구 방배동 3001번지 2호 방배디오슈페리움1 B109호,안마원,PHMB420143210034042400002,3210000,"서울특별시 서초구 서초대로 3-4 (방배동, 방배디오슈페리움1 B109호)",06568,03,폐업,1,,,34832575
