건물용도명,사업장명,폐업일자,좌표X,좌표Y,문화사업자구분명,문화체육업종명,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,제작취급품목내용,시설면적,최초등록시점,지상층수,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,지역구분명,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,주변환경명,휴업시작일자,휴업종료일자,소재지전화번호,총층수,지하층수
,컴퍼니에스에스(주),2021-01-27,192952.420678323,449862.465821234,,영화상영업,2026-05-06 22:35:22,I,03,폐업,,,2007-08-29,,2021-01-27 18:55:46,,2007-08-29,,서울특별시 마포구 서교동 367-5,CDFF5211042007000001,3130000,,서울특별시 마포구 어울마당로 65 (서교동),,03,폐업,,,,,,
,독립영화 배급지원센터,2011-01-19,196228.311483715,449722.650329158,,영화상영업,2026-05-06 22:35:23,I,03,폐업,,,2009-08-07,,2011-07-16 16:10:57,,2009-08-07,,서울특별시 마포구 공덕동 82-9 2층,CDFF5211042009000002,3130000,,"서울특별시 마포구 만리재옛길 65-6  (공덕동,2층)",,03,폐업,,,,,,
,㈜프리머스시네마,2013-07-10,189857.566447564,453271.198852486,,영화상영업,2026-05-06 22:35:23,I,03,폐업,,,2010-04-13,,2013-07-10 16:05:50,,2010-04-13,,서울특별시 마포구 상암동 1590 상암IT타워 10층,CDFF5211042010000002,3130000,,"서울특별시 마포구 월드컵북로 434, 10층 (상암동, 상암 IT타워)",,03,폐업,,,,,,
,(주)조이슈즈,2020-04-02,192732.419509859,451313.770759232,,영화상영업,2026-05-06 22:35:23,I,03,폐업,,,2010-09-13,,2020-04-02 00:10:27,,2010-09-13,,서울특별시 마포구 연남동 370-14,CDFF5211042010000004,3130000,,"서울특별시 마포구 연남로7길 24-11, 1층 (연남동)",03975,03,폐업,,,,,,
,(주)가우리,2015-05-26,195306.061046163,449346.472874276,,영화상영업,2026-05-06 22:35:23,I,03,폐업,,,2011-04-15,,2015-05-26 13:56:13,,2011-04-15,,서울특별시 마포구 염리동 150 서울디자인고등학교내 산학협동관 에이동3호,CDFF5211042011000001,3130000,,"서울특별시 마포구 백범로 139 (염리동,서울디자인고등학교내 산학협동관 에이동3호)",,03,폐업,,,,070-8260-3661,,
,(사)독립영화전용관확대를위한시민모임,2022-02-17,193282.130799848,450549.280167182,,영화상영업,2026-05-06 22:35:23,I,03,폐업,,,2012-03-23,,2022-02-17 17:21:03,,2012-03-23,,서울특별시 마포구 동교동 166-14 동교동 스타피카소,CDFF5211042012000001,3130000,,"서울특별시 마포구 양화로 176, 동교동 스타피카소 8층 (동교동)",04051,03,폐업,,,,,,
,(주)스카이라이프티브이,2023-09-06,190471.090857691,452911.904225602,,영화상영업,2026-05-06 22:35:23,I,03,폐업,,,2011-11-04,,2023-09-06 16:03:27,,2011-11-04,,서울특별시 마포구 상암동 1610,CDFF5211042015000001,3130000,,"서울특별시 마포구 매봉산로 75, 10층 (상암동, 디디엠씨)",,03,폐업,,,,21460700,,
,주식회사 뉴트리텔,2020-11-27,193166.430144679,450425.852790862,,영화상영업,2026-05-06 22:35:23,I,03,폐업,,,2018-04-05,,2020-11-27 17:56:41,,2018-04-05,,서울특별시 마포구 동교동 165-8 LG팰리스빌딩,CDFF5211042018000001,3130000,,"서울특별시 마포구 양화로 156, LG팰리스빌딩 1217호 (동교동)",04050,03,폐업,,,,070-7791-1629,,
,(사)한국영상미디어교육협회,2024-11-12,193835.069792014,450245.936588746,,영화상영업,2026-05-06 22:35:24,I,03,폐업,,,2024-04-15,,2024-11-12 16:04:02,,2024-04-15,,서울특별시 마포구 창전동 5-5,CDFF5211042024000001,3130000,,"서울특별시 마포구 서강로9길 52, 3층 (창전동)",04061,03,폐업,,,,,,
,주식회사 이모션스튜디오,2022-01-21,189409.395005978,453459.514085072,,영화상영업,2026-05-06 22:35:23,I,15,전출,,,2021-08-25,,2022-01-21 11:10:08,,2021-08-25,,서울특별시 마포구 상암동 1748 상암 오벨리스크 2차,CDFF5211042021000001,3130000,,"서울특별시 마포구 월드컵북로 481, 상암 오벨리스크 2차 1동 320호 (상암동)",03902,05,제외/삭제/전출,,,,,,
