침대수,건물지상층수,건물소유구분명,건물지하층수,사업장명,업태구분명,의자수,폐업일자,조건부허가시작일자,조건부허가신고사유,조건부허가종료일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,여성종사자수,최종수정시점,인허가일자,소재지면적,소재지우편번호,지번주소,다중이용업소여부,남성종사자수,관리번호,개방자치단체코드,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,위생업태명,소재지전화번호,사용시작지상층,사용시작지하층,사용끝지상층,사용끝지하층
,0,,0,은가,일반미용업,7,1997-12-03,,,,203118.623707683,445597.291569802,2026-05-06 22:52:50,I,02,폐업,,2001-08-03 00:00:00,1985-11-21,33.00,135-832,서울특별시 강남구 논현동 249-6,N,,3220000-204-1985-01696,3220000,,,03,폐업,미용업,02-546-9951,0,0,,
0,0,,0,앨리스네일,네일아트업,5,2017-06-19,,,,204721.620225941,442481.518031817,2026-05-06 22:57:01,I,02,폐업,0,2017-06-19 16:19:20,2016-01-13,28.08,135-806,서울특별시 강남구 개포동 649,N,0,3220000-215-2016-00007,3220000,"서울특별시 강남구 언주로 110, 지하1층 109호 (개포동, 경남상가)",06317,03,폐업,네일미용업,,,,,
0,2,,0,본(bon),일반미용업,10,2016-08-30,,,,203155.66678975,447214.23759198,2026-05-06 22:56:57,I,02,폐업,,2013-11-01 17:15:04,2013-11-01,150.72,135-896,서울특별시 강남구 신사동 642 2층,N,,3220000-213-2013-00044,3220000,"서울특별시 강남구 압구정로46길 23, 2층 (신사동)",,03,폐업,종합미용업,,,,,
,1,임대,,이지현에뜨왈,일반미용업,9,2014-02-12,,,,203629.284164686,446645.252698937,2026-05-06 22:55:32,I,02,폐업,,2009-12-03 16:23:38,2007-04-09,241.77,135-950,서울특별시 강남구 청담동 21-16 2층,N,,3220000-204-2007-00031,3220000,"서울특별시 강남구 선릉로146길 25 (청담동,2층)",06064,03,폐업,미용업,02-542-8253,1,,1,
0,0,,0,AnnHair(앤헤어),일반미용업,5,2017-06-29,,,,193383.426325273,450394.417299146,2026-05-06 22:38:13,I,02,폐업,,2017-06-29 16:59:51,2014-07-01,26.40,121-836,서울특별시 마포구 서교동 331-7,N,,3130000-211-2014-00045,3130000,"서울특별시 마포구 와우산로29바길 16, 2층 (서교동)",04053,03,폐업,일반미용업,02-6465-7759,,,,
,0,,0,엘피뷰티센타,일반미용업,15,1999-04-19,,,,202386.513553708,446497.552863397,2026-05-06 22:54:36,I,02,폐업,,1999-04-19 00:00:00,1996-12-20,220.02,135-892,서울특별시 강남구 신사동 586-16,N,,3220000-204-1996-00788,3220000,,,03,폐업,미용업,02-511-6626,0,0,,
,,,,박혜진헤어갤러리,일반미용업,4,2010-01-15,,,,192949.664803569,449806.717609161,2026-05-06 22:37:30,I,02,폐업,,2007-04-05 00:00:00,2003-03-27,64.61,121-895,서울특별시 마포구 서교동 405-2 2층동,N,,3130000-204-2003-00038,3130000,,,03,폐업,미용업,02-333-5798,,,,
0,1,임대,0,소원하길,일반미용업,2,2021-08-31,,,,192921.937691383,450953.243159572,2026-05-06 22:38:45,I,02,폐업,0,2021-08-31 09:23:03,2020-06-25,15.93,121-869,서울특별시 마포구 연남동 561-7,N,0,3130000-211-2020-00046,3130000,"서울특별시 마포구 동교로27길 72, 1층 (연남동)",03988,03,폐업,일반미용업,,,,,
0,0,,0,하다(HADA),피부미용업,0,2021-04-07,,,,193145.552273509,449419.300538234,2026-05-06 22:39:21,I,02,폐업,0,2021-04-07 09:20:53,2019-01-28,33.00,121-829,서울특별시 마포구 상수동 330-8 삼삼공빌딩,N,0,3130000-212-2019-00001,3130000,"서울특별시 마포구 독막로 92-15, 삼삼공빌딩 2층 (상수동)",04075,03,폐업,피부미용업,,,,,
,2,임대,1,예스헤어피부관리,일반미용업,8,2006-01-19,,,,201933.220486662,445943.682960639,2026-05-06 22:55:23,I,02,폐업,,2005-02-23 00:00:00,2005-01-14,238.65,135-811,"서울특별시 강남구 논현동 15-1 지상1,2층",N,,3220000-204-2005-00007,3220000,,,03,폐업,미용업,,1,,1,
