자산규모,사업장명,폐업일자,자본금,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,최종수정시점,부채총액,인허가취소일자,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,도로명주소,도로명우편번호,재개업일자,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호
,지씨(GC)리테일,,,168780.099913799,432168.287166052,2026-05-06 22:50:14,I,01,정상영업,2021-01-19 16:46:09,,,2021-01-19,,인천광역시 연수구 송도동 *-* 송도 더샵 퍼스트월드,2021352019224200003,3520000,"인천광역시 연수구 해돋이로 ***, H동 *층 *호 (송도동, 송도 더샵 퍼스트월드)",21997,,01,영업/정상,,,
650381891,주식회사 부래인,,50000000,169521.858453606,431036.883053696,2026-05-06 22:50:14,I,01,정상영업,2021-07-09 16:48:11,534156214,,2021-07-09,,인천광역시 연수구 송도동 ***-* 오네스타,2021352019224200004,3520000,"인천광역시 연수구 송도국제대로 ***, 오네스타 ****호 (송도동)",21984,,01,영업/정상,,,
10000000,주식회사 씨원글로벌,,10000000,168781.930908815,429455.977053908,2026-05-06 22:50:14,I,01,정상영업,2022-01-17 17:37:52,0,,2022-01-17,,인천광역시 연수구 송도동 *** 송도 BRC 스마트밸리 지식산업센터,2022352019224200001,3520000,"인천광역시 연수구 송도미래로 **, 송도 BRC 스마트밸리 지식산업센터 씨동 ***호 (송도동)",21990,,01,영업/정상,,,
,더함컴퍼니,,,168451.872755808,431970.616741074,2026-05-06 22:50:14,I,01,정상영업,2022-03-16 15:45:48,,,2022-03-16,,인천광역시 연수구 송도동 *-** 포스코타워-송도,2022352019224200002,3520000,"인천광역시 연수구 컨벤시아대로 ***, 포스코타워-송도 **층 브이***호 (송도동)",21998,,01,영업/정상,,,
50000000,주식회사 에스오더,,50000000,170182.350438531,431053.037468716,2026-05-06 22:50:14,I,01,정상영업,2022-05-09 13:55:25,0,,2022-05-09,,인천광역시 연수구 송도동 ***-* 송도테크노파크 BT센터,2022352019224200003,3520000,"인천광역시 연수구 송도과학로 **, 송도테크노파크 BT센터 ****호 (송도동)",21984,,01,영업/정상,,,
0,디모데(주),,20000000,168921.359936981,432769.40229425,2026-05-06 22:50:14,I,01,정상영업,2022-09-19 16:53:48,0,,2022-09-19,,인천광역시 연수구 송도동 **-** 인천송도힐스테이트,2022352019224200004,3520000,"인천광역시 연수구 컨벤시아대로 **, ***동 ****호 (송도동, 인천송도힐스테이트)",22002,,01,영업/정상,,,
0,주식회사 에이치홀딩스,,1000000,169890.138018368,431052.229588492,2026-05-06 22:50:15,I,01,정상영업,2022-11-02 16:58:48,0,,2022-11-02,,인천광역시 연수구 송도동 ***-* 송도건원테크노큐브,2022352023324200001,3520000,"인천광역시 연수구 송도과학로**번길 **-**, 송도건원테크노큐브 *층 **호 (송도동)",21984,,01,영업/정상,,,
2433789235,주식회사 골드인베스트,,999424840,170182.350438531,431053.037468716,2026-05-06 22:50:15,I,01,정상영업,2023-01-30 17:31:11,1434364395,,2022-09-15,,인천광역시 연수구 송도동 ***-* 송도테크노파크 BT센터,2023352023324200001,3520000,"인천광역시 연수구 송도과학로 **, 송도테크노파크 BT센터 **층 ****호 (송도동)",21984,,01,영업/정상,,,
3904482826,주식회사 한국디에이치홀딩스,,3904482826,170276.662544927,430988.865216008,2026-05-06 22:50:15,I,01,정상영업,2023-02-10 16:13:06,2127062404,,2021-10-08,,인천광역시 연수구 송도동 ***-*,2023352023324200002,3520000,"인천광역시 연수구 송도과학로 **, 송도에이티센터 **층 ****호 (송도동)",21984,,01,영업/정상,,,1522-8471
7573797495,(주)와이앤케이미디어그룹,,4834625421,167146.853558482,433106.400418521,2026-05-06 22:50:15,I,01,정상영업,2023-02-10 16:18:59,2739172074,,2021-10-12,,인천광역시 연수구 송도동 **-* 송도 센트로드,2023352023324200004,3520000,"인천광역시 연수구 인천타워대로 ***, 송도 센트로드 제에이동 제**층 제****호 (송도동)",22007,,01,영업/정상,,,1522-5096
