사업장명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호,총규모
씨앤아이메디칼,2020-10-25,211914.531656846,449307.598393424,2026-05-06 22:43:03,I,03,폐업,2020-11-04 15:33:55,,2015-01-19,,서울특별시 강동구 천호동 ***번지 **호,PHMG120153240033047000145,3240000,"서울특별시 강동구 구천면로**길 **, *층 (천호동)",05310,03,폐업,,,02-6941-1158,
강동숨수면센터,,212610.24473992,449820.695160539,2026-05-06 22:44:01,I,13,영업중,2022-12-02 09:39:01,,2022-12-01,,서울특별시 강동구 천호동 **-* 숨결TOWER,PHMG120223240033047000320,3240000,"서울특별시 강동구 양재대로 ****, 숨결TOWER ***호 (천호동)",05306,01,영업/정상,,,02-6953-7591,
보광,2020-11-04,211127.470386358,447294.872900215,2026-05-06 22:43:13,I,03,폐업,2020-11-04 16:42:46,,2018-11-23,,서울특별시 강동구 성내동 ***번지 *호 유원빌딩,PHMG120183240033047000100,3240000,"서울특별시 강동구 성내로 **, 유원빌딩 *층 ***호 (성내동)",05399,03,폐업,,,02-6357-3000,23
비에스헬스케어,,189378.332493727,442066.99866487,2026-05-06 22:38:36,I,13,영업중,2023-05-30 15:56:41,,2023-05-30,,,PHMG120233170035047000078,3170000,"서울특별시 금천구 가산디지털*로 ***, 가산 에스케이 브이원 센터 *층 ***호 (가산동)",08503,01,영업/정상,,,,
테라시스메디컬,,211532.353686299,448182.588454494,2026-05-06 22:43:56,I,13,영업중,2022-05-02 09:43:03,,2022-04-29,,서울특별시 강동구 성내동 ***-* 씨제이나인파크,PHMG120223240033047000167,3240000,"서울특별시 강동구 천호대로 ****, *층 ***호 (성내동, 씨제이나인파크)",05380,01,영업/정상,,,,
에치와이 천호점,2025-07-04,211429.962731263,449081.887144178,2026-05-06 22:43:55,I,03,폐업,2025-07-08 11:19:02,,2022-03-24,,서울특별시 강동구 천호동 ***-**,PHMG120223240033047000136,3240000,"서울특별시 강동구 구천면로**길 **, *층 (천호동)",05325,03,폐업,,,,
와이엠,2020-08-12,189055.138252216,441958.334400683,2026-05-06 22:37:44,I,03,폐업,2020-08-12 13:44:54,,2019-12-26,,서울특별시 금천구 가산동 ***번지 *호 대성디폴리스지식산업센터,PHMG120193170035047000186,3170000,"서울특별시 금천구 서부샛길 ***, 대성디폴리스지식산업센터 비동 ****호 (가산동)",08504,03,폐업,,,,
몸빼클럽,2018-12-24,211129.337519126,448341.256980238,2026-05-06 22:43:12,I,03,폐업,2018-12-24 16:15:40,,2018-12-24,,서울특별시 강동구 성내동 *번지 **호 탑 메디칼센타,PHMG120183240033047000052,3240000,"서울특별시 강동구 천호대로 ****, 탑 메디칼센타 *층 ***호 (성내동)",05379,03,폐업,,,,198.58
다판다샵,2025-12-15,211047.878697259,450021.504957301,2026-05-06 22:44:09,I,03,폐업,2025-12-15 16:52:23,,2024-10-28,,서울특별시 강동구 암사동 *** 선사현대아파트,PHMG120243240033047000109,3240000,"서울특별시 강동구 상암로 **, ***동 ****호 (암사동, 선사현대아파트)",05240,03,폐업,,,,
태광의료기상사,2009-11-05,,,2026-05-06 22:41:17,I,03,폐업,2009-11-05 16:35:54,,2008-06-30,134-072,서울특별시 강동구 명일*동 **-** 명일시티코아*층*호,PHMG120083240033047000045,3240000,,,03,폐업,,,,
GS25암사센트럴점,,211638.256808634,449773.975375304,2026-05-06 22:43:50,I,13,영업중,2022-02-07 17:10:47,,2022-02-07,,서울특별시 강동구 암사동 *** 암사동와이씨빌딩,PHMG120223240033047000036,3240000,"서울특별시 강동구 상암로**길 **(암사동, 암사동와이씨빌딩)",05261,01,영업/정상,,,,
