건축물동수,건축물연면적,사업장명,폐업일자,법인명,좌표X,좌표Y,문화체육업종명,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,보험가입여부코드,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지도자수,지번주소,회원모집총인원,관리번호,개방자치단체코드,공사립구분명,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호
0,0,일번지무도학원,2003-01-14,,195666.00529874,441858.386960156,무도학원업,2026-05-06 22:51:51,I,03,폐업,,2010-04-29 17:23:09,,1995-03-18,151-846,,서울특별시 관악구 봉천동 1569-3,,CDFH3301111995000001,3200000,사립,서울특별시 관악구 쑥고개로 137  (봉천동),,03,폐업,,,
0,0,서울,2009-05-26,,193610.378560826,442802.92355539,무도학원업,2026-05-06 22:51:51,I,03,폐업,,2009-05-26 09:46:47,,1995-12-04,151-892,,서울특별시 관악구 신림동 1431-1,,CDFH3301111995000002,3200000,사립,서울특별시 관악구 신림로 373  (신림동),,03,폐업,,,
0,0,신세계,2001-12-10,,193945.509928744,442519.065029911,무도학원업,2026-05-06 22:51:52,I,03,폐업,,2010-04-29 17:21:49,,1995-12-28,151-015,,서울특별시 관악구 신림동 1422-4,,CDFH3301111995000003,3200000,사립,서울특별시 관악구 남부순환로 1635  (신림동),,03,폐업,,,
0,0,보라매,2002-04-16,,193755.14368469,442698.285576063,무도학원업,2026-05-06 22:51:52,I,03,폐업,,2010-04-29 17:25:07,,1996-10-28,151-015,,서울특별시 관악구 신림동 1423-4,,CDFH3301111996000001,3200000,사립,서울특별시 관악구 봉천로12길 49  (신림동),,03,폐업,,,
,,무학무도학원,2011-12-06,,193755.14368469,442698.285576063,무도학원업,2026-05-06 22:51:52,I,03,폐업,0,2011-12-06 15:55:24,,1996-10-28,151-015,,서울특별시 관악구 신림동 1423-4 3층,,CDFH3301111996000002,3200000,사립,"서울특별시 관악구 봉천로12길 49  (신림동,3층)",,03,폐업,,,
0,0,관악,2000-12-28,,195566.237122474,442101.456388316,무도학원업,2026-05-06 22:51:52,I,03,폐업,,2003-02-06 10:45:13,,1997-02-20,151-836,0,서울특별시 관악구 봉천동 869-6,,CDFH3301111997000001,3200000,사립,서울특별시 관악구 남부순환로218길 1  (봉천동),,03,폐업,,,
0,0,성심,2000-11-01,,193497.894787693,442467.452202212,무도학원업,2026-05-06 22:51:52,I,03,폐업,,2003-02-06 10:45:13,,1997-05-21,151-892,0,서울특별시 관악구 신림동 1433-104,,CDFH3301111997000002,3200000,사립,서울특별시 관악구 남부순환로 1591-6  (신림동),,03,폐업,,,
0,0,신림,2004-05-10,,193748.074171906,442333.077344404,무도학원업,2026-05-06 22:51:52,I,03,폐업,,2010-04-29 17:27:10,,1998-01-21,151-930,,서울특별시 관악구 신림동 1641-10,,CDFH3301111998000001,3200000,사립,서울특별시 관악구 신림로 322-1  (신림동),,03,폐업,,,
0,0,88,2002-01-09,,195854.025278634,442426.723895168,무도학원업,2026-05-06 22:51:53,I,03,폐업,,2010-04-29 17:28:12,,1998-03-19,151-811,,서울특별시 관악구 봉천동 48-7,,CDFH3301111998000002,3200000,사립,서울특별시 관악구 중앙길 12  (봉천동),,03,폐업,,,
0,0,봉천무도학원,1999-11-22,,195935.219212734,442326.286164915,무도학원업,2026-05-06 22:51:54,I,03,폐업,,2003-02-06 10:45:13,,1998-05-07,151-809,0,서울특별시 관악구 봉천동 62-19,,CDFH3301111998000003,3200000,사립,서울특별시 관악구 관악로 208-40  (봉천동),,03,폐업,,,
,,은하댄스아카데미,2014-10-10,,195931.943928008,442485.329600106,무도학원업,2026-05-06 22:51:54,I,03,폐업,,2014-10-13 10:13:26,,1998-09-03,151-811,,서울특별시 관악구 봉천동 32-21 지층,,CDFH3301111998000005,3200000,사립,"서울특별시 관악구 관악로25길 5-9 (봉천동,지층)",,03,폐업,,,02-866-6040
0,0,평화,2004-06-08,,193689.01408168,442736.890384652,무도학원업,2026-05-06 22:51:54,I,03,폐업,,2010-04-29 17:30:18,,1998-12-16,151-891,,서울특별시 관악구 신림동 1425-15 16,,CDFH3301111998000006,3200000,사립,"서울특별시 관악구 신림로 364  (신림동,16)",,03,폐업,,,
0,0,태양무도학원,2002-10-02,,193776.075917276,442597.46066594,무도학원업,2026-05-06 22:51:55,I,03,폐업,,2010-04-29 17:31:29,,1999-01-26,151-015,,서울특별시 관악구 신림동 1423-22,,CDFH3301111999000001,3200000,사립,서울특별시 관악구 신림로66길 13  (신림동),,03,폐업,,,
,,동경,2008-04-17,,191215.879312952,442183.150167516,무도학원업,2026-05-06 22:51:55,I,03,폐업,0,2008-04-18 08:35:20,,1999-02-04,151-903,,서울특별시 관악구 신림동 1655-42,,CDFH3301111999000002,3200000,사립,서울특별시 관악구 조원로2길 46  (신림동),,03,폐업,,,
0,1348,난곡무도학원,2022-08-05,,192403.860741324,442095.332266396,무도학원업,2026-05-06 22:51:55,I,03,폐업,,2022-08-05 14:44:25,,1999-02-12,151-899,,서울특별시 관악구 신림동 1568-1,,CDFH3301111999000003,3200000,사립,서울특별시 관악구 난곡로 302 (신림동),,03,폐업,,,
0,0,우정,2001-05-29,,193551.235689789,442377.414676747,무도학원업,2026-05-06 22:51:55,I,03,폐업,,2010-04-29 17:33:18,,1999-03-01,151-930,,서울특별시 관악구 신림동 1639-16,,CDFH3301111999000004,3200000,사립,서울특별시 관악구 남부순환로 1592-5  (신림동),,03,폐업,,,
0,0,남부스포츠,2014-02-07,,192511.06027527,442188.620474149,무도학원업,2026-05-06 22:51:55,I,03,폐업,,2014-02-07 13:22:47,,1999-04-28,151-022,,서울특별시 관악구 신림동 1569-13,,CDFH3301111999000006,3200000,사립,서울특별시 관악구 남부순환로 1490  (신림동),,03,폐업,,,
0,0,남태령,2004-10-05,,198266.765199796,441410.613140173,무도학원업,2026-05-06 22:51:55,I,03,폐업,,2010-04-29 17:36:30,,1999-05-03,151-800,,서울특별시 관악구 남현동 1061-15 16,,CDFH3301111999000007,3200000,사립,"서울특별시 관악구 남현1길 68-22  (남현동,16)",,03,폐업,,,
0,0,신 무지개무도학원,2008-02-12,,193717.876773648,442733.564216119,무도학원업,2026-05-06 22:51:56,I,03,폐업,,2010-04-29 17:39:15,,1999-08-12,151-891,,서울특별시 관악구 신림동 1425-8,,CDFH3301111999000008,3200000,사립,서울특별시 관악구 봉천로12길 42  (신림동),,03,폐업,,,
,,태양 댄스스포츠,2011-01-26,,192292.366819576,442278.360687964,무도학원업,2026-05-06 22:51:56,I,03,폐업,0,2011-01-26 17:59:49,,1999-09-16,151-876,,서울특별시 관악구 신림동 537-31,,CDFH3301111999000009,3200000,사립,서울특별시 관악구 조원로18길 28  (신림동),,03,폐업,,,
0,0,금강무도학원,2002-06-07,,193898.694557768,442510.166080003,무도학원업,2026-05-06 22:51:57,I,03,폐업,,2010-04-29 17:40:52,,1999-09-18,151-015,,서울특별시 관악구 신림동 1422-10,,CDFH3301111999000010,3200000,사립,서울특별시 관악구 남부순환로 1631  (신림동),,03,폐업,,,
0,0,무학무도학원,2001-11-28,,193695.428249292,442301.336968562,무도학원업,2026-05-06 22:51:58,I,03,폐업,,2010-04-29 17:42:00,,1999-12-28,151-930,,서울특별시 관악구 신림동 1638-19,,CDFH3301111999000011,3200000,사립,서울특별시 관악구 신림로 321  (신림동),,03,폐업,,,
0,0,공단무도학원,2000-07-31,,191376.602183978,442456.748277117,무도학원업,2026-05-06 22:51:58,I,03,폐업,,2003-02-06 10:45:13,,1999-12-31,151-902,0,서울특별시 관악구 신림동 1643-0,,CDFH3301111999000012,3200000,사립,서울특별시 관악구 시흥대로 578  (신림동),,03,폐업,,,
0,0,제일무도학원,2004-05-25,,195999.282149107,442463.795943253,무도학원업,2026-05-06 22:51:59,I,03,폐업,,2010-04-29 18:14:40,,2000-05-18,151-810,,서울특별시 관악구 봉천동 33-3,,CDFH3301112000000001,3200000,사립,서울특별시 관악구 관악로 222  (봉천동),,03,폐업,,,
0,0,대명무도학원,2000-11-20,,193688.002534384,442387.531613201,무도학원업,2026-05-06 22:51:59,I,03,폐업,,2003-02-06 10:45:13,,2000-10-25,151-930,0,서울특별시 관악구 신림동 1640-13,,CDFH3301112000000002,3200000,사립,서울특별시 관악구 신림로 329  (신림동),,03,폐업,,,
0,0,이계창댄스스포츠,2011-07-22,,193859.537537582,442511.026089094,무도학원업,2026-05-06 22:51:59,I,03,폐업,,2011-07-22 16:40:48,,2001-01-12,151-015,0,서울특별시 관악구 신림동 1422-17,,CDFH3301112001000001,3200000,사립,서울특별시 관악구 남부순환로 1627  (신림동),,03,폐업,,,
