건축물동수,건축물연면적,사업장명,업태구분명,폐업일자,법인명,좌표X,좌표Y,문화체육업종명,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,보험가입여부코드,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지도자수,지번주소,회원모집총인원,관리번호,개방자치단체코드,공사립구분명,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호
,,라이온태권도체육관,,2012-07-01,,187601.409308013,444490.834046357,체육도장업,2026-05-06 22:48:24,I,03,폐업,0,2012-06-29 16:56:52,,1989-10-07,152-828,,서울특별시 구로구 고척동 141-1 서울가든종합상가 308-10,,CDFH3301021989000001,3160000,사립,"서울특별시 구로구 중앙로5길 62  (고척동,서울가든종합상가 308-10)",,03,폐업,,,
,,백산태권도,,2008-09-30,,189538.896351452,443498.310451773,체육도장업,2026-05-06 22:48:25,I,03,폐업,0,2008-11-03 11:00:10,,1990-02-05,152-854,,서울특별시 구로구 구로동 415-5 3층,,CDFH3301021990000001,3160000,사립,"서울특별시 구로구 구로동로35길 16  (구로동,3층)",,03,폐업,,,
,,비호체육관,,2004-08-31,,189976.391336867,442235.279198244,체육도장업,2026-05-06 22:48:27,I,03,폐업,0,2004-10-11 11:33:15,,1990-02-05,152-800,,서울특별시 구로구 가리봉동 124-2,,CDFH3301021990000004,3160000,사립,,,03,폐업,,,
,,충효체육관,,2005-01-31,,,,체육도장업,2026-05-06 22:48:28,I,03,폐업,0,2005-01-31 09:53:41,,1991-04-19,152-832,,서울특별시 구로구 고척동 216-2,,CDFH3301021991000002,3160000,사립,,,03,폐업,,,
0,,용인대최강태권도,,2017-03-07,,185823.31444452,443116.722277712,체육도장업,2026-05-06 22:48:28,I,03,폐업,,2017-03-08 17:27:52,,1991-10-07,152-897,,서울특별시 구로구 오류동 170,,CDFH3301021991000003,3160000,사립,서울특별시 구로구 오류로 62 (오류동),08343,03,폐업,,,
,,용인대 대한 태권도,,2011-10-20,,189490.006599226,442604.233325082,체육도장업,2026-05-06 22:48:28,I,03,폐업,0,2011-10-20 14:01:38,,1992-11-25,152-800,,서울특별시 구로구 가리봉동 2-227,,CDFH3301021992000001,3160000,사립,서울특별시 구로구 남부순환로105길 248  (가리봉동),,03,폐업,,,
0,0,개명체육관,,2000-03-07,,186830.963712893,442234.689901316,체육도장업,2026-05-06 22:48:29,I,03,폐업,,2003-04-18 15:20:21,,1993-12-09,152-815,0,서울특별시 구로구 개봉동 313-6,,CDFH3301021993000002,3160000,사립,서울특별시 구로구 개봉로1다길 13-2  (개봉동),,03,폐업,,,
0,0,매봉체육관,태권도,2023-03-21,,186276.849215133,444536.678945457,체육도장업,2026-05-06 22:48:29,I,03,폐업,,2023-03-21 10:25:27,,1994-08-30,152-804,,서울특별시 구로구 개봉동 97-3,,CDFH3301021994000001,3160000,사립,서울특별시 구로구 고척로21길 31 (개봉동),08251,03,폐업,,,
0,0,솔잎체육관,,2000-07-24,,188999.735767494,443303.671762993,체육도장업,2026-05-06 22:48:29,I,03,폐업,,2003-04-18 15:20:21,,1994-09-09,152-868,0,서울특별시 구로구 구로동 685-448 449,,CDFH3301021994000006,3160000,사립,"서울특별시 구로구 구일로4길 30  (구로동,449)",,03,폐업,,,
0,141,경희드림태권도,,2016-10-21,,184405.015953711,443449.320529781,체육도장업,2026-05-06 22:48:30,I,03,폐업,,2016-10-21 16:55:25,,1995-08-04,152-905,0,서울특별시 구로구 온수동 9-9,,CDFH3301021995000002,3160000,사립,서울특별시 구로구 부일로 875 (온수동),08260,03,폐업,,,
0,0,나래체육관,,2001-09-15,,,,체육도장업,2026-05-06 22:48:30,I,03,폐업,,2003-04-18 15:20:21,,1995-06-09,152-847,0,서울특별시 구로구 구로동 152-17,,CDFH3301021995000003,3160000,사립,,,03,폐업,,,
0,0,다윗체육관,,2000-07-28,,186239.085462806,444927.428725797,체육도장업,2026-05-06 22:48:30,I,03,폐업,,2003-04-18 15:20:21,,1996-11-26,152-804,0,서울특별시 구로구 개봉동 108-16,,CDFH3301021996000001,3160000,사립,서울특별시 구로구 고척로27길 107  (개봉동),,03,폐업,,,
