사업장명,사업장부지용도구분명,업태구분명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,최종수정시점,인허가일자,소재지면적,지번주소,제조구분명,관리번호,개방자치단체코드,도로명주소,도로명우편번호,재개업일자,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자
(주)사랑씨앤지충전소,주거용,제조,,203829.111902755,461072.765300103,2026-05-06 22:52:38,I,01,영업중,2018-04-02 14:07:25,2007-11-30,2976,서울특별시 도봉구 창동 328-1,충전,2007309010502100001,3090000,서울특별시 도봉구 노해로 317-6 (창동),,,01,영업/정상,,
시립창동운동장조성및문화체육센타,공원등,제조,,204388.488423515,461849.675647332,2026-05-06 22:52:41,I,01,영업중,2013-05-01 16:40:03,2010-05-10,0,서울특별시 도봉구 창동 1 6통,냉동,2010309010502100001,3090000,서울특별시 도봉구 노해로69길 132 (창동),,,01,영업/정상,,
홈플러스(주) 방학점,주거용,제조,,203790.013568785,462495.417040876,2026-05-06 22:52:42,I,01,영업중,2024-02-22 15:15:54,2003-06-25,,서울특별시 도봉구 방학동 707-7,냉동,2013309013502100001,3090000,서울특별시 도봉구 도봉로 678 (방학동),,,01,영업/정상,,
의료법인 한전의료재단 한일병원,업무용,제조,,202466.119176743,460394.329853007,2026-05-06 22:52:42,I,01,영업중,2024-10-24 13:44:39,2014-05-15,,,냉동,2014309013502200004,3090000,서울특별시 도봉구 우이천로 308 (쌍문동),,,01,영업/정상,,
서울탁주 도봉연합제조장,,제조,,203174.342692516,459499.235087847,2026-05-06 22:52:42,I,01,영업중,2025-03-11 17:53:32,2015-04-08,,서울특별시 도봉구 창동,냉동,2015309013502200001,3090000,서울특별시 도봉구 덕릉로 219 (창동),,,01,영업/정상,,
도봉소방서(현장대응단),,제조,,203773.453364183,462399.623010612,2026-05-06 22:52:42,I,01,영업중,2021-02-05 11:09:07,2017-11-28,,서울특별시 도봉구 방학동 708 도봉소방서,충전,2017309013502200001,3090000,서울특별시 도봉구 도봉로 666 (방학동),01334,,01,영업/정상,,
도봉소방서(쌍문119안전센터),,제조,,202298.171981827,460649.562795156,2026-05-06 22:52:42,I,01,영업중,2022-12-08 10:01:24,2017-12-26,,서울특별시 도봉구 쌍문동 346-3 도봉소방서 쌍문119안전센터,충전,2017309013502200004,3090000,"서울특별시 도봉구 노해로 152, 도봉소방서 쌍문119안전센터 (쌍문동)",01450,,01,영업/정상,,
서울창동창업문화도시재생위탁관리부동산투자회사,상업.업무용,제조,,204313.906829097,461347.878668101,2026-05-06 22:52:42,I,01,영업중,2021-07-20 08:59:28,2021-07-19,,서울특별시 도봉구 창동 1-28,냉동,2021309017102200001,3090000,,,,01,영업/정상,,
서울교통공사(쌍문역),지정되지않음,제조,,203026.922988592,460743.186962052,2026-05-06 22:52:42,I,01,영업중,2021-09-28 11:16:41,2021-09-28,,서울특별시 도봉구 창동 703-4 쌍문역,냉동,2021309017102200002,3090000,"서울특별시 도봉구 도봉로 지하 486-1, 쌍문역 (창동)",01454,,01,영업/정상,,
도봉수소충전소,전,제조,,203843.254756305,465604.928467943,2026-05-06 22:52:42,I,01,영업중,2023-11-06 17:48:13,2022-08-09,3300,서울특별시 도봉구 도봉동 377,충전,2022309018902100001,3090000,서울특별시 도봉구 평화로 5 (도봉동),01301,,01,영업/정상,,
창동역사(주),,제조,,204138.204768094,461223.191625815,2026-05-06 22:52:42,I,01,영업중,2024-04-08 15:52:31,2024-04-08,,서울특별시 도봉구 창동 135-1 외 6필지,냉동,2024309018902100001,3090000,"서울특별시 도봉구 마들로11길 77, 창동역 (창동)",01413,,01,영업/정상,,
동아운수씨엔지(주),주차장등,제조,,201183.090092577,461792.090075895,2026-05-06 22:52:38,I,01,영업중,2013-04-10 14:55:17,2006-02-28,,서울특별시 도봉구 쌍문동 510-1,충전,2006309008702100001,3090000,서울특별시 도봉구 삼양로 620 (쌍문동),,,01,영업/정상,,
대복상사,주거용,판매,,203110.555422755,462234.667364042,2026-05-06 22:52:31,I,01,영업중,2015-02-11 15:21:54,2008-07-18,20,서울특별시 도봉구 방학동 671-7,,1998309010502100006,3090000,서울특별시 도봉구 방학로 145 (방학동),,,01,영업/정상,,
아진교통(주),주차장등,제조,,203449.680489442,465017.323060748,2026-05-06 22:52:33,I,01,영업중,2013-05-07 15:54:31,2011-01-25,,서울특별시 도봉구 도봉동 282-30,충전,2002309008702100001,3090000,서울특별시 도봉구 도봉산길 50 (도봉동),,,01,영업/정상,,
도봉구시설관리공단,공업기타,제조,,204086.050996173,462924.421741165,2026-05-06 22:52:34,I,01,영업중,2017-07-27 18:07:34,2002-11-25,,서울특별시 도봉구 방학동 720 도봉구청,냉동,2002309010502100001,3090000,서울특별시 도봉구 마들로 656 (방학동),,,01,영업/정상,,
한국스마트자동차(주)도봉공영CNG충전소,주거용,제조,,203719.563276213,465291.710893362,2026-05-06 22:52:36,I,01,영업중,2025-04-23 09:06:12,2011-01-25,1000,서울특별시 도봉구 도봉동 341-1,충전,2004309010502100002,3090000,서울특별시 도봉구 도봉로 961 (도봉동),,,01,영업/정상,,
(주)우영,공업용,제조,,203029.719290862,459912.19974995,2026-05-06 22:52:38,I,02,휴업,2014-02-28 09:21:54,2005-01-19,,서울특별시 도봉구 창동 632-39,냉동,2005309008702200001,3090000,서울특별시 도봉구 우이천로20길 38 (창동),,,02,휴업,2013-01-02,2014-12-31
