사업장명,종별명,업태구분명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,환경업무구분명,최종수정시점,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,도로명주소,도로명우편번호,재개업일자,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호,업종구분명
에스에이치바이오,,,,,,2026-05-06 22:52:31,I,4,폐쇄,분뇨등설계시공업관리,2019-03-21 09:52:53,1995-05-09,402-200,인천광역시 미추홀구 주안동 965-1,351050054199500004,3510500,,,,03,폐업,,,,
협신환경-주,,,,192370.841259655,455109.23891572,2026-05-06 22:52:38,I,11,영업,분뇨등설계시공업관리,2015-01-26 15:53:08,2004-01-09,122-081,서울특별시 은평구 신사동 22-40,311000054199300002,3110000,서울특별시 은평구 은평로 60-8 (신사동),,,01,영업/정상,,,,
주-대목환경,,,2014-11-20,193393.582531292,455334.534457911,2026-05-06 22:52:34,I,2,폐업,분뇨등설계시공업관리,2015-03-13 17:53:50,1993-08-27,122-907,서울특별시 은평구 응암동 97-19 1층,311000054199300001,3110000,,,,03,폐업,,,02-354-8170,
온세주택관리-주,,환경상담 및 관련 엔지니어링 서비스업,2007-07-03,193248.283814327,455507.894526727,2026-05-06 22:52:34,I,2,폐업,분뇨등설계시공업관리,2007-07-16 11:48:03,1996-08-22,122-010,서울특별시 은평구 응암동 85-30,311000054199600005,3110000,,,,03,폐업,,,,환경상담 및 관련 엔지니어링 서비스업
주-다보환경,,환경상담 및 관련 엔지니어링 서비스업,2005-12-27,192540.332115023,454325.946824034,2026-05-06 22:52:34,I,2,폐업,분뇨등설계시공업관리,2005-12-27 17:35:46,1997-05-23,122-010,서울특별시 은평구 응암동 584-12,311000054199700006,3110000,,,,03,폐업,,,,환경상담 및 관련 엔지니어링 서비스업
삼라환경-주,,환경상담 및 관련 엔지니어링 서비스업,2020-07-01,192251.142115398,456974.939599254,2026-05-06 22:52:35,I,2,폐업,분뇨등설계시공업관리,2007-07-16 15:08:41,1997-05-20,122-050,서울특별시 은평구 갈현동 496-4,311000054199700007,3110000,,,,03,폐업,,,,환경상담 및 관련 엔지니어링 서비스업
신화총업-주,,,2009-04-21,193799.160362349,455417.907115767,2026-05-06 22:52:36,I,2,폐업,분뇨등설계시공업관리,2009-04-21 16:46:48,1998-10-27,122-010,서울특별시 은평구 응암동 74-3,311000054199800009,3110000,,,,03,폐업,,,,
세진환경,,환경상담 및 관련 엔지니어링 서비스업,2020-01-01,192685.710680858,457026.216825439,2026-05-06 22:52:37,I,2,폐업,분뇨등설계시공업관리,2007-07-16 15:05:22,2000-02-12,122-050,서울특별시 은평구 갈현동 461-35,311000054200000012,3110000,,,,03,폐업,,,,환경상담 및 관련 엔지니어링 서비스업
(주)신환이엔씨,,환경상담 및 관련 엔지니어링 서비스업,2005-10-24,192377.087485147,456684.944714707,2026-05-06 22:52:37,I,2,폐업,분뇨등설계시공업관리,2005-10-24 11:24:12,2000-07-21,122-060,서울특별시 은평구 구산동 198-16 순종빌딩 4층,311000054200000013,3110000,,,,03,폐업,,,,환경상담 및 관련 엔지니어링 서비스업
평릉산업개발(주),,기타 토목시설물 건설관련 전문 공사업,2003-07-03,192892.314435076,457653.474889533,2026-05-06 22:52:38,I,2,폐업,분뇨등설계시공업관리,2007-07-16 15:00:13,2001-01-16,122-043,서울특별시 은평구 불광동 484-78,311000054200100001,3110000,,,,03,폐업,,,,기타 토목시설물 건설관련 전문 공사업
(주)에스앤엘,,,2024-09-25,192894.007267506,453880.525286865,2026-05-06 22:52:38,I,2,폐업,분뇨등설계시공업관리,2024-09-26 15:43:53,2021-10-14,,서울특별시 은평구 응암동 745-3 2층,311000054202100001,3110000,"서울특별시 은평구 가좌로7길 2, 2층 (응암동)",03479,,03,폐업,,,02-324-9014,
