건물용도명,사업장명,폐업일자,좌표X,좌표Y,문화사업자구분명,문화체육업종명,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,제작취급품목내용,시설면적,지상층수,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,지역구분명,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,주변환경명,휴업시작일자,휴업종료일자,소재지전화번호,총층수,지하층수
,(주)퍼블리,2024-07-18,204078.222481059,448976.291398221,출판인쇄업,출판사,2026-05-06 22:35:42,I,03,폐업,,41.76,,2024-07-18 13:28:34,,2016-04-11,,서울특별시 성동구 성수동*가 ***-****,CDFG1251002016000027,3030000,,"서울특별시 성동구 왕십리로*길 **, *층 (성수동*가)",04779,03,폐업,,,,070-4641-6880,,
,이채움,2019-11-29,202288.296247981,450952.055372086,출판인쇄업,출판사,2026-05-06 22:35:42,I,03,폐업,,,,2019-11-29 11:05:37,,2013-01-21,,서울특별시 성동구 하왕십리동 ***-**,CDFG1251002016000032,3030000,,"서울특별시 성동구 무학봉길 **, ***동 ****호 (하왕십리동, 왕십리kcc스위첸)",04711,03,폐업,,,,070-8846-2323,,
,사단법인 한국유시티학회,2023-03-22,202551.746419407,451297.350453921,출판인쇄업,출판사,2026-05-06 22:35:43,I,03,폐업,,,,2023-03-22 16:35:50,,2012-09-18,,서울특별시 성동구 하왕십리동 ***-**,CDFG1251002016000047,3030000,,"서울특별시 성동구 왕십리로 *** (하왕십리동, 성동빌딩)",04710,03,폐업,,,,02-718-5590,,
,달빛창문,2016-10-06,204848.299601913,449551.236385759,출판인쇄업,출판사,2026-05-06 22:35:43,I,03,폐업,,,,2016-10-06 14:20:42,,2015-07-24,,서울특별시 성동구 성수동*가 ***-**,CDFG1251002016000060,3030000,,"서울특별시 성동구 아차산로*길 **, *층 *호 (성수동*가, 강원도농수산물직판장)",04795,03,폐업,,,,070-4140-5050,,
,(주)한국자동차전문가아카데미,2024-12-30,205784.868811814,450883.524006222,출판인쇄업,출판사,2026-05-06 22:35:43,I,03,폐업,,,,2024-12-30 15:54:19,,2011-05-24,,"서울특별시 성동구 용답동 *** A동 가*,*호",CDFG1251002016000063,3030000,,"서울특별시 성동구 자동차시장*길 **, 에이동 *층 가 *,*호 (용답동, 장안평중고자동차시장)",04808,03,폐업,,,,,,
,패션 매터스,2018-12-10,201317.036147199,448999.705868354,출판인쇄업,출판사,2026-05-06 22:35:43,I,03,폐업,,,,2018-12-10 11:15:02,,2016-11-10,,서울특별시 성동구 옥수동 ***,CDFG1251002016000067,3030000,,"서울특별시 성동구 한림말*길 **, ***호 (옥수동, 옥수아파트)",04735,03,폐업,,,,,,
,조이플(JoyFull),2020-12-29,201298.324134186,448761.561043108,출판인쇄업,출판사,2026-05-06 22:35:43,I,03,폐업,,,,2020-12-29 13:00:20,,2016-11-11,,서울특별시 성동구 옥수동 ***-*,CDFG1251002016000068,3030000,,"서울특별시 성동구 한림말길 **-*, *층 (옥수동)",04735,03,폐업,,,,,,
,익북,2019-05-07,203773.506382809,449406.388832852,출판인쇄업,출판사,2026-05-06 22:35:43,I,03,폐업,,,,2019-05-07 17:40:59,,2016-11-17,,서울특별시 성동구 성수동*가 ***-**,CDFG1251002016000069,3030000,,"서울특별시 성동구 서울숲*길 **-**, ***호 (성수동*가)",04768,03,폐업,,,,,,
,제비꽃,2019-09-11,203239.114934071,450858.666779597,출판인쇄업,출판사,2026-05-06 22:35:44,I,03,폐업,,,,2019-09-11 10:57:51,,2016-12-07,,서울특별시 성동구 행당동 ***,CDFG1251002016000072,3030000,,"서울특별시 성동구 왕십리로 ***, ***동 ****호 (행당동, 행당동삼부아파트)",04751,03,폐업,,,,,,
,(주)미래인증교육컨설팅,2021-03-16,204659.279175492,449199.254493164,출판인쇄업,출판사,2026-05-06 22:35:44,I,03,폐업,,,,2021-03-16 13:54:07,,2017-01-03,,서울특별시 성동구 성수동*가 ***-* 홍인빌딩,CDFG1251002017000001,3030000,,"서울특별시 성동구 아차산로 **, 홍인빌딩 ***호 (성수동*가)",04782,03,폐업,,,,02-783-9004,,
