사업장명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,최종수정시점,인허가취소일자,인허가일자,소재지면적,소재지우편번호,지번주소,관리번호,개방자치단체코드,권리주체일련번호,도로명주소,도로명우편번호,재개업일자,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호
서초늘푸른약국,,200958.810528572,445792.191399183,2026-05-06 22:41:15,I,0000,정상,2026-04-17 13:54:58,,2026-04-17,,,서울특별시 서초구 잠원동 57-20,321000001120260006,3210000,000,"서울특별시 서초구 잠원로8길 25, 2층 208호 (잠원동)",06518,,01,영업/정상,,,
양재참약국,,203106.455386229,442342.803652458,2026-05-06 22:41:16,I,0000,정상,2026-04-22 09:10:47,,2026-04-22,,,서울특별시 서초구 양재동 13-7 구구빌딩,321000001120260007,3210000,000,"서울특별시 서초구 강남대로 214, 구구빌딩 1층 101호 (양재동)",06736,,01,영업/정상,,,
서초제일약국,,199540.273530981,442416.709711393,2026-05-06 22:41:17,I,0000,정상,2026-04-30 15:43:58,,2026-04-30,,,서울특별시 서초구 방배동 924-13 근복빌딩,321000001120260009,3210000,000,"서울특별시 서초구 방배로 111, 근복빌딩 1층 (방배동)",06683,,01,영업/정상,,,
소담약국,,199295.124468099,443049.058780463,2026-05-06 22:41:17,I,0000,정상,2026-04-30 16:04:31,,2026-04-30,,,서울특별시 서초구 방배동 851-4 유중아트센터,321000001120260010,3210000,000,"서울특별시 서초구 방배로 178, 유중아트센터 2층 일부호 (방배동)",06586,,01,영업/정상,,,
365미소약국,,202151.756671866,440929.88771349,2026-05-06 22:41:15,I,0000,정상,2026-03-05 13:51:52,,2026-03-05,,,서울특별시 서초구 우면동 64-1 중평빌딩,321000001120260003,3210000,000,"서울특별시 서초구 바우뫼로7길 3, 중평빌딩 1층 1호 (우면동)",06762,,01,영업/정상,,,
서초구름약국,,202245.377899369,442987.986999742,2026-05-06 22:41:15,I,0000,정상,2026-02-24 10:50:35,,2026-02-24,,,서울특별시 서초구 서초동 1757-1,321000001120260002,3210000,000,"서울특별시 서초구 효령로 403, 4층 418호 (서초동)",06630,,01,영업/정상,,,
강남메가셀렉트 약국,,202163.802234786,444420.91400537,2026-05-06 22:41:17,I,0000,정상,2026-04-30 10:39:50,,2026-04-27,0,,서울특별시 서초구 서초동 1304-5 우신빌딩,321000001120260008,3210000,000,"서울특별시 서초구 강남대로 445, 우신빌딩 지하1층 (서초동)",06611,,01,영업/정상,,,
서초당약국,,201154.250410089,443224.015956326,2026-05-06 22:41:15,I,0000,정상,2026-03-10 15:15:07,,2026-03-10,,,서울특별시 서초구 서초동 1576-2 크라운빌딩,321000001120260004,3210000,000,"서울특별시 서초구 반포대로22길 104, 1층 (서초동)",06650,,01,영업/정상,,,
올리브약국,,201884.862299616,445143.221393513,2026-05-06 22:41:15,I,0000,정상,2026-04-27 12:05:19,,2026-04-14,0,,서울특별시 서초구 반포동 722-38 태영빌딩,321000001120260005,3210000,000,"서울특별시 서초구 강남대로 521-4, 태영빌딩 1층 102호 (반포동)",06536,,01,영업/정상,,,02-487-7904
메디팜동양약국,2020-06-12,202303.448620529,443357.493816251,2026-05-06 22:40:36,I,0002,폐업,2020-06-12 17:33:39,,2013-06-06,0,,서울특별시 서초구 서초동 1331 동양빌딩 504호,321000001120130020,3210000,000,"서울특별시 서초구 사임당로 157, 504호 (서초동, 우성아파트)",06625,,03,폐업,,,
