사업장명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,DTL_TASK_SE_NM,최종수정시점,인허가취소일자,인허가일자,소재지면적,소재지우편번호,지번주소,관리번호,개방자치단체코드,권리주체일련번호,도로명주소,도로명우편번호,재개업일자,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호
서울숲 dogs,2025-12-15,203934.499467547,449210.380042967,2026-05-06 22:03:41,I,0002,폐업,,2025-12-16 09:07:33,,2020-04-17,0,,서울특별시 성동구 성수동*가 ***-* 프렌치모터스(주),303000004820200008,3030000,000,"서울특별시 성동구 왕십리로 **, *층 *호 (성수동*가)",04778,,03,폐업,,,02-468-3694
펫살롱,2025-12-26,202113.869605464,451897.581865192,2026-05-06 22:03:41,I,0002,폐업,,2025-12-26 16:17:48,,2021-03-23,0,,서울특별시 성동구 상왕십리동 *** 텐즈힐 ***호,303000004820210006,3030000,000,"서울특별시 성동구 마장로 ***, ***호 (상왕십리동, 텐즈힐)",04700,,03,폐업,,,
쥬라기동물병원,2025-12-31,208344.912915338,448875.286459939,2026-05-06 22:03:54,I,0002,폐업,,2025-12-31 17:05:14,,2018-11-06,0,,서울특별시 광진구 광장동 ***-**,304000004820180073,3040000,000,서울특별시 광진구 광나루로 *** (광장동),04984,,03,폐업,,,02-455-7570
내안에너있DOG,2026-01-15,208947.072330515,456501.735079654,2026-05-06 22:33:55,I,0002,폐업,,2026-01-15 15:11:11,,2020-08-26,0,,서울특별시 중랑구 망우동 *** 신내역 프라디움 더 테라스,306000004820200010,3060000,000,"서울특별시 중랑구 용마산로 ***, c동 ***호 (망우동, 신내역 프라디움 더 테라스)",02057,,03,폐업,,,
견생유치원,2025-12-24,201349.677927804,460561.665774363,2026-05-06 22:03:40,I,0002,폐업,,2025-12-30 15:53:08,,2024-05-16,0,,서울특별시 강북구 수유동 ***-**,308000004820240005,3080000,000,"서울특별시 강북구 한천로 ****, *층 (수유동)",01037,,03,폐업,,,
강(Kang)아지,2025-12-23,201195.913672271,460179.648063447,2026-05-06 22:03:40,I,0002,폐업,,2025-12-23 12:52:02,,2024-10-04,0,,서울특별시 강북구 수유동 ***-**,308000004820240007,3080000,000,"서울특별시 강북구 삼양로***길 **, *층 (수유동)",01030,,03,폐업,,,
나라 앤 송이 애견샵,,202282.870151037,459935.756525042,2026-05-06 22:03:35,I,0000,정상,,2025-08-19 14:36:04,,2018-05-30,0,,서울특별시 강북구 수유동 ***-** *층,308000004820180009,3080000,000,"서울특별시 강북구 한천로***길 **-**, *층 (수유동)",01054,,01,영업/정상,,,
꽃보다 개,,201797.933158965,460209.426960858,2026-05-06 22:03:35,I,0000,정상,,2024-08-30 16:12:36,,2018-06-07,0,,서울특별시 강북구 수유동 ***-*,308000004820180014,3080000,000,서울특별시 강북구 한천로 **** (수유동),01048,,01,영업/정상,,,
버블펫,,202778.045524565,457972.165978227,2026-05-06 22:03:35,I,0000,정상,,2025-01-09 17:41:30,,2018-07-09,0,,서울특별시 강북구 미아동 ***-*** *층,308000004820180016,3080000,000,"서울특별시 강북구 오패산로**길 **, *층 (미아동)",01153,,01,영업/정상,,,02-987-9808
라울레미 하우스,,202730.349495528,457804.17618464,2026-05-06 22:03:35,I,0000,정상,,2024-06-13 15:25:02,,2018-07-31,0,,서울특별시 강북구 미아동 ***-***,308000004820180017,3080000,000,"서울특별시 강북구 도봉로**길 **, *층 (미아동)",01162,,01,영업/정상,,,
솔샘펫,,201502.608880391,457502.103585976,2026-05-06 22:03:35,I,0000,정상,,2024-11-26 18:14:46,,2018-07-31,0,,서울특별시 강북구 미아동 ****-*,308000004820180018,3080000,000,"서울특별시 강북구 솔샘로 ***, *층 (미아동)",01193,,01,영업/정상,,,
24시 수유 바른펫 동물의료센터,,201895.657015169,459898.768983751,2026-05-06 22:03:35,I,0000,정상,,2022-04-28 18:10:41,,2018-09-20,0,,서울특별시 강북구 수유동 **-** 리안스페이스,308000004820180022,3080000,000,"서울특별시 강북구 노해로 **, 리안스페이스 *층 (수유동)",01077,,01,영업/정상,,,02-903-7582
H 동물병원,,201602.577531291,457290.100695375,2026-05-06 22:03:35,I,0000,정상,,2024-04-25 16:45:15,,2018-10-02,0,,서울특별시 강북구 미아동 ****-* 미아프라자,308000004820180028,3080000,000,"서울특별시 강북구 삼양로**길 **-**, 미아프라자 ***호 (미아동)",01196,,01,영업/정상,,,
아이사랑 동물병원,,201882.026836663,457207.459778606,2026-05-06 22:03:36,I,0000,정상,,2022-04-28 18:10:42,,2019-05-09,0,,서울특별시 강북구 미아동 ***-* 현대성우아파트,308000004820190006,3080000,000,"서울특별시 강북구 삼양로**길 **, ***동 ***호 (미아동, 현대성우아파트)",01201,,01,영업/정상,,,02-946-0011
