영업장주변구분명,건물소유구분명,사업장명,업태구분명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,시설총규모,공장사무직직원수,공장생산직직원수,공장판매직직원수,여성종사자수,등급구분명,보증액,본사직원수,홈페이지,최종수정시점,인허가일자,소재지면적,소재지우편번호,지번주소,다중이용업소여부,남성종사자수,관리번호,월세액,개방자치단체코드,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,위생업태명,소재지전화번호,전통업소지정번호,전통업소주된음식,급수시설구분명
,,이보다 코리아,건강기능식품유통전문판매업,,203208.513564924,441571.047589012,2026-05-06 22:35:48,I,01,영업,0,,,,,,,,,2026-04-03 17:34:55,2026-04-03,,137-891,서울특별시 서초구 양재동 ***-**,N,,3210000-135-2026-00015,,3210000,"서울특별시 서초구 양재천로**길 **, *층 (양재동)",06753,01,영업/정상,건강기능식품유통전문판매업,,,,
,,임팩트 디벨로퍼스(Impact Developers),건강기능식품유통전문판매업,,201423.148208142,443383.988751089,2026-05-06 22:35:48,I,01,영업,0,,,,,,,,,2026-04-13 10:10:27,2026-04-08,,137-881,서울특별시 서초구 서초동 ****-* RS빌딩 ***호,N,,3210000-135-2026-00020,,3210000,"서울특별시 서초구 서초대로**길 **-**, RS빌딩 ***호 (서초동)",06633,01,영업/정상,건강기능식품유통전문판매업,,,,
,,주식회사 유앤아이헬스,건강기능식품유통전문판매업,,200746.801472819,443405.561043408,2026-05-06 22:35:49,I,01,영업,0,,,,,,,,,2026-04-17 11:18:49,2026-04-17,,137-885,서울특별시 서초구 서초동 ****-* 금구빌딩 지하*층 ***호,N,,3210000-135-2026-00021,,3210000,"서울특별시 서초구 법원로*길 **, 금구빌딩 지하*층 ***호 (서초동)",06595,01,영업/정상,건강기능식품유통전문판매업,,,,
,,주식회사 라일로,건강기능식품유통전문판매업,,203794.862849207,440982.520349648,2026-05-06 22:35:48,I,01,영업,0,,,,,,,,,2026-02-19 09:52:54,2026-02-19,,137-898,서울특별시 서초구 양재동 ***-* 에이텍빌딩,N,,3210000-135-2026-00007,,3210000,"서울특별시 서초구 동산로 **, 에이텍빌딩 *층 (양재동)",06785,01,영업/정상,건강기능식품유통전문판매업,,,,
,,주식회사 서울메디칼,건강기능식품유통전문판매업,,201608.774151,442334.837085302,2026-05-06 22:35:49,I,01,영업,0,,,,,,,,,2026-04-28 17:15:07,2026-04-28,,137-864,서울특별시 서초구 서초동 ****-**,N,,3210000-135-2026-00022,,3210000,"서울특별시 서초구 남부순환로***길 *-*, *층 (서초동)",06725,01,영업/정상,건강기능식품유통전문판매업,02-523-0628,,,
,,(주)제이엑스코퍼레이션,건강기능식품유통전문판매업,,203931.336196715,441537.806527261,2026-05-06 22:35:49,I,01,영업,0,,,,,,,,,2026-04-30 17:30:08,2026-04-30,,137-895,서울특별시 서초구 양재동 ***-**,N,,3210000-135-2026-00023,,3210000,"서울특별시 서초구 언남**길 **, *층 (양재동)",06775,01,영업/정상,건강기능식품유통전문판매업,,,,
,,주식회사 이너니스,건강기능식품유통전문판매업,,202638.948768564,443109.509930091,2026-05-06 22:35:48,I,01,영업,0,,,,,,,,,2026-03-03 16:58:47,2026-02-27,,137-860,서울특별시 서초구 서초동 ****-** 현대렉시온,N,,3210000-135-2026-00009,,3210000,"서울특별시 서초구 강남대로 ***, 현대렉시온 ****호 (서초동)",06628,01,영업/정상,건강기능식품유통전문판매업,,,,
,임대,(주)태성헬스케어,건강기능식품유통전문판매업,,190461.790473157,442368.090413171,2026-05-06 22:32:42,I,01,영업,0,,,,,,,,,2026-02-10 16:05:22,2021-11-25,4.90,152-848,서울특별시 구로구 구로동 ***-** 벽산디지털밸리*차,N,,3160000-135-2021-00018,,3160000,"서울특별시 구로구 디지털로**길 **, 벽산디지털밸리*차 ***-**호 (구로동)",08381,01,영업/정상,건강기능식품유통전문판매업,,,,
,,워크플렉스,건강기능식품유통전문판매업,,201314.245103965,442859.39847353,2026-05-06 22:35:48,I,01,영업,0,,,,,,,,,2026-03-05 10:48:46,2026-03-04,,137-878,서울특별시 서초구 서초동 ****-** 제일빌딩,N,,3210000-135-2026-00011,,3210000,"서울특별시 서초구 사임당로*길 **, 제일빌딩 *층 ***-L***호 (서초동)",06640,01,영업/정상,건강기능식품유통전문판매업,,,,
,,우정컴퍼니,건강기능식품유통전문판매업,,201314.245103965,442859.39847353,2026-05-06 22:35:48,I,01,영업,0,,,,,,,,,2026-03-04 15:19:56,2026-03-04,,137-878,서울특별시 서초구 서초동 ****-** 제일빌딩,N,,3210000-135-2026-00010,,3210000,"서울특별시 서초구 사임당로*길 **, 제일빌딩 *층 ***-L***호 (서초동)",06640,01,영업/정상,건강기능식품유통전문판매업,,,,
,,주식회사 유투엑스랩,건강기능식품유통전문판매업,,203542.630459255,442241.67079002,2026-05-06 22:35:48,I,01,영업,0,,,,,,,,,2026-03-31 14:05:56,2026-03-31,,137-886,서울특별시 서초구 양재동 *-* 드림빌딩,N,,3210000-135-2026-00014,,3210000,"서울특별시 서초구 바우뫼로**길 **-*, 드림빌딩 *,*,*층 (양재동)",06741,01,영업/정상,건강기능식품유통전문판매업,070-7405-3377,,,
,,주식회사 메디샷,건강기능식품유통전문판매업,,201504.341007937,445761.35751713,2026-05-06 22:35:48,I,01,영업,0,,,,,,,,,2026-02-23 13:23:12,2026-02-23,,137-903,서울특별시 서초구 잠원동 **-** 미르빌딩,N,,3210000-135-2026-00008,,3210000,"서울특별시 서초구 나루터로**길 **, 미르빌딩 *층 (잠원동)",06527,01,영업/정상,건강기능식품유통전문판매업,02-6235-9000,,,
,,피케이프렌드,건강기능식품유통전문판매업,,202408.927424445,443494.434121253,2026-05-06 22:35:48,I,01,영업,0,,,,,,,,,2026-04-09 10:09:28,2026-04-08,,137-858,서울특별시 서초구 서초동 ****-* ENDEAVOR TOWER,N,,3210000-135-2026-00017,,3210000,"서울특별시 서초구 서초대로**길 **, ENDEAVOR TOWER B*층 (서초동)",06626,01,영업/정상,건강기능식품유통전문판매업,,,,
,,주식회사 주닥더마코스메틱,건강기능식품유통전문판매업,,203588.9615637,441759.987163502,2026-05-06 22:35:48,I,01,영업,0,,,,,,,,,2026-04-10 10:21:14,2026-04-10,,137-890,서울특별시 서초구 양재동 **-* 우원빌딩,N,,3210000-135-2026-00018,,3210000,"서울특별시 서초구 양재천로**길 *, 우원빌딩 *층 (양재동)",06747,01,영업/정상,건강기능식품유통전문판매업,,,,
,,케이케이엘씨(KKLC),건강기능식품유통전문판매업,,,,2026-05-06 22:35:48,I,01,영업,0,,,,,,,,,2026-03-19 11:41:38,2026-03-19,,137-800,서울특별시 서초구 반포동 * 래미안 원베일리,N,,3210000-135-2026-00013,,3210000,"서울특별시 서초구 반포대로 ***, ***동 ****호 (반포동, 래미안 원베일리)",06506,01,영업/정상,건강기능식품유통전문판매업,,,,
,,메타라이프연구소,건강기능식품유통전문판매업,,201070.374374053,442706.851934959,2026-05-06 22:35:48,I,01,영업,0,,,,,,,,,2026-04-10 13:52:12,2026-04-10,,137-963,서울특별시 서초구 서초동 ****-* 서초이오빌,N,,3210000-135-2026-00019,,3210000,"서울특별시 서초구 효령로**길 **, ***-**호 (서초동, 서초이오빌)",06652,01,영업/정상,건강기능식품유통전문판매업,02-403-2001,,,
,,심플샘플,건강기능식품유통전문판매업,,200566.089923101,445004.984180847,2026-05-06 22:35:48,I,01,영업,0,,,,,,,,,2026-02-12 13:16:34,2026-02-12,,137-908,서울특별시 서초구 잠원동 **-** *층 **호,N,,3210000-135-2026-00006,,3210000,"서울특별시 서초구 신반포로 ***, *층 **호 (잠원동)",06512,01,영업/정상,건강기능식품유통전문판매업,,,,
