건물용도명,사업장명,폐업일자,좌표X,좌표Y,문화사업자구분명,문화체육업종명,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,제작취급품목내용,시설면적,지상층수,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,지역구분명,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,주변환경명,휴업시작일자,휴업종료일자,소재지전화번호,총층수,지하층수
,주식회사 미니로봇,2013-10-15,168900.00973702,431565.335319844,유통관련업,게임물제작업,2026-05-06 22:35:29,I,03,폐업,메탈 로봇 크레인,460.32,,2013-10-16 08:18:16,,2009-11-25,,인천광역시 연수구 송도동 *-** 산업기술연구집적센터 ***호,CDFF2241082009000003,3520000,,"인천광역시 연수구 갯벌로 ***,  ***호 (송도동,산업기술연구집적센터)",,03,폐업,,,,032-260-7272,,
아파트,레이턴소프트,2012-05-29,170938.652786429,433755.427480694,유통관련업,게임물제작업,2026-05-06 22:35:29,I,03,폐업,온라인게임,9,5,2012-05-29 13:52:50,,2010-09-08,,인천광역시 연수구 동춘동 *** 한양*차아파트 *동 ***호,CDFF2241082010000002,3520000,,,,03,폐업,,,,,6,1
사무실,나눔플러스,2011-12-27,169026.641378507,435121.222783418,유통관련업,게임물제작업,2026-05-06 22:35:29,I,03,폐업,게임물(온라인)프로그램,95.64,4,2011-12-27 15:11:10,,2010-10-26,,인천광역시 연수구 옥련동 ***-* *층 ***호,CDFF2241082010000003,3520000,,"인천광역시 연수구 능허대로 ***  (옥련동,*층 ***호)",,03,폐업,,,,,5,1
,(주)본소프트,2017-12-27,168781.930908815,429455.977053908,유통관련업,게임물제작업,2026-05-06 22:35:29,I,03,폐업,게임 어플리케이션,135.27,,2017-12-27 17:28:59,,2016-05-11,,인천광역시 연수구 송도동 *** 송도 BRC 스마트밸리 지식산업센터 E동 ****호,CDFF2241082016000001,3520000,,"인천광역시 연수구 송도미래로 **, E동 ****호 (송도동, 송도 BRC 스마트밸리 지식산업센터)",21990,03,폐업,,,,,,
,소나기,2017-12-18,172320.096202512,434792.457143694,유통관련업,게임물제작업,2026-05-06 22:35:29,I,03,폐업,게임,49.8,,2017-12-18 19:33:20,,2017-03-08,,인천광역시 연수구 연수동 ***-* 솔밭마을아파트 ***동 ***호,CDFF2241082017000001,3520000,,"인천광역시 연수구 원인재로 ***, ***동 *층 ***호 (연수동, 솔밭마을아파트)",21934,03,폐업,,,,,,
,주식회사 제이엠소프트,2025-12-04,168082.874459247,433416.378156392,유통관련업,게임물제작업,2026-05-06 22:35:29,I,03,폐업,프로그램개발,89.61,,2025-12-04 16:54:58,,2019-03-11,,인천광역시 연수구 송도동 **-* 커낼워크D* WINTER ***동 ***호,CDFF2241082019000002,3520000,,"인천광역시 연수구 아트센터대로 **, 커낼워크D* WINTER ***동 ***호 (송도동)",22002,03,폐업,,,,,,
,한성이엔씨,2022-12-07,168648.098572795,429896.253273978,유통관련업,게임물제작업,2026-05-06 22:35:30,I,03,폐업,"게임소프트웨어, 온라인 모바일 그 외",42.22,,2022-12-07 13:58:35,,2020-08-07,,인천광역시 연수구 송도동 ***-* 비알씨(주) 연구소 *-A동 ***호,CDFF2241082020000003,3520000,,"인천광역시 연수구 송도미래로 *, 비알씨(주) 연구소 *-A동 ***호 (송도동)",21988,03,폐업,,,,,,
,DM소프트,2024-06-19,168336.80766905,432912.535863167,유통관련업,게임물제작업,2026-05-06 22:35:30,I,03,폐업,게임콘텐츠,84.91,,2024-06-20 09:48:51,,2019-08-28,,인천광역시 연수구 송도동 **-* 송도 더샵 하버뷰 *,CDFF2241082020000004,3520000,,"인천광역시 연수구 아트센터대로**번길 **, ****동 ***호 (송도동, 송도 더샵 하버뷰 *)",22002,03,폐업,,,,,,
,너드렌(Nerdren),2024-03-11,170626.761484147,435307.361190444,유통관련업,게임물제작업,2026-05-06 22:35:30,I,03,폐업,모바일 게임 제작,85,,2024-03-11 14:20:30,,2021-03-30,,인천광역시 연수구 청학동 *** 연수*차하나아파트 ***동 ***호,CDFF2241082021000003,3520000,,"인천광역시 연수구 용담로 **, ***동 ***호 (청학동, 연수*차하나아파트)",21915,03,폐업,,,,,,
,고릴라 소프트,2022-11-18,171259.46915955,434947.198982201,유통관련업,게임물제작업,2026-05-06 22:35:30,I,03,폐업,아바타 게임,7,,2022-11-21 09:24:48,,2022-08-17,,인천광역시 연수구 청학동 ***-*,CDFF2241082022000002,3520000,,"인천광역시 연수구 용담로 **, *층 A-*호 (청학동)",21926,03,폐업,,,,,,
,주식회사 플랜비스튜디오,2025-12-09,168461.560741473,431579.291351209,유통관련업,게임물제작업,2026-05-06 22:35:30,I,03,폐업,모바일 게임 앱,1.5,,2025-12-09 09:35:26,,2025-06-27,,인천광역시 연수구 송도동 *-** 스타빌딩,CDFF2241082025000004,3520000,,"인천광역시 연수구 테크노파크로***번길 *, 스타빌딩 *층 ***-**호 (송도동)",21998,03,폐업,,,,,,
