신도수,사업장명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,지정취소,지정취소사유,지정취소일자,상세영업상태코드,상세영업상태명,창립연대,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지번주소,관리번호,승려수,개방자치단체코드,유래연혁,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호,전통사찰명
250,용궁사,,158186.484875322,444005.849171894,2026-05-06 22:36:51,I,N,,,05,지정,,2013-06-20 10:21:18,,1990-11-09,,인천광역시 중구 운남동 667,CDFD1001,4,3490000,"신라 문무왕 10년(670년)에 원효대사가 창건하여 백운사라 하였다고 전하며 1,300여년을 내려오다 영종 중산 월촌에 사는 윤공이란 어부가 꿈을꾸고 바다에서 작은 옥불을 올려 본 절에 봉안하였다고 한다. 일명 구담사라고도 전한다. 조선조 철종 5년(1854년) 흥선대원군이 이 절을 중창하고 용궁사라 개칭하였으며 고종이 등극할 때까지 이절에서 칩거하였다고 한다.",인천광역시 중구 운남로 199-1  (운남동),,01,영업/정상,,,,용궁사
0,승가사,,196450.832657496,458289.083133194,2026-05-06 23:03:41,I,N,,,07,승인,,2025-09-02 12:17:21,,1988-07-25,,서울특별시 종로구 구기동 산 1,CDFD1001,0,3000000,"신라경덕왕 15년에 수태성사가 창건
국란 예방을위한 기도 도량으로 의한 성지",서울특별시 종로구 비봉4길 213 (구기동),,01,영업/정상,,,,승가사
0,조계사,,198369.673994286,452399.957460173,2026-05-06 23:03:41,I,N,,,07,승인,,2014-06-02 14:14:16,,1988-07-25,,서울특별시 종로구 견지동 45,CDFD1002,0,3000000,"1910년 한용운 이수길 이희광 스님 등에의해 각황사라는 이름으로 창건
1938년 총본산 낙성과함께 태고사라 부름
1954년 조개사로 개칭",,,01,영업/정상,,,,조계사
0,대각사,,199230.47059495,452374.064148799,2026-05-06 23:03:41,I,N,,,07,승인,,2017-12-07 09:11:24,,1988-07-25,,서울특별시 종로구 봉익동 2,CDFD1003,0,3000000,"1911년 4월8일 백용성 대선사가 창건
1921년 삼장의 조직 한글로 경전을 대대적으로 번역 흥보 대각교 창립
1928년 4.5 대각일요학교 설립 삼상학회 기관지 우아 간행
1965년 9.11 문교부에 종교법인 재단법인 대각사로 인가",,,01,영업/정상,,,,대각사
0,소림사,,196300.203464322,455463.787019164,2026-05-06 23:03:42,I,N,,,07,승인,,2016-12-13 16:02:18,,1988-07-25,,서울특별시 종로구 홍지동 80-1,CDFD1004,0,3000000,"조선태조 5년(1396년) 혜철화상이 태조의 명에 의거 창건하여 소림굴이라 하였고 
 1817년(순조때) 관해스님이 중건 하였으며 현 대웅전은 1970년 5월에 중건
 1978년 현재 주지 혜윤 스님이 부임",,,01,영업/정상,,,,소림사
0,청용사,,201410.859114101,453067.82734527,2026-05-06 23:03:42,I,N,,,07,승인,,2017-08-25 10:08:24,,1988-07-25,,서울특별시 종로구 숭인동 17-1,CDFD1005,0,3000000,"고려태조 5년(922녀) 도선국사의 유언으로 태조의 어명에의거 창건
 안양의 의정룡 산능에 지엇다하여 청룡사로 하였으며 제1대 주지 혜원 비구니를 임명
 우산국 통일 기도를 올리게 하였고 조선조 태조의 즉위후 공민왕비 에비가 청룡사에 출가 하였 고 그리고 조선조 세조 2년(1456) 단종의 비 송씨가 우와부에서 단종을 이별 하고 출가 이곳에 서 65년간 살았으며 그 후 영조때 정업원 구기비가 세워졌고 해방 이후 윤오비구니가 대대적으 로 중창함",,,01,영업/정상,,,,청용사
0,문수사,,197516.181020308,458773.766071163,2026-05-06 23:03:42,I,N,,,05,지정,,2012-01-10 18:48:42,,1988-12-14,,서울특별시 종로구 구기동 2,CDFD1006,0,3000000,"예종 4년 탄연국사가 창건 
 1451년(문종 1년) 연창공주가 중건",서울특별시 종로구 비봉2길 304  (구기동),,01,영업/정상,,,,문수사
0,감로암,,200516.095441559,452559.360165863,2026-05-06 23:03:43,I,N,,,05,지정,,2012-01-10 19:01:26,,1989-12-14,,서울특별시 종로구 충신동 15,CDFD1007,0,3000000,"이름을 알수없는 스님이 1927년 관음도량으로 알려짐 이후 혜란 이라는 비구니 스님을 거쳐
 오늘에 이름",서울특별시 종로구 율곡로23길 16  (충신동),,01,영업/정상,,,,감로암
0,인왕사,,,,2026-05-06 23:03:43,I,N,,,05,지정,,2012-01-10 19:02:16,,1988-07-25,,서울특별시 종로구 무악동 산 3,CDFD1008,0,3000000,"고려 공민왕때 무학스님이 창건
 병자호란때 멸실 1900년대 이해명 스님이 중건
 현재 위치는 확실치 않다",,,01,영업/정상,,,,인왕사
0,일선사,,197665.348592744,457781.709134795,2026-05-06 23:03:43,I,N,,,07,승인,,2010-04-12 17:22:12,,1989-11-08,,서울특별시 종로구 평창동 산 6-1,CDFD1009,0,3000000,"827-898년 도선국사가 창건
 고려 탄연묵암 대선사(1070-1159) 중창
 이조 자초 무학왕(1327-1405) 함허득 통선사 주석함
 제 1차 불교정화때 탄허 큰스님 주석 시인 고은(일초) 주석함
 석정덕 스님 수호가람 중창불사(1966-1997)",서울특별시 종로구 평창6길 79-141  (평창동),,01,영업/정상,,,,일선사
0,금선사,,195821.879248356,457532.00485417,2026-05-06 23:03:44,I,N,,,07,승인,,2024-09-28 09:13:41,,1996-12-04,,서울특별시 종로구 구기동 196-2,CDFD1010,0,3000000,조선초(1327-1405) 무학자초가 조선의 수도를 정하고자 각처를 다니다가 창건,,,01,영업/정상,,,,금선사
