축산일련번호,축산업무구분명,사업장명,업태구분명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,최종수정시점,인허가취소일자,인허가일자,소재지면적,소재지우편번호,지번주소,축산물가공업구분명,관리번호,개방자치단체코드,권리주체일련번호,도로명주소,도로명우편번호,재개업일자,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호
,축산물판매업,좋은축산마을,식육판매업,2026-05-18,203245.531385666,461682.877694306,2026-05-19 03:03:03,U,0002,폐업,2026-05-18 09:02:56,,2009-01-02,37.8,,서울특별시 도봉구 쌍문동 49-6 1층,식육판매업,309000000920090001,3090000,000,"서울특별시 도봉구 해등로 174 (쌍문동,1층)",,,03,폐업,,,02-999-0084
,축산물판매업,홈플러스(주),식육판매업,,205985.953324881,459730.43776924,2026-05-19 03:03:03,U,0001,휴업,2026-05-18 11:23:03,,2006-11-14,364.44,,서울특별시 노원구 중계동 509-2,식육판매업,310000000920060053,3100000,L00,서울특별시 노원구 동일로204가길 12 (중계동),01783,,02,휴업,2026-05-18,2026-07-03,02-986-2080
,축산물판매업,(주)지아택,식육판매업,2026-05-01,228587.929931209,448935.461448878,2026-05-19 03:03:03,U,0002,폐업,2026-05-18 15:02:50,,2017-11-20,0,,경기도 양평군 양서면 용담리 534-9,식육판매업,417000000920170026,4170000,L00,"경기도 양평군 양서면 목왕로 10, 3층 303호",12584,,03,폐업,,,
,축산물판매업,홈플러스(주)잠실점,식육판매업,,209039.148023482,446007.966801057,2026-05-19 03:03:03,U,0001,휴업,2026-05-18 17:09:03,,2007-08-29,208.45,,서울특별시 송파구 신천동 7-12 지하2층 B201호,식육판매업,323000000920070055,3230000,L00,"서울특별시 송파구 올림픽로35가길 16, 지하2층 (신천동)",05510,,02,휴업,2026-05-18,2026-07-03,02-3468-8000
,축산물판매업,주식회사 마크에프에스,축산물유통전문판매업,,227810.008495554,420611.109674428,2026-05-19 03:03:03,U,0000,정상,2026-05-18 15:07:37,,2022-11-11,30,,경기도 광주시 도척면 유정리 620-1,축산물유통전문판매업,554000000920220087,5540000,L00,경기도 광주시 도척면 도척로 827-4,12817,,01,영업/정상,,,
,축산물판매업,홈플러스(주) 가좌점,식육판매업,,170813.26483128,443985.945396357,2026-05-19 03:03:03,U,0001,휴업,2026-05-18 11:03:50,,2002-07-25,176.3,,인천광역시 서구 가좌동 118,식육판매업,356000000920020019,3560000,L00,인천광역시 서구 가정로151번길 11 (가좌동),,,02,휴업,2026-05-10,2026-07-03,
,축산물판매업,래미안 홈마트 정육,식육판매업,,215223.800862058,438686.329480372,2026-05-19 03:03:03,U,0000,정상,2026-05-18 15:03:13,,2022-07-13,22.7,,경기도 성남시 중원구 금광동 2500 래미안금광아파트 상가동 B01호,식육판매업,378000000920220086,3780000,L00,"경기도 성남시 중원구 황송로 77, B01호 (금광동, 래미안금광아파트)",13165,,01,영업/정상,,,
,축산물판매업,서울우유중계동 고객센터,우유류판매업,,207247.169199779,460856.134597246,2026-05-19 03:03:03,U,0000,정상,2026-05-18 14:53:14,,2002-10-19,24.5,,서울특별시 노원구 중계동 90-16,우유류판매업,310000000920020049,3100000,000,"서울특별시 노원구 중계로14바길 9, 1층 (중계동)",01722,,01,영업/정상,,,
,축산물판매업,젠틀한정육점,식육판매업,,188477.861441549,448479.27984367,2026-05-19 03:03:03,U,0000,정상,2026-05-18 09:11:59,,2006-01-10,33.6,,서울특별시 양천구 목동 948 201동 109호,식육판매업,314000000920060003,3140000,000,"서울특별시 양천구 목동중앙본로1길 5, 201동 109호 (목동)",,,01,영업/정상,,,02-2645-7770
,축산물판매업,미도델리(MIDO DELI),축산물유통전문판매업,2026-05-18,200250.447804795,444683.220506107,2026-05-19 03:03:03,U,0002,폐업,2026-05-18 10:01:59,,2025-08-22,1.71,,서울특별시 서초구 반포동 19-3 센트럴시티,축산물유통전문판매업,321000000920250023,3210000,L00,"서울특별시 서초구 신반포로 176, 신세계백화점 강남점 지하1층 (반포동)",06546,,03,폐업,,,
,축산물판매업,금돼지,식육판매업,2026-05-15,189179.182506036,440013.598096639,2026-05-19 03:03:03,U,0002,폐업,2026-05-18 09:52:46,,2025-01-14,0,,경기도 광명시 하안동 34-10 삼성빌딩,식육판매업,390000000920250001,3900000,000,"경기도 광명시 범안로 1041, 삼성빌딩 (하안동)",14248,,03,폐업,,,
