사업장명,폐업일자,법인구분명,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,최종수정시점,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,구분명,소재지전화번호
(주)리부트코리아,2026-01-20,법인,191533.519394136,445719.474129913,2026-05-21 03:03:03,U,20,영업중,2026-05-20 17:44:32,2017-02-27,,서울특별시 영등포구 영등포동 618-271 연일빌딩,2021318023914500009,3180000,"서울특별시 영등포구 영신로19길 28, 연일빌딩 2층 (영등포동)",07366,01,영업/정상,유료,
서부인력개발,2026-05-20,개인,192930.333583439,459665.856169744,2026-05-21 03:03:03,U,40,폐업,2026-05-20 13:40:08,2025-04-14,,서울특별시 은평구 진관동 68-3 은평뉴타운파크앤타워,2025311028114500004,3110000,"서울특별시 은평구 진관3로 32, 은평뉴타운파크앤타워 b동 206호 (진관동)",03302,03,폐업,유료,
(주)잡모아,,법인,187324.561350406,446982.136451416,2026-05-21 03:03:03,U,20,영업중,2026-05-20 11:10:17,2002-07-13,,서울특별시 양천구 신정동 952번지 6호 5층,2002314007011500023,3140000,"서울특별시 양천구 오목로 180, 5층 (신정동, 평화빌딩)",08020,01,영업/정상,유료,02-2645-6777
희망인력건설산업(주),,법인,199418.957824521,447879.088094828,2026-05-21 03:03:03,U,20,영업중,2026-05-20 20:10:49,2017-07-21,,서울특별시 용산구 이태원동 130-43,2024305021114500001,3050000,"서울특별시 용산구 보광로 117, 2층 (이태원동)",04391,01,영업/정상,유료,02-2244-3399
커리어앤파트너즈,,개인,189504.258704224,441390.738560411,2026-05-21 03:03:03,U,20,영업중,2026-05-20 09:52:46,2023-11-22,,서울특별시 금천구 가산동 345-29 대륭테크노타운19차 402호,2023317024914500022,3170000,"서울특별시 금천구 가산디지털2로 70, 대륭테크노타운19차 4층 402호 (가산동)",08589,01,영업/정상,유료,
파워피플컨설팅,,개인,204032.452649817,444979.540026518,2026-05-21 03:03:03,U,20,영업중,2026-05-20 14:35:55,2024-02-01,,서울특별시 강남구 역삼동 694-25 미네르바,2024322025014500007,3220000,"서울특별시 강남구 선릉로 537, 미네르바 3층 (역삼동)",06149,01,영업/정상,유료,
(주)프리미어커리어매니지먼트,,법인,203270.53092137,444024.26162566,2026-05-21 03:03:03,U,20,영업중,2026-05-20 15:02:16,2015-04-06,,서울특별시 강남구 역삼동 738번지 27호 YH빌딩 6층,2015322016314500015,3220000,"서울특별시 강남구 논현로 427-1, 6층 (역삼동, YH빌딩)",,01,영업/정상,유료,02-565-0804
선진직업소개소,,개인,209864.449512227,444496.871844114,2026-05-21 03:03:03,U,20,영업중,2026-05-20 18:28:34,2006-02-23,,서울특별시 송파구 송파동 103-11,2006323008211500002,3230000,"서울특별시 송파구 가락로 148, 2층 202호 (송파동)",05675,01,영업/정상,유료,
(주)아데코코리아,,법인,204947.909039501,445035.104597245,2026-05-21 03:03:03,U,20,영업중,2026-05-20 16:58:26,1999-06-07,,서울특별시 강남구 삼성동 157-27 브이플렉스,2026322025014500004,3220000,"서울특별시 강남구 테헤란로 501, 브이플렉스 6층 (삼성동)",06168,01,영업/정상,유료,02-6200-9722
바로인력,2026-05-20,개인,167787.929621177,440859.775545035,2026-05-21 03:03:03,U,40,폐업,2026-05-20 13:28:37,2024-05-21,,인천광역시 중구 유동 29-12,2024349022914500001,3490000,"인천광역시 중구 서해대로 488-1, 2층 (유동)",22326,03,폐업,유료,
