영업장주변구분명,건물소유구분명,사업장명,업태구분명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,시설총규모,공장사무직직원수,공장생산직직원수,공장판매직직원수,여성종사자수,등급구분명,보증액,본사직원수,홈페이지,최종수정시점,인허가일자,소재지면적,소재지우편번호,지번주소,다중이용업소여부,남성종사자수,관리번호,월세액,개방자치단체코드,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,위생업태명,소재지전화번호,전통업소지정번호,전통업소주된음식,급수시설구분명
,,만안주간보호센터,사회복지시설,,192620.263121281,433568.925502687,2026-03-12 21:43:01,U,01,영업,26.3,,,,,,,,,2026-03-11 14:06:58,2026-02-24,107.90,430-833,경기도 안양시 만안구 안양동 847-36,N,,3840000-105-2026-00002,,3830000,"경기도 안양시 만안구 안양로 368, 3,4층 (안양동)",13991,01,영업/정상,사회복지시설,,,,
,,이천중리초등학교,학교,,,,2026-03-12 21:43:00,U,01,영업,273.61,,,,,,0,0,,2026-03-11 16:31:21,2026-02-25,934.90,467-030,경기도 이천시 중리동 520,N,,4070000-105-2026-00001,0,4070000,"경기도 이천시 신서희로 33, 이천중리초등학교 (중리동)",17380,01,영업/정상,학교,,,,상수도전용
,,시립데시앙숲 어린이집,어린이집,,,,2026-03-12 21:43:01,I,01,영업,18,,,,,,0,1,,2026-03-11 11:32:57,2026-03-11,18.00,,경기도 화성시 동탄구 신동 729 동탄 숨마 데시앙,N,,5770000-105-2026-00004,0,5530000,"경기도 화성시 동탄구 동탄신리천로3길 71, 상가동 1층 일부호 (신동, 동탄 숨마 데시앙)",18491,01,영업/정상,어린이집,031-376-0371,,,
,,흥국생명빌딩 남대문5호 별관사옥,산업체,2026-03-11,197925.629209723,450993.566563543,2026-03-12 23:01:39,U,02,폐업,0,,,,,,0,0,,2026-03-11 14:03:53,2017-05-26,465.19,100-094,서울특별시 중구 남대문로4가 17-42 흥국생명보험남대문5호 별관 지하1층,N,,3010000-105-2017-00007,0,3010000,"서울특별시 중구 남대문로 15 (남대문로4가, 흥국생명보험남대문5호 별관 지하1층)",04526,03,폐업,산업체,02-2002-7134,,,
,,한양대학교-제1학생식당,학교,,,,2026-03-12 22:13:01,U,01,영업,129.1,,,,,,0,0,,2026-03-11 16:28:02,2017-03-27,503.49,133-817,서울특별시 성동구 사근동 110 한양대학교 학생복지관 3층,N,,3030000-105-2017-00006,0,3030000,"서울특별시 성동구 왕십리로 222, 3층 (사근동, 한양대학교 학생복지관)",04763,01,영업/정상,학교,02-2220-0097,,,상수도전용
,,승가원행복마을,사회복지시설,,202445.253693174,454020.855208997,2026-03-12 22:13:01,U,01,영업,173,,,,,,0,0,,2026-03-11 16:30:46,2020-09-01,211.00,136-075,서울특별시 성북구 안암동5가 149-10,N,,3070000-105-2020-00007,0,3070000,서울특별시 성북구 개운사2길 13 (안암동5가),02842,01,영업/정상,사회복지시설,,,,
,,효성어린이집,어린이집,2026-03-11,202804.170398667,457420.230242091,2026-03-12 22:13:01,U,02,폐업,8.7,,,,,,,0,,2026-03-11 11:47:54,2005-06-13,6.70,142-801,서울특별시 강북구 미아동 3-878,N,,3080000-105-2005-00036,,3080000,서울특별시 강북구 오패산로 191 (미아동),01163,03,폐업,어린이집,02-946-0811,,,상수도전용
,,삼육치과병원,병원,,205622.06846433,454114.388026134,2026-03-12 22:13:02,U,01,영업,35.01,,,,,,0,0,,2026-03-11 11:34:04,2019-02-21,84.59,130-711,서울특별시 동대문구 휘경동 29-1 삼육서울병원,N,,3050000-105-2019-00004,0,3050000,서울특별시 동대문구 망우로 82 (휘경동),02500,01,영업/정상,병원,02-3407-2875,,,
,,은하유치원,어린이집,2026-03-11,205112.237997011,456353.379533404,2026-03-12 22:13:01,U,02,폐업,43,,,,,,,0,,2026-03-11 11:30:17,2005-08-24,23.10,136-818,서울특별시 성북구 석관동 250-1,N,,3070000-105-2005-00056,,3070000,서울특별시 성북구 돌곶이로 64 (석관동),02784,03,폐업,어린이집,02-962-7647,,,상수도전용
,,초록세상어린이집,어린이집,2026-03-11,185270.830605296,448553.112481435,2026-03-12 22:13:02,U,02,폐업,25,,,,,,0,0,,2026-03-11 10:56:09,2009-03-02,21.00,158-824,서울특별시 양천구 신월동 66-2,N,,3140000-105-2009-00006,0,3140000,서울특별시 양천구 화곡로14길 8 (신월동),07907,03,폐업,어린이집,02-307-3337,,,상수도전용
,임대,구립 은뜨락어린이집,어린이집,2026-03-11,,,2026-03-12 22:43:08,U,02,폐업,26,,,,,,0,0,,2026-03-11 14:27:52,2020-02-12,26.00,122-200,서울특별시 은평구 진관동 122 은뜨락,N,,3110000-105-2020-00008,0,3110000,"서울특별시 은평구 통일로 972 (진관동, 은뜨락)",03311,03,폐업,어린이집,,,,상수도전용
